D = 4;
n = [ 5 5 5 5 ];
N = 91;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.33 0.81 0.35 0.24 0.94 0.23 0.85 0.98 0.32 0.77 0.19 0.67 0.38 0.03 0.31 0.59 0.32 0.14 0.68 0.43 0.86 0.90 0.34 0.48 0.31 0.85 0.73 0.94 0.32 0.14 0.71 0.41 0.99 0.41 0.47 0.44 0.84 0.74 0.45 0.91 0.91 0.45 0.05 0.58 0.56 0.06 0.22 0.62 0.91 0.91 0.13 0.80 0.78 0.72 0.62 0.07 0.50 0.43 0.54 0.06 0.04 0.36 0.37 0.81 0.17 0.31 0.05 0.66 0.45 0.18 0.92 0.71 0.32 0.83 0.81 0.93 0.53 0.58 0.95 0.59 0.10 0.67 0.41 0.16 0.45 0.35 0.06 0.72 0.36 0.67 ]
[0.33 1.00 0.53 0.91 0.23 0.65 0.54 0.19 0.20 0.96 0.92 0.23 0.81 0.64 0.29 0.33 0.37 0.46 0.61 0.69 0.37 0.08 0.61 0.90 0.19 0.42 0.53 0.31 0.93 0.32 0.35 0.32 0.44 0.80 0.96 0.33 0.53 0.03 0.71 0.35 0.54 0.22 0.77 0.67 0.35 0.27 0.99 0.56 0.74 0.87 0.91 0.11 0.43 0.83 0.41 0.24 0.81 0.74 0.81 0.76 0.39 0.16 0.72 0.78 0.47 0.17 0.57 0.56 0.20 0.40 0.12 0.20 0.93 0.36 0.29 0.20 0.06 0.08 0.87 0.78 0.67 0.11 0.99 0.23 0.21 0.13 0.90 0.55 0.30 0.09 0.70 ]
[0.81 0.53 1.00 0.26 0.56 0.40 0.70 0.39 0.79 0.94 0.73 0.33 0.67 0.58 0.72 0.18 0.08 0.47 0.48 0.93 0.24 0.58 0.40 0.79 0.43 0.74 0.97 0.81 0.36 0.76 0.98 0.64 0.01 0.11 0.86 0.08 0.07 0.71 0.90 0.02 0.09 0.70 0.81 0.55 0.90 0.34 0.13 0.99 0.09 0.17 0.54 0.11 0.59 0.46 0.03 0.48 0.54 0.60 0.59 0.03 0.60 0.05 0.99 0.74 0.34 0.75 0.70 0.28 0.18 0.07 0.26 0.52 0.00 0.69 0.14 0.01 0.25 0.48 0.43 0.93 0.22 0.23 0.04 0.26 0.85 0.64 0.58 0.19 0.76 0.76 0.37 ]
[0.35 0.91 0.26 1.00 0.24 0.61 0.26 0.40 0.85 0.56 0.05 0.95 0.94 0.65 0.08 0.96 0.92 0.34 0.16 0.97 0.97 0.22 0.47 0.45 0.50 0.18 0.37 0.89 0.44 0.69 0.35 0.68 0.59 0.63 0.86 0.87 0.20 0.41 0.56 0.02 0.40 0.69 0.27 0.09 0.89 0.51 0.95 0.53 0.30 0.27 0.52 0.52 0.05 0.60 0.35 0.90 0.16 0.28 0.67 0.51 0.94 0.83 0.68 0.93 0.29 0.75 0.54 1.00 0.70 0.16 0.14 0.45 0.80 0.05 0.68 0.34 0.12 0.68 0.48 0.59 0.76 0.79 0.18 0.13 0.57 0.21 0.85 0.72 0.63 0.43 0.95 ]
[0.24 0.23 0.56 0.24 1.00 0.49 0.49 0.34 0.35 0.21 0.66 0.60 0.50 0.97 0.02 0.63 0.37 0.27 0.46 0.34 0.33 0.99 0.16 0.05 0.15 0.56 0.04 0.45 0.39 0.44 0.43 0.87 0.09 0.77 0.22 0.86 0.95 0.66 0.87 0.10 0.04 0.29 0.60 0.35 0.26 0.41 0.58 0.63 0.29 0.85 0.09 0.17 0.11 0.15 0.68 0.99 0.66 0.73 0.45 0.27 0.63 0.40 0.62 0.59 0.29 0.18 0.58 0.69 0.16 0.39 0.62 0.13 0.81 0.51 0.47 0.20 0.77 0.12 0.28 0.74 0.87 0.77 0.37 0.85 0.80 0.94 0.18 0.10 0.85 0.69 0.49 ]
[0.94 0.65 0.40 0.61 0.49 1.00 0.88 0.94 0.90 0.68 0.73 0.61 0.09 0.71 0.67 0.46 0.01 0.41 0.44 0.44 0.56 0.13 0.48 0.90 0.73 0.29 0.08 0.04 0.36 0.80 0.95 0.22 0.91 0.46 0.04 0.05 0.00 0.64 0.85 0.58 0.35 0.19 0.02 0.26 0.80 0.63 0.93 0.58 0.05 0.83 0.62 0.65 0.98 0.40 0.56 0.92 0.32 0.48 0.73 0.34 0.97 0.18 0.50 0.16 0.94 0.52 0.02 0.61 0.34 0.14 0.80 0.21 0.12 0.74 0.91 0.32 0.33 0.99 0.35 0.17 0.55 0.12 0.74 0.50 0.46 0.68 0.30 0.23 0.81 0.67 0.75 ]
[0.23 0.54 0.70 0.26 0.49 0.88 1.00 0.30 0.20 0.74 0.50 0.90 0.02 0.11 0.24 0.73 0.93 0.46 0.60 0.64 0.12 0.77 0.33 0.66 0.19 0.58 0.57 0.25 0.20 0.66 0.76 0.49 0.47 0.18 0.19 0.64 0.40 0.93 0.89 0.24 0.58 0.73 0.29 0.89 0.88 0.49 0.24 0.78 0.61 0.58 0.95 0.64 1.00 0.49 0.45 0.29 0.71 0.52 0.37 1.00 0.05 0.51 0.05 0.17 0.82 0.49 0.26 0.58 0.58 0.50 0.78 0.07 0.20 0.90 0.76 0.69 0.93 0.40 0.83 0.83 0.51 0.92 0.47 0.15 0.18 0.71 0.92 0.88 0.03 0.43 0.04 ]
[0.85 0.19 0.39 0.40 0.34 0.94 0.30 1.00 0.82 0.92 0.16 0.05 0.45 0.45 0.63 0.88 0.79 0.32 0.41 0.88 0.56 0.90 0.91 0.26 0.48 0.24 0.48 0.14 0.68 0.36 0.20 0.75 0.89 0.47 0.91 0.01 0.34 0.63 0.34 0.87 0.89 0.54 0.98 0.32 0.80 0.25 0.30 0.70 0.49 0.11 0.84 0.47 0.38 0.32 0.93 0.04 0.27 0.45 0.88 0.86 0.80 0.93 0.88 0.10 0.96 0.44 0.66 0.15 0.01 0.94 0.58 0.50 0.99 0.99 0.23 0.77 0.84 0.38 0.38 0.54 0.62 0.40 0.04 0.91 0.67 0.51 0.59 0.72 0.24 0.64 0.53 ]
[0.98 0.20 0.79 0.85 0.35 0.90 0.20 0.82 1.00 0.20 0.87 0.61 0.06 0.72 0.18 0.54 0.16 0.70 0.35 0.50 0.33 0.86 0.95 0.05 0.69 0.10 0.98 0.91 0.06 0.14 0.53 0.76 0.70 0.45 0.76 0.24 0.49 0.01 0.42 0.67 0.72 0.60 0.90 0.66 0.25 0.69 0.84 0.09 0.06 0.90 0.96 0.15 0.72 0.61 0.45 0.73 0.37 0.46 0.11 0.40 0.63 0.30 0.45 0.62 0.06 0.10 0.01 0.88 0.51 0.21 0.93 0.99 0.45 0.74 0.22 0.41 0.28 0.12 0.12 0.31 0.84 0.81 0.61 0.09 0.28 0.07 0.95 0.53 0.74 0.20 0.92 ]
[0.32 0.96 0.94 0.56 0.21 0.68 0.74 0.92 0.20 1.00 0.48 0.70 0.64 0.26 0.39 0.87 0.41 0.69 0.66 0.57 0.24 0.64 0.46 0.63 0.51 0.88 0.41 0.49 0.90 0.24 0.50 0.49 0.67 0.28 0.87 0.95 0.80 0.13 0.40 0.07 0.03 0.33 0.35 0.31 0.16 0.47 0.57 0.63 0.52 0.98 0.97 0.60 0.42 0.75 0.23 0.67 0.07 0.93 0.72 0.59 0.13 0.55 0.65 0.07 0.25 0.96 0.78 0.60 0.35 0.11 0.74 0.87 0.02 0.09 0.76 0.35 0.77 0.76 0.71 0.54 0.41 0.80 0.71 0.21 0.22 0.97 0.51 0.93 0.85 0.84 0.89 ]
