D = 6;
n = [ 3 3 3 3 3 3 ];
N = 49;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.39 0.95 0.59 0.49 0.77 0.90 0.69 0.11 0.14 0.96 0.85 0.47 0.14 0.34 0.33 0.63 0.78 0.93 0.12 0.41 0.40 0.67 0.13 0.65 0.27 0.42 0.96 0.87 0.02 0.52 0.15 0.94 0.98 0.34 0.04 0.90 0.90 0.99 0.83 0.78 0.78 0.47 0.56 0.73 0.93 0.18 0.65 0.54 ]
[0.39 1.00 0.90 0.87 0.95 0.50 0.33 0.24 0.60 0.15 0.50 0.47 0.09 0.15 0.80 0.70 0.53 0.76 0.14 0.56 0.16 0.25 0.13 0.82 0.43 0.43 0.12 0.87 0.41 0.27 0.22 0.36 0.49 0.09 0.23 0.10 0.57 0.49 0.64 0.17 0.55 0.67 0.60 0.23 0.76 0.24 0.36 0.50 0.45 ]
[0.95 0.90 1.00 0.71 0.29 0.22 0.83 0.86 0.95 0.63 0.50 0.17 0.69 0.61 0.82 0.79 0.23 0.41 0.00 0.36 0.77 0.20 0.95 0.49 0.15 0.21 0.82 0.73 0.02 0.90 0.60 0.19 0.66 0.51 0.03 0.49 0.56 0.24 0.91 0.99 0.16 0.79 0.98 0.24 1.00 0.71 0.48 0.03 0.71 ]
[0.59 0.87 0.71 1.00 0.67 0.49 0.08 0.62 0.98 0.41 0.14 0.18 0.71 0.37 0.45 0.44 0.16 0.59 0.98 0.12 0.48 0.73 0.02 0.05 0.99 0.14 0.27 0.95 0.89 0.84 0.22 0.90 0.96 0.83 0.78 0.65 0.76 0.58 0.12 0.90 0.63 0.18 0.20 0.59 0.18 0.42 0.99 0.87 0.25 ]
[0.49 0.95 0.29 0.67 1.00 0.70 0.86 0.24 0.17 0.30 0.33 0.72 0.75 0.89 0.03 0.48 0.60 0.58 0.48 0.42 0.63 0.92 0.48 0.19 0.09 0.14 0.69 0.32 0.99 0.82 0.60 0.96 0.39 0.47 0.10 0.33 0.41 0.40 0.79 0.04 0.46 0.89 0.98 0.65 0.96 0.76 0.45 0.94 0.22 ]
[0.77 0.50 0.22 0.49 0.70 1.00 0.09 0.30 0.79 0.62 0.55 0.90 0.57 0.92 0.55 0.96 0.19 0.76 0.03 0.01 0.56 0.60 0.49 0.89 0.42 0.42 0.52 0.40 0.16 0.51 0.24 0.38 0.43 0.97 0.83 0.37 0.85 0.59 0.79 0.18 0.31 0.36 0.95 0.70 0.00 0.92 0.44 0.17 0.97 ]
[0.90 0.33 0.83 0.08 0.86 0.09 1.00 0.77 0.52 0.07 0.52 0.01 0.39 0.23 0.87 0.10 0.02 0.56 0.41 0.33 0.92 0.70 0.85 0.33 0.52 0.86 0.41 0.33 0.52 0.22 0.82 0.30 0.65 0.78 0.64 0.05 0.81 0.78 0.55 0.75 0.13 0.27 0.88 0.21 0.92 0.43 0.88 0.26 0.68 ]
[0.69 0.24 0.86 0.62 0.24 0.30 0.77 1.00 0.11 0.42 0.82 0.66 0.34 0.22 0.57 0.54 0.26 0.90 0.80 0.31 0.04 0.30 0.69 0.81 0.41 0.51 0.24 0.73 0.02 0.92 0.93 0.06 0.66 0.93 0.22 0.50 0.05 0.99 0.81 0.32 0.02 0.45 0.84 0.21 0.98 0.31 0.96 0.03 0.64 ]
[0.11 0.60 0.95 0.98 0.17 0.79 0.52 0.11 1.00 0.66 0.12 0.87 0.08 0.26 0.80 0.64 0.25 0.58 0.36 0.54 0.14 0.73 0.65 0.04 0.99 0.59 0.69 0.63 0.77 0.78 0.45 0.67 0.29 0.42 0.60 0.25 0.42 0.40 0.03 0.36 0.65 0.33 0.32 0.78 0.66 0.66 0.75 0.84 0.13 ]
[0.14 0.15 0.63 0.41 0.30 0.62 0.07 0.42 0.66 1.00 0.03 0.17 0.82 0.12 0.69 0.96 0.07 0.70 0.27 0.95 0.51 0.97 0.42 0.60 0.46 0.68 0.24 0.20 0.63 0.60 0.92 0.22 0.21 0.35 0.06 0.68 0.16 0.02 0.21 0.74 0.82 0.48 0.18 0.60 0.61 0.19 0.77 0.98 0.01 ]
