D = 4;
n = [ 4 4 4 4 ];
N = 18;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 4 4 ];
m = [
[1.00 0.27 0.72 0.07 0.93 0.10 0.86 0.36 0.64 0.27 0.63 0.28 0.84 0.35 0.70 0.21 0.23 0.95 ]
[0.27 1.00 0.41 0.13 0.49 0.21 0.78 0.19 0.00 0.30 0.59 0.68 0.13 0.13 0.75 0.12 0.40 0.31 ]
[0.72 0.41 1.00 0.54 0.54 0.83 0.84 0.27 0.58 0.40 0.23 0.17 0.54 0.03 0.31 0.44 0.29 0.90 ]
[0.07 0.13 0.54 1.00 0.74 0.27 0.59 0.60 0.85 0.33 0.21 0.09 0.49 0.19 0.25 0.46 0.95 0.08 ]
[0.93 0.49 0.54 0.74 1.00 0.33 0.78 0.60 0.92 0.98 0.30 0.98 0.70 0.85 0.77 0.65 0.07 0.80 ]
[0.10 0.21 0.83 0.27 0.33 1.00 0.09 0.25 0.86 0.77 0.95 0.70 0.82 0.43 0.60 0.45 0.01 0.91 ]
[0.86 0.78 0.84 0.59 0.78 0.09 1.00 0.28 0.76 0.90 0.73 0.16 0.08 0.41 0.27 0.64 0.91 0.45 ]
[0.36 0.19 0.27 0.60 0.60 0.25 0.28 1.00 0.36 0.65 0.25 0.89 0.18 0.95 0.95 0.03 0.71 0.46 ]
[0.64 0.00 0.58 0.85 0.92 0.86 0.76 0.36 1.00 0.09 0.42 0.56 0.97 0.97 0.38 0.90 0.51 0.48 ]
[0.27 0.30 0.40 0.33 0.98 0.77 0.90 0.65 0.09 1.00 0.92 0.63 0.03 0.17 0.47 0.49 0.58 0.72 ]
[0.63 0.59 0.23 0.21 0.30 0.95 0.73 0.25 0.42 0.92 1.00 0.80 0.21 0.75 0.83 0.77 0.52 0.84 ]
[0.28 0.68 0.17 0.09 0.98 0.70 0.16 0.89 0.56 0.63 0.80 1.00 0.64 0.52 0.20 0.42 0.39 0.92 ]
[0.84 0.13 0.54 0.49 0.70 0.82 0.08 0.18 0.97 0.03 0.21 0.64 1.00 1.00 0.45 0.10 0.91 0.99 ]
[0.35 0.13 0.03 0.19 0.85 0.43 0.41 0.95 0.97 0.17 0.75 0.52 1.00 1.00 0.66 0.17 0.12 0.75 ]
[0.70 0.75 0.31 0.25 0.77 0.60 0.27 0.95 0.38 0.47 0.83 0.20 0.45 0.66 1.00 0.81 0.88 0.74 ]
[0.21 0.12 0.44 0.46 0.65 0.45 0.64 0.03 0.90 0.49 0.77 0.42 0.10 0.17 0.81 1.00 0.54 0.09 ]
[0.23 0.40 0.29 0.95 0.07 0.01 0.91 0.71 0.51 0.58 0.52 0.39 0.91 0.12 0.88 0.54 1.00 0.22 ]
[0.95 0.31 0.90 0.08 0.80 0.91 0.45 0.46 0.48 0.72 0.84 0.92 0.99 0.75 0.74 0.09 0.22 1.00 ]
];
