D = 2;
n = [ 2 2 ];
N = 10;
d = [1 1 1 1 1 2 2 2 2 2 ];
m = [
[1.00 0.97 0.46 0.60 0.51 0.26 0.95 0.35 0.02 0.08 ]
[0.97 1.00 0.22 0.88 0.69 0.60 0.82 0.65 0.64 0.37 ]
[0.46 0.22 1.00 0.66 0.32 0.67 0.36 0.35 0.45 0.14 ]
[0.60 0.88 0.66 1.00 0.92 0.30 0.46 0.02 0.98 0.73 ]
[0.51 0.69 0.32 0.92 1.00 0.55 0.74 0.15 0.47 0.19 ]
[0.26 0.60 0.67 0.30 0.55 1.00 0.62 0.87 0.38 0.99 ]
[0.95 0.82 0.36 0.46 0.74 0.62 1.00 0.73 0.42 0.71 ]
[0.35 0.65 0.35 0.02 0.15 0.87 0.73 1.00 0.83 0.41 ]
[0.02 0.64 0.45 0.98 0.47 0.38 0.42 0.83 1.00 0.15 ]
[0.08 0.37 0.14 0.73 0.19 0.99 0.71 0.41 0.15 1.00 ]
];
