D = 8;
n = [ 2 2 2 2 2 2 2 2 ];
N = 80;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.60 0.93 0.41 0.27 0.78 0.72 0.22 0.96 0.16 0.62 0.17 0.38 0.94 0.84 0.02 0.69 0.93 0.41 0.89 0.51 0.84 0.94 0.30 0.07 0.98 0.26 0.10 0.51 0.56 0.48 0.38 0.04 0.30 0.67 0.06 0.91 0.68 0.01 0.51 0.21 0.65 0.90 0.05 0.84 0.06 0.10 0.10 0.18 0.96 0.05 0.99 0.62 0.88 0.09 0.39 0.07 0.11 0.71 0.48 0.73 0.00 0.52 0.24 0.05 0.59 0.54 0.01 0.10 0.95 0.16 0.10 0.72 0.58 0.21 0.72 0.76 0.42 0.80 0.19 ]
[0.60 1.00 0.77 0.77 0.39 0.04 0.05 1.00 0.02 0.76 0.24 0.53 0.27 0.25 0.44 0.84 0.74 0.50 0.41 0.21 0.57 0.11 0.19 0.99 0.20 0.55 0.51 0.44 0.43 0.39 0.90 0.53 0.32 0.65 0.35 0.99 0.27 0.46 0.17 0.37 0.97 0.89 0.59 0.20 0.61 0.54 0.31 0.09 0.88 0.32 0.16 0.78 0.92 0.12 0.42 0.77 0.93 0.13 0.76 0.65 0.87 0.49 0.86 0.39 0.21 0.79 0.18 0.49 0.37 0.53 0.48 0.61 0.31 1.00 0.05 0.90 0.03 0.82 0.82 0.60 ]
[0.93 0.77 1.00 0.61 0.02 0.89 0.50 0.51 0.09 0.23 0.84 0.71 0.89 0.86 0.76 0.01 0.54 0.09 0.20 0.51 0.75 0.05 0.02 0.41 0.65 0.07 0.60 0.79 0.99 0.23 0.74 0.67 0.41 0.73 0.40 0.33 0.54 0.68 0.97 0.52 0.50 0.08 0.81 0.98 0.03 0.14 0.74 0.77 0.99 0.61 0.22 0.57 0.50 0.71 0.98 0.35 0.04 0.34 0.56 0.51 0.15 0.55 0.64 0.58 0.29 0.81 0.48 0.61 0.68 0.12 0.62 0.18 0.86 0.45 0.94 0.53 0.58 0.69 0.95 0.06 ]
[0.41 0.77 0.61 1.00 0.57 0.31 0.67 0.74 0.27 0.22 0.98 0.88 0.80 0.51 0.48 0.45 0.13 0.74 0.89 0.31 0.69 0.69 0.59 0.91 0.43 0.04 0.58 0.14 0.01 0.02 0.49 0.15 0.97 0.09 0.99 0.66 0.54 0.67 0.87 0.34 0.30 0.92 0.92 0.42 0.98 0.76 0.72 0.43 0.12 0.19 0.75 0.71 0.32 0.18 0.08 0.01 0.92 0.09 0.99 0.92 0.97 0.16 0.44 0.75 0.41 0.85 0.45 0.85 0.45 0.63 0.14 0.15 0.11 0.14 0.83 0.28 0.74 0.14 0.15 0.98 ]
[0.27 0.39 0.02 0.57 1.00 0.80 0.40 0.27 0.78 0.53 0.91 0.97 0.03 0.74 0.75 0.62 0.58 0.97 0.59 0.62 0.23 0.58 0.21 0.62 0.03 0.18 0.12 0.25 0.78 0.56 0.36 0.27 0.49 0.93 0.59 0.26 0.60 0.85 0.70 0.25 0.17 0.97 0.42 0.24 0.30 0.41 0.43 0.59 0.00 0.73 0.79 0.71 0.39 0.94 0.59 0.85 0.22 0.31 0.48 0.58 0.59 0.31 0.81 0.73 0.39 0.82 0.78 0.59 0.20 0.13 0.48 0.81 0.87 0.13 0.99 0.78 0.65 0.89 0.14 0.71 ]
[0.78 0.04 0.89 0.31 0.80 1.00 0.78 0.29 0.60 0.17 0.62 0.52 0.60 0.07 0.57 0.29 0.19 0.98 0.11 0.84 0.30 0.91 0.76 0.35 0.14 0.30 0.71 0.92 0.74 0.05 0.32 0.47 0.22 0.01 0.08 0.05 0.26 0.21 0.96 0.98 0.73 0.64 0.53 0.52 0.48 0.63 0.23 0.68 0.16 0.45 0.90 0.01 0.83 0.11 0.96 0.07 0.86 0.23 0.17 0.85 0.82 0.83 0.32 0.59 0.65 0.53 0.51 0.74 0.62 0.85 0.47 0.06 0.43 0.77 0.45 0.22 0.55 0.03 0.77 0.72 ]
[0.72 0.05 0.50 0.67 0.40 0.78 1.00 0.93 0.07 0.41 0.67 0.53 0.02 0.74 0.06 0.15 0.00 0.41 0.05 0.41 0.56 0.75 0.15 0.77 0.92 0.97 0.45 0.32 0.03 0.90 0.58 0.84 0.12 0.21 0.30 0.53 0.45 0.01 0.51 0.98 0.72 0.00 0.01 0.39 0.27 0.40 1.00 0.43 0.98 0.75 0.03 0.74 0.52 0.17 0.92 0.97 0.38 0.75 0.93 0.83 0.86 0.02 0.29 0.69 0.20 0.50 0.63 0.39 0.30 0.35 0.95 0.48 0.95 0.50 0.85 0.64 0.04 0.07 0.31 0.17 ]
[0.22 1.00 0.51 0.74 0.27 0.29 0.93 1.00 0.53 0.07 0.50 0.65 0.75 0.36 0.24 0.14 0.40 0.90 0.40 0.28 0.65 0.88 0.84 0.04 0.86 0.50 0.37 0.14 0.97 0.72 0.05 0.72 0.47 0.54 0.69 0.12 0.41 0.07 0.24 0.19 0.08 0.69 0.75 0.16 0.07 0.02 0.74 0.32 0.54 0.41 0.10 0.00 0.81 0.60 0.07 0.41 0.87 0.83 0.51 0.08 0.88 0.84 0.34 0.95 0.10 0.98 0.40 0.77 0.34 0.30 0.31 0.23 0.46 0.83 0.86 0.60 0.50 0.36 0.03 0.00 ]
[0.96 0.02 0.09 0.27 0.78 0.60 0.07 0.53 1.00 0.83 0.42 0.49 0.84 0.77 0.89 0.75 0.53 1.00 0.54 0.16 0.42 0.00 0.67 0.76 0.07 0.14 0.05 0.13 0.27 0.74 0.22 0.89 0.44 0.95 0.99 0.48 0.14 0.42 0.27 0.01 0.23 0.31 0.48 0.58 0.10 0.58 0.74 0.33 0.73 0.91 0.48 0.62 0.94 0.59 0.00 0.45 0.04 0.92 0.38 0.05 0.05 0.28 0.20 0.30 0.89 0.66 0.49 0.91 0.12 0.61 0.63 0.98 0.12 0.15 0.74 0.52 0.42 0.68 0.32 0.63 ]
[0.16 0.76 0.23 0.22 0.53 0.17 0.41 0.07 0.83 1.00 0.79 0.29 0.17 0.54 0.96 0.82 0.76 0.73 0.23 0.42 0.44 0.89 0.69 0.18 1.00 0.13 0.65 0.23 0.82 0.68 0.39 0.21 0.67 0.87 0.30 0.59 0.09 0.77 0.29 0.98 0.12 0.29 0.63 0.45 0.38 0.42 0.56 0.37 0.58 0.08 0.84 0.57 0.34 0.25 0.96 0.94 0.88 0.09 0.34 0.11 0.51 0.40 0.65 0.68 0.60 0.43 0.48 0.71 0.90 0.44 0.98 0.29 0.58 0.68 0.91 0.72 0.07 0.98 0.97 0.44 ]
[0.62 0.24 0.84 0.98 0.91 0.62 0.67 0.50 0.42 0.79 1.00 0.96 0.59 0.64 0.53 0.02 0.66 0.70 0.06 0.63 0.67 0.36 0.61 0.74 0.14 0.83 0.15 0.34 0.29 0.74 0.10 0.07 0.91 0.77 0.95 0.10 0.80 0.85 0.87 0.78 0.22 0.83 0.58 0.10 0.59 0.03 0.75 0.06 0.69 0.02 0.10 0.89 0.78 0.82 0.91 0.53 0.50 0.37 0.46 0.99 0.71 0.76 0.01 0.44 0.66 0.23 0.75 0.54 0.30 0.81 0.63 0.31 0.76 0.35 0.99 0.53 0.01 0.08 0.17 0.03 ]
[0.17 0.53 0.71 0.88 0.97 0.52 0.53 0.65 0.49 0.29 0.96 1.00 0.28 0.01 0.58 0.69 0.32 0.52 0.70 0.17 0.10 0.14 0.35 0.76 0.98 0.73 0.55 0.95 0.47 0.70 0.37 0.28 0.53 0.29 0.09 0.09 0.46 0.24 0.49 0.69 0.05 0.35 0.34 0.49 0.73 0.56 0.33 0.89 0.92 0.70 0.97 0.35 0.80 0.42 0.07 0.72 0.51 0.58 0.86 0.87 0.45 0.53 0.36 0.95 0.06 0.03 0.52 0.73 0.67 0.36 0.77 0.36 0.92 0.01 0.50 0.60 0.05 0.41 0.98 0.81 ]
[0.38 0.27 0.89 0.80 0.03 0.60 0.02 0.75 0.84 0.17 0.59 0.28 1.00 0.57 0.70 0.64 0.11 0.06 0.60 0.66 0.81 0.26 0.11 0.05 0.95 0.98 0.39 0.82 0.27 0.64 0.98 0.47 0.29 0.43 0.39 0.63 0.06 0.12 0.01 0.20 0.52 0.12 0.74 0.81 0.37 0.08 0.88 0.13 0.73 0.10 0.43 0.73 0.36 0.85 0.18 0.28 0.38 0.53 0.78 0.66 0.01 0.56 0.14 0.41 0.99 0.29 0.46 0.44 0.25 0.42 0.53 0.40 0.77 0.89 0.18 0.37 0.19 0.43 0.55 0.18 ]
[0.94 0.25 0.86 0.51 0.74 0.07 0.74 0.36 0.77 0.54 0.64 0.01 0.57 1.00 0.21 0.60 0.98 0.30 0.95 0.91 0.59 0.58 0.58 0.12 0.79 0.09 0.53 0.16 0.07 0.40 0.00 0.90 0.31 0.61 0.92 0.85 0.15 0.39 0.46 0.35 0.71 0.32 0.30 0.76 0.68 0.78 0.86 0.61 0.97 0.80 0.18 0.52 0.05 0.11 0.18 0.31 0.41 0.53 0.26 0.03 0.76 0.51 0.36 0.98 0.42 0.02 0.37 0.86 0.41 0.93 0.16 0.94 0.63 0.02 0.64 0.97 0.60 0.18 0.32 0.42 ]
