D = 8;
n = [ 4 4 4 4 4 4 4 4 ];
N = 44;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 5 5 5 5 5 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.88 0.01 0.18 0.75 0.29 0.71 0.09 0.34 0.46 0.74 0.15 0.68 0.57 0.64 0.97 0.23 0.31 0.11 0.72 0.22 0.80 0.37 0.09 0.20 0.70 0.06 0.32 0.93 0.12 0.10 0.82 0.10 0.66 0.17 0.14 0.67 0.80 0.63 0.64 0.84 0.19 0.80 0.76 ]
[0.88 1.00 0.89 0.55 0.66 0.36 0.76 0.44 0.66 0.37 0.87 0.02 0.68 0.29 0.15 0.12 0.48 0.81 0.55 0.45 0.12 0.39 0.41 0.79 0.06 0.43 0.26 0.10 0.90 0.47 0.19 0.40 0.24 0.45 0.54 0.82 0.18 0.06 0.47 0.39 0.08 0.50 0.69 0.41 ]
[0.01 0.89 1.00 1.00 0.61 0.75 0.79 0.68 0.28 0.38 0.52 0.41 0.73 0.74 0.09 0.21 0.51 0.96 0.89 0.98 0.10 0.13 0.29 0.34 0.54 0.93 0.74 0.67 0.67 0.27 0.96 0.15 0.76 0.36 0.92 0.76 0.53 0.15 0.07 0.12 0.90 0.65 0.31 0.81 ]
[0.18 0.55 1.00 1.00 0.23 0.02 0.99 0.72 0.55 0.68 0.41 0.68 0.00 0.19 0.94 0.92 0.63 0.32 0.18 0.87 0.11 0.37 0.51 0.47 0.97 0.58 0.98 0.94 0.72 0.15 0.50 0.49 0.45 0.79 0.96 0.28 0.72 0.53 0.94 0.35 0.30 0.38 0.88 0.82 ]
[0.75 0.66 0.61 0.23 1.00 0.22 0.01 0.90 0.57 0.54 0.64 0.66 0.06 0.05 0.17 0.11 0.06 0.26 0.22 0.81 0.58 0.68 0.84 0.80 0.54 0.69 0.13 0.08 0.10 0.78 0.14 0.20 0.68 0.27 0.05 0.55 0.86 0.92 0.61 0.06 0.64 0.93 0.55 0.03 ]
[0.29 0.36 0.75 0.02 0.22 1.00 0.77 0.27 0.38 0.47 0.52 0.03 0.01 0.20 0.64 0.92 0.59 0.85 0.42 0.98 0.09 0.79 0.50 0.23 0.21 0.30 0.75 0.96 0.01 0.72 0.73 0.64 0.10 0.19 0.56 0.49 0.25 0.64 0.94 0.30 0.05 0.31 0.28 0.14 ]
[0.71 0.76 0.79 0.99 0.01 0.77 1.00 0.93 0.51 0.46 0.50 0.70 0.25 0.01 0.46 0.27 0.68 0.03 0.81 0.99 0.72 0.28 0.70 0.62 0.51 0.30 0.88 0.08 0.34 0.93 0.85 0.42 0.79 0.07 0.16 0.96 0.36 0.36 0.38 0.36 0.98 0.17 0.80 0.69 ]
[0.09 0.44 0.68 0.72 0.90 0.27 0.93 1.00 0.54 0.44 0.70 0.16 0.65 0.14 0.03 0.95 0.64 0.60 0.27 0.72 0.89 0.87 0.80 0.73 0.69 0.33 0.71 0.40 0.61 0.83 0.50 0.07 0.11 0.51 0.21 0.56 0.27 0.23 0.02 0.40 0.41 0.37 0.91 0.13 ]
[0.34 0.66 0.28 0.55 0.57 0.38 0.51 0.54 1.00 0.49 0.79 0.46 0.85 0.12 0.19 0.94 0.02 0.26 0.18 0.87 0.10 0.14 0.89 0.74 0.58 0.47 0.89 0.70 0.15 0.09 0.26 0.85 0.97 0.55 0.60 0.82 0.81 0.15 0.08 0.12 0.37 0.10 0.04 0.28 ]
[0.46 0.37 0.38 0.68 0.54 0.47 0.46 0.44 0.49 1.00 0.31 0.13 0.48 0.78 0.69 0.84 0.66 0.88 0.58 0.47 0.56 0.61 0.99 0.32 0.13 0.10 0.80 0.70 0.33 0.81 0.66 0.44 0.92 0.66 0.22 0.15 0.99 0.18 0.10 0.69 0.06 0.21 0.12 0.25 ]
[0.74 0.87 0.52 0.41 0.64 0.52 0.50 0.70 0.79 0.31 1.00 0.75 0.81 0.36 0.91 0.13 0.90 0.76 0.53 0.99 0.09 0.91 0.25 0.43 0.60 0.51 0.01 0.92 0.57 0.27 0.08 0.28 0.07 0.95 0.37 0.42 0.35 0.53 0.66 0.56 0.58 0.01 0.20 0.73 ]
[0.15 0.02 0.41 0.68 0.66 0.03 0.70 0.16 0.46 0.13 0.75 1.00 0.95 0.59 0.22 0.19 0.37 0.73 0.64 0.50 0.11 0.71 0.68 0.08 0.10 0.92 0.32 0.74 0.50 0.32 0.95 0.97 0.29 0.32 0.04 0.14 0.74 0.55 0.84 0.46 0.83 0.90 0.12 0.38 ]
[0.68 0.68 0.73 0.00 0.06 0.01 0.25 0.65 0.85 0.48 0.81 0.95 1.00 0.04 0.88 0.03 0.94 0.76 0.79 0.86 0.94 0.39 0.63 0.49 0.69 0.37 0.11 0.23 0.37 0.48 0.94 0.29 0.38 0.27 0.95 0.73 0.50 0.45 0.20 0.66 0.50 0.52 0.09 0.90 ]
