D = 6;
n = [ 5 5 5 5 5 5 ];
N = 56;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.71 0.25 0.13 0.20 0.65 0.53 0.13 0.05 0.00 0.64 0.85 0.91 0.36 0.00 0.48 0.95 0.68 0.39 0.67 0.89 0.82 0.41 0.85 0.59 0.91 0.55 0.02 0.01 0.46 0.76 0.21 0.48 0.45 0.96 0.60 0.55 0.25 0.25 0.96 0.54 0.56 0.90 0.77 0.53 0.48 0.23 0.46 0.74 0.58 0.57 0.19 0.44 0.49 0.47 0.57 ]
[0.71 1.00 0.04 0.62 0.56 0.90 0.52 0.52 0.84 0.24 0.61 0.67 0.06 0.03 0.43 0.50 0.07 0.64 0.10 0.28 0.07 0.87 0.08 0.57 0.12 0.94 0.92 0.33 0.98 0.02 0.98 0.02 0.03 0.98 0.16 0.12 0.14 0.80 0.52 0.03 0.40 0.09 0.62 0.62 0.16 0.19 0.33 0.99 0.51 0.07 0.35 0.65 0.05 0.21 0.56 0.07 ]
[0.25 0.04 1.00 0.87 0.31 0.33 0.99 0.11 0.75 0.62 0.24 0.73 0.48 0.20 0.33 0.39 0.67 0.03 0.09 0.96 0.47 0.19 0.48 1.00 0.14 0.48 0.19 0.03 0.22 0.35 0.98 0.75 0.52 0.66 0.77 0.35 0.90 0.01 0.64 0.49 0.87 0.96 0.92 0.38 0.34 0.52 0.05 0.60 0.85 0.58 0.46 0.09 0.68 0.55 0.17 0.20 ]
[0.13 0.62 0.87 1.00 0.38 0.41 0.68 0.54 0.73 0.38 0.71 0.20 0.07 0.33 0.77 0.61 0.32 0.52 0.79 0.70 0.47 0.80 0.64 0.06 0.90 0.52 0.65 0.15 0.01 0.33 0.71 0.89 0.57 0.49 0.01 0.84 0.38 0.93 0.75 0.40 0.02 0.18 0.46 0.81 0.84 0.10 0.16 0.42 0.61 0.12 0.22 0.15 0.75 0.01 0.12 0.18 ]
[0.20 0.56 0.31 0.38 1.00 0.25 0.06 0.80 0.36 0.31 0.70 0.15 0.23 0.91 0.08 0.14 0.01 0.65 0.82 0.28 0.49 0.53 0.08 0.32 0.69 0.59 0.01 0.00 0.25 0.25 0.70 0.18 0.36 0.13 1.00 0.96 0.17 0.36 0.18 0.74 0.30 0.89 0.72 0.30 0.64 0.20 0.97 0.93 0.76 0.64 0.57 0.28 0.18 0.05 0.41 0.95 ]
[0.65 0.90 0.33 0.41 0.25 1.00 0.75 0.61 0.41 0.20 0.93 0.85 0.94 0.61 0.63 0.22 0.40 0.38 0.28 0.56 0.08 0.45 0.98 0.06 0.80 0.76 0.68 0.32 0.04 0.12 0.54 0.52 0.17 0.62 0.98 0.01 0.89 0.80 0.93 0.86 0.05 0.85 0.42 0.96 0.74 0.76 0.96 0.10 0.98 0.30 0.09 0.24 0.30 0.61 0.08 0.77 ]
[0.53 0.52 0.99 0.68 0.06 0.75 1.00 0.78 0.46 0.52 0.65 0.94 0.19 0.04 0.81 0.27 0.28 0.72 0.20 0.91 0.50 0.33 0.57 0.19 0.13 0.56 0.02 0.17 0.02 0.38 0.88 0.27 0.90 0.71 0.39 0.00 0.38 0.44 0.20 0.35 0.85 0.73 0.47 0.09 0.87 0.34 0.33 0.88 0.24 0.90 0.45 0.70 0.71 0.78 0.19 0.84 ]
[0.13 0.52 0.11 0.54 0.80 0.61 0.78 1.00 0.93 0.64 0.61 0.61 0.07 0.17 0.24 0.25 0.81 0.22 0.49 0.74 0.06 0.59 0.32 0.01 0.57 0.30 0.89 0.77 0.59 0.79 0.40 0.56 0.89 0.50 0.75 0.54 0.27 0.37 0.45 0.41 0.87 0.11 0.08 0.63 0.74 0.06 0.76 0.95 0.33 0.97 0.99 0.17 0.83 0.21 0.62 0.91 ]
[0.05 0.84 0.75 0.73 0.36 0.41 0.46 0.93 1.00 0.64 0.73 0.79 0.39 0.70 0.66 0.86 0.57 0.96 0.55 0.32 0.47 0.63 0.23 0.65 0.39 0.36 0.01 0.61 0.94 0.11 0.69 0.33 0.98 0.95 0.30 0.69 0.30 0.71 0.24 0.85 0.07 0.71 0.38 0.19 0.31 0.39 0.20 0.55 0.90 0.72 0.70 0.12 0.86 0.36 0.94 0.37 ]
[0.00 0.24 0.62 0.38 0.31 0.20 0.52 0.64 0.64 1.00 0.51 0.46 0.87 0.08 0.83 0.59 0.42 0.80 0.71 0.67 0.72 0.59 0.09 0.67 0.35 0.68 0.53 0.73 0.39 0.10 0.19 0.09 0.88 0.33 0.25 0.23 0.67 0.29 0.67 0.22 0.22 0.22 0.97 0.60 0.52 0.71 0.29 0.31 0.45 0.27 0.94 0.74 0.51 0.27 0.68 0.92 ]
