D = 2;
n = [ 5 5 ];
N = 62;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.53 0.46 0.64 0.12 0.19 0.11 0.24 0.63 0.55 0.89 0.85 0.66 0.99 0.99 0.82 0.99 0.62 0.67 0.57 0.58 0.14 0.48 0.74 0.17 0.56 0.67 0.06 0.74 0.44 0.83 0.33 0.89 0.84 0.73 0.91 0.43 0.65 0.64 0.45 0.06 0.71 0.15 0.67 0.92 1.00 0.84 0.92 0.90 0.44 0.20 0.01 0.47 0.96 0.98 0.06 0.96 0.10 0.42 0.96 0.34 0.67 ]
[0.53 1.00 0.82 0.79 0.23 0.25 0.62 0.08 0.41 0.94 0.86 0.14 0.96 0.55 0.16 0.47 0.61 0.74 0.60 0.09 0.37 0.34 0.09 0.24 0.32 0.73 0.82 0.96 0.64 0.57 0.49 0.72 0.49 0.33 0.76 0.31 0.50 0.07 0.53 1.00 0.36 0.35 0.02 0.20 0.36 0.09 0.18 0.14 0.32 0.85 0.14 0.93 0.96 0.20 0.79 0.37 0.92 0.93 0.08 0.32 0.40 0.98 ]
[0.46 0.82 1.00 0.09 0.18 0.59 0.64 0.78 0.44 0.25 0.12 0.07 0.03 0.33 0.69 0.64 0.23 1.00 0.09 0.71 0.10 0.93 0.20 0.09 0.60 0.94 0.96 0.33 0.23 0.16 0.02 0.92 0.22 0.87 0.45 0.36 0.26 0.18 0.01 0.60 0.37 0.39 0.55 0.18 0.37 0.27 0.82 0.86 0.49 0.14 0.21 0.70 0.93 0.08 0.84 0.23 0.46 0.20 0.08 0.22 0.26 0.49 ]
[0.64 0.79 0.09 1.00 0.78 0.34 0.67 0.65 0.07 0.23 0.85 0.89 0.32 0.94 0.83 0.28 0.65 0.14 0.42 0.41 0.76 0.55 0.78 0.17 0.58 0.44 0.67 0.01 0.93 0.67 0.88 0.81 0.05 0.49 0.25 0.81 0.32 0.03 0.48 0.27 0.91 0.28 0.86 0.27 0.31 0.13 0.12 0.46 0.52 0.98 0.26 0.52 0.15 0.08 0.33 0.20 0.66 0.61 0.33 0.29 0.57 0.07 ]
[0.12 0.23 0.18 0.78 1.00 0.30 0.66 0.83 0.16 0.34 0.71 0.01 0.90 0.10 0.20 0.89 0.91 0.34 0.82 0.41 0.67 0.95 0.15 0.84 0.00 0.02 1.00 0.46 0.70 0.27 0.82 0.39 0.21 0.14 0.76 0.57 0.06 0.91 0.16 0.04 0.74 0.06 0.37 0.33 0.98 0.96 0.91 0.68 0.24 1.00 0.60 0.30 0.55 0.27 0.66 0.74 0.07 0.11 0.90 0.67 0.66 0.96 ]
[0.19 0.25 0.59 0.34 0.30 1.00 0.09 0.49 0.12 0.27 0.16 0.84 0.41 0.87 0.05 0.05 0.22 0.07 0.92 0.56 0.69 0.14 0.69 0.37 0.27 0.02 0.76 0.33 0.66 0.06 0.44 0.39 0.48 0.97 0.67 0.56 0.04 0.55 0.33 0.46 0.90 0.27 0.78 0.53 0.40 0.83 0.70 0.16 0.88 0.88 0.33 0.07 0.87 0.88 0.97 0.39 0.26 0.55 0.81 0.69 0.07 0.14 ]
[0.11 0.62 0.64 0.67 0.66 0.09 1.00 0.43 0.42 0.41 0.85 0.73 0.90 0.32 0.15 0.55 0.38 0.45 0.10 0.55 0.17 0.95 0.84 0.54 0.01 0.92 0.76 0.75 0.06 0.68 0.19 0.77 0.75 0.75 0.38 0.90 0.60 0.20 0.24 0.90 0.14 0.25 0.13 0.19 0.42 0.36 0.85 0.48 0.53 0.55 0.53 0.22 0.79 0.79 0.90 0.14 0.56 0.88 0.52 0.42 0.19 0.55 ]
[0.24 0.08 0.78 0.65 0.83 0.49 0.43 1.00 0.90 0.27 0.12 0.04 0.07 0.52 0.43 0.60 0.73 0.03 0.22 0.44 0.82 0.13 0.77 0.89 0.40 0.93 0.09 0.11 0.09 0.33 0.79 0.24 0.35 0.01 0.40 0.47 1.00 0.41 0.80 0.47 0.85 0.72 0.84 0.58 0.96 0.19 0.22 0.36 0.22 0.44 0.99 0.88 0.52 0.53 0.62 0.69 0.91 0.96 0.52 0.22 0.74 0.22 ]
[0.63 0.41 0.44 0.07 0.16 0.12 0.42 0.90 1.00 0.71 0.51 0.34 0.29 0.71 0.47 0.48 0.68 0.50 0.76 0.08 0.78 0.47 0.37 0.70 0.51 0.13 0.80 0.98 0.29 0.34 0.49 0.01 0.42 0.20 0.25 0.56 0.80 0.60 0.24 0.67 0.24 0.37 0.48 0.77 0.29 0.02 0.73 0.79 0.77 0.91 0.05 0.58 0.20 0.49 0.82 0.80 0.64 0.25 0.51 0.09 0.06 0.75 ]
[0.55 0.94 0.25 0.23 0.34 0.27 0.41 0.27 0.71 1.00 0.35 0.61 0.20 0.66 0.20 0.74 0.62 0.31 0.14 0.81 1.00 0.49 0.09 0.35 0.12 0.73 0.61 0.55 0.11 0.44 0.62 0.78 0.44 0.77 0.30 0.38 0.62 0.83 0.56 0.08 0.24 0.85 0.84 0.10 0.36 0.83 0.04 0.94 0.26 0.48 0.80 0.32 0.52 0.04 0.45 0.55 0.32 0.40 0.94 0.50 0.06 0.95 ]
