D = 6;
n = [ 2 2 2 2 2 2 ];
N = 19;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 6 ];
m = [
[1.00 0.22 0.64 0.30 0.81 0.04 0.91 0.13 0.86 0.84 0.36 0.73 0.90 0.77 0.44 0.89 0.70 0.68 0.10 ]
[0.22 1.00 0.97 0.82 0.24 0.87 0.10 0.79 0.73 0.82 0.40 0.33 0.65 0.77 0.13 0.66 0.77 0.95 0.95 ]
[0.64 0.97 1.00 0.76 0.86 0.54 0.71 0.81 0.48 0.52 0.99 0.04 0.98 0.14 0.14 0.18 0.28 0.72 0.54 ]
[0.30 0.82 0.76 1.00 0.66 0.15 0.90 0.95 0.49 0.20 0.24 0.18 0.90 0.57 0.80 0.93 0.63 0.15 0.02 ]
[0.81 0.24 0.86 0.66 1.00 0.27 0.96 0.32 0.77 0.68 0.42 0.75 0.33 0.43 0.32 0.38 0.59 0.17 0.00 ]
[0.04 0.87 0.54 0.15 0.27 1.00 0.66 0.12 0.67 0.73 0.04 0.17 0.31 0.72 0.39 0.11 0.17 0.73 0.24 ]
[0.91 0.10 0.71 0.90 0.96 0.66 1.00 0.70 0.60 0.72 0.07 0.96 0.41 0.94 0.54 0.91 0.96 0.82 0.93 ]
[0.13 0.79 0.81 0.95 0.32 0.12 0.70 1.00 0.67 0.90 0.82 0.24 0.49 0.28 0.68 0.65 0.25 0.54 0.20 ]
[0.86 0.73 0.48 0.49 0.77 0.67 0.60 0.67 1.00 0.45 0.72 0.14 0.34 0.50 0.09 0.03 0.62 0.01 0.58 ]
[0.84 0.82 0.52 0.20 0.68 0.73 0.72 0.90 0.45 1.00 0.74 0.57 0.51 0.56 0.94 0.00 0.63 0.93 0.30 ]
[0.36 0.40 0.99 0.24 0.42 0.04 0.07 0.82 0.72 0.74 1.00 0.01 0.10 0.20 0.48 0.70 0.23 0.59 0.41 ]
[0.73 0.33 0.04 0.18 0.75 0.17 0.96 0.24 0.14 0.57 0.01 1.00 0.75 0.06 0.39 0.86 0.26 0.16 0.65 ]
[0.90 0.65 0.98 0.90 0.33 0.31 0.41 0.49 0.34 0.51 0.10 0.75 1.00 0.02 0.92 0.15 0.93 0.39 0.52 ]
[0.77 0.77 0.14 0.57 0.43 0.72 0.94 0.28 0.50 0.56 0.20 0.06 0.02 1.00 0.01 0.11 0.50 0.62 0.79 ]
[0.44 0.13 0.14 0.80 0.32 0.39 0.54 0.68 0.09 0.94 0.48 0.39 0.92 0.01 1.00 0.61 0.43 0.77 0.22 ]
[0.89 0.66 0.18 0.93 0.38 0.11 0.91 0.65 0.03 0.00 0.70 0.86 0.15 0.11 0.61 1.00 0.06 0.44 0.26 ]
[0.70 0.77 0.28 0.63 0.59 0.17 0.96 0.25 0.62 0.63 0.23 0.26 0.93 0.50 0.43 0.06 1.00 0.99 0.27 ]
[0.68 0.95 0.72 0.15 0.17 0.73 0.82 0.54 0.01 0.93 0.59 0.16 0.39 0.62 0.77 0.44 0.99 1.00 0.14 ]
[0.10 0.95 0.54 0.02 0.00 0.24 0.93 0.20 0.58 0.30 0.41 0.65 0.52 0.79 0.22 0.26 0.27 0.14 1.00 ]
];
