D = 4;
n = [ 2 2 2 2 ];
N = 12;
d = [1 1 1 2 2 2 3 3 3 4 4 4 ];
m = [
[1.00 0.70 0.02 0.99 0.87 0.50 0.29 0.78 0.22 0.38 0.51 0.48 ]
[0.70 1.00 0.73 0.30 0.55 0.75 0.88 0.73 0.47 0.67 0.47 0.94 ]
[0.02 0.73 1.00 0.77 0.13 0.77 0.61 0.86 1.00 0.73 0.99 0.74 ]
[0.99 0.30 0.77 1.00 0.53 0.89 0.56 0.01 0.41 0.16 0.33 0.46 ]
[0.87 0.55 0.13 0.53 1.00 0.43 0.30 0.85 0.25 0.95 0.99 0.56 ]
[0.50 0.75 0.77 0.89 0.43 1.00 0.41 0.27 0.62 0.27 0.52 0.85 ]
[0.29 0.88 0.61 0.56 0.30 0.41 1.00 0.72 0.16 0.86 0.79 0.36 ]
[0.78 0.73 0.86 0.01 0.85 0.27 0.72 1.00 0.03 0.39 0.36 0.87 ]
[0.22 0.47 1.00 0.41 0.25 0.62 0.16 0.03 1.00 0.16 0.26 0.32 ]
[0.38 0.67 0.73 0.16 0.95 0.27 0.86 0.39 0.16 1.00 0.90 0.26 ]
[0.51 0.47 0.99 0.33 0.99 0.52 0.79 0.36 0.26 0.90 1.00 0.70 ]
[0.48 0.94 0.74 0.46 0.56 0.85 0.36 0.87 0.32 0.26 0.70 1.00 ]
];
