D = 4;
n = [ 3 3 3 3 ];
N = 24;
d = [1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 4 4 ];
m = [
[1.00 0.25 0.11 0.85 0.02 0.29 0.08 0.97 0.60 0.33 0.54 0.23 0.13 0.64 0.85 0.95 0.21 0.65 0.99 0.38 0.65 0.96 0.63 0.74 ]
[0.25 1.00 0.83 0.74 0.71 0.56 0.13 0.59 0.84 0.07 0.93 0.79 0.09 0.55 0.17 0.17 0.57 0.66 0.71 0.34 0.39 0.96 0.78 0.97 ]
[0.11 0.83 1.00 0.05 0.67 0.02 0.51 0.26 0.92 0.40 0.18 0.21 0.92 0.46 0.19 0.98 0.95 0.84 0.60 0.68 0.86 0.88 0.75 0.39 ]
[0.85 0.74 0.05 1.00 0.63 0.88 0.74 0.45 0.41 0.37 0.17 0.92 0.88 0.89 0.35 0.55 0.94 0.49 0.40 0.75 0.21 0.29 0.08 0.18 ]
[0.02 0.71 0.67 0.63 1.00 0.15 0.57 0.27 0.41 0.21 0.00 0.13 0.20 0.92 0.11 0.91 0.11 0.84 0.79 0.32 0.44 0.43 0.40 0.58 ]
[0.29 0.56 0.02 0.88 0.15 1.00 0.11 0.28 0.44 0.87 0.51 0.82 0.86 0.92 0.92 0.26 0.85 0.08 0.27 0.73 0.96 0.15 0.50 0.35 ]
[0.08 0.13 0.51 0.74 0.57 0.11 1.00 0.44 0.60 0.24 0.22 0.44 0.93 0.83 0.94 0.95 0.02 0.59 0.45 0.75 0.75 0.63 0.48 0.50 ]
[0.97 0.59 0.26 0.45 0.27 0.28 0.44 1.00 0.79 0.47 0.13 0.88 0.01 0.49 0.96 0.41 0.36 0.07 0.24 0.03 0.31 0.77 0.38 0.53 ]
[0.60 0.84 0.92 0.41 0.41 0.44 0.60 0.79 1.00 0.27 0.10 0.69 0.71 0.88 0.07 0.39 0.51 0.88 0.47 0.44 0.66 0.75 0.72 0.93 ]
[0.33 0.07 0.40 0.37 0.21 0.87 0.24 0.47 0.27 1.00 0.71 0.92 0.78 0.88 0.05 0.56 0.11 0.74 0.82 0.30 0.85 0.65 0.68 0.05 ]
[0.54 0.93 0.18 0.17 0.00 0.51 0.22 0.13 0.10 0.71 1.00 0.35 0.73 0.18 0.44 0.64 0.78 0.71 0.10 0.72 0.46 0.56 0.61 0.35 ]
[0.23 0.79 0.21 0.92 0.13 0.82 0.44 0.88 0.69 0.92 0.35 1.00 0.06 0.63 0.11 0.23 1.00 0.77 0.40 0.63 0.36 0.34 0.32 0.19 ]
[0.13 0.09 0.92 0.88 0.20 0.86 0.93 0.01 0.71 0.78 0.73 0.06 1.00 0.66 0.22 0.93 0.39 0.21 0.85 0.61 0.74 0.99 0.55 0.72 ]
[0.64 0.55 0.46 0.89 0.92 0.92 0.83 0.49 0.88 0.88 0.18 0.63 0.66 1.00 0.67 0.15 0.83 0.18 0.05 0.04 0.74 0.34 0.42 0.18 ]
[0.85 0.17 0.19 0.35 0.11 0.92 0.94 0.96 0.07 0.05 0.44 0.11 0.22 0.67 1.00 0.59 0.81 0.61 0.65 0.40 0.11 0.22 0.98 0.24 ]
[0.95 0.17 0.98 0.55 0.91 0.26 0.95 0.41 0.39 0.56 0.64 0.23 0.93 0.15 0.59 1.00 0.23 0.10 0.99 0.10 0.85 0.83 0.67 0.17 ]
[0.21 0.57 0.95 0.94 0.11 0.85 0.02 0.36 0.51 0.11 0.78 1.00 0.39 0.83 0.81 0.23 1.00 0.53 0.15 0.80 0.99 0.77 0.26 0.22 ]
[0.65 0.66 0.84 0.49 0.84 0.08 0.59 0.07 0.88 0.74 0.71 0.77 0.21 0.18 0.61 0.10 0.53 1.00 0.82 0.54 0.02 0.84 0.39 0.81 ]
[0.99 0.71 0.60 0.40 0.79 0.27 0.45 0.24 0.47 0.82 0.10 0.40 0.85 0.05 0.65 0.99 0.15 0.82 1.00 0.49 0.11 0.14 0.05 0.39 ]
[0.38 0.34 0.68 0.75 0.32 0.73 0.75 0.03 0.44 0.30 0.72 0.63 0.61 0.04 0.40 0.10 0.80 0.54 0.49 1.00 0.88 0.84 0.79 0.93 ]
[0.65 0.39 0.86 0.21 0.44 0.96 0.75 0.31 0.66 0.85 0.46 0.36 0.74 0.74 0.11 0.85 0.99 0.02 0.11 0.88 1.00 0.16 0.11 0.72 ]
[0.96 0.96 0.88 0.29 0.43 0.15 0.63 0.77 0.75 0.65 0.56 0.34 0.99 0.34 0.22 0.83 0.77 0.84 0.14 0.84 0.16 1.00 0.50 0.08 ]
[0.63 0.78 0.75 0.08 0.40 0.50 0.48 0.38 0.72 0.68 0.61 0.32 0.55 0.42 0.98 0.67 0.26 0.39 0.05 0.79 0.11 0.50 1.00 0.90 ]
[0.74 0.97 0.39 0.18 0.58 0.35 0.50 0.53 0.93 0.05 0.35 0.19 0.72 0.18 0.24 0.17 0.22 0.81 0.39 0.93 0.72 0.08 0.90 1.00 ]
];
