D = 8;
n = [ 2 2 2 2 2 2 2 2 ];
N = 28;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 8 8 8 8 ];
m = [
[1.00 0.64 0.83 0.59 0.07 0.29 0.06 0.87 0.06 0.08 0.77 0.81 0.80 0.44 0.76 0.72 0.34 0.93 0.17 0.05 0.11 0.03 0.63 0.37 0.24 0.15 0.17 0.28 ]
[0.64 1.00 0.91 0.22 0.15 0.70 0.84 0.74 0.91 0.13 0.71 0.95 0.33 0.38 0.97 0.97 0.17 0.25 0.63 0.63 0.20 0.31 0.97 0.23 0.58 0.83 0.41 0.52 ]
[0.83 0.91 1.00 0.26 0.13 0.62 0.32 0.29 0.46 0.09 0.90 0.42 0.26 0.41 0.99 0.33 0.24 0.46 0.15 0.77 0.72 0.95 0.36 0.36 0.97 0.04 0.05 0.23 ]
[0.59 0.22 0.26 1.00 0.83 0.21 0.48 0.11 0.60 0.43 0.07 0.00 0.32 0.61 0.72 0.60 0.44 0.33 0.06 0.34 0.48 0.50 0.04 0.30 0.76 0.59 0.92 0.04 ]
[0.07 0.15 0.13 0.83 1.00 0.41 0.59 0.77 0.22 0.74 0.66 0.97 0.87 0.82 0.28 0.88 0.56 0.12 0.79 0.35 0.96 0.55 0.10 0.90 0.30 0.90 0.74 0.27 ]
[0.29 0.70 0.62 0.21 0.41 1.00 0.78 0.59 0.35 0.63 0.12 0.28 0.13 0.37 0.15 0.89 0.69 0.53 0.30 0.31 0.95 0.09 0.55 0.17 0.06 0.53 0.55 0.88 ]
[0.06 0.84 0.32 0.48 0.59 0.78 1.00 0.88 0.14 0.46 0.49 0.45 0.10 0.12 0.61 0.86 0.12 0.91 0.08 0.56 0.27 0.85 0.27 0.67 0.18 0.46 0.51 0.60 ]
[0.87 0.74 0.29 0.11 0.77 0.59 0.88 1.00 0.86 0.77 0.47 0.18 0.64 0.56 0.18 0.75 0.20 0.04 0.56 0.06 0.02 0.72 0.20 0.31 0.85 0.24 0.32 0.39 ]
[0.06 0.91 0.46 0.60 0.22 0.35 0.14 0.86 1.00 0.15 0.22 0.68 0.29 0.10 0.75 0.77 0.04 0.32 0.33 0.11 0.72 0.73 0.42 0.55 0.21 0.67 0.54 0.10 ]
[0.08 0.13 0.09 0.43 0.74 0.63 0.46 0.77 0.15 1.00 0.96 0.89 0.31 0.94 0.76 0.60 0.43 0.00 0.46 0.68 0.97 0.73 0.03 0.13 0.72 0.72 0.38 0.41 ]
[0.77 0.71 0.90 0.07 0.66 0.12 0.49 0.47 0.22 0.96 1.00 0.08 0.72 0.81 0.64 0.89 0.98 0.31 0.09 0.09 0.09 0.60 0.33 0.46 0.29 0.71 0.39 0.12 ]
[0.81 0.95 0.42 0.00 0.97 0.28 0.45 0.18 0.68 0.89 0.08 1.00 0.07 0.87 0.29 0.66 0.18 0.33 0.14 0.68 0.48 0.54 0.78 0.24 0.19 0.28 0.32 0.03 ]
[0.80 0.33 0.26 0.32 0.87 0.13 0.10 0.64 0.29 0.31 0.72 0.07 1.00 0.97 0.06 0.59 0.41 0.70 0.87 0.02 0.08 0.64 0.52 0.19 0.51 0.21 0.95 0.27 ]
[0.44 0.38 0.41 0.61 0.82 0.37 0.12 0.56 0.10 0.94 0.81 0.87 0.97 1.00 0.63 0.14 0.78 0.42 0.67 0.93 0.16 0.48 0.37 0.90 0.82 0.36 0.47 0.07 ]
[0.76 0.97 0.99 0.72 0.28 0.15 0.61 0.18 0.75 0.76 0.64 0.29 0.06 0.63 1.00 0.49 0.01 0.58 0.64 0.45 0.40 0.65 0.29 0.68 0.18 0.90 0.83 0.19 ]
[0.72 0.97 0.33 0.60 0.88 0.89 0.86 0.75 0.77 0.60 0.89 0.66 0.59 0.14 0.49 1.00 0.02 0.36 0.50 0.33 0.58 0.80 0.81 0.98 0.69 0.85 0.55 0.07 ]
[0.34 0.17 0.24 0.44 0.56 0.69 0.12 0.20 0.04 0.43 0.98 0.18 0.41 0.78 0.01 0.02 1.00 0.09 0.90 0.29 0.37 0.32 0.19 0.11 0.83 0.26 0.68 0.27 ]
[0.93 0.25 0.46 0.33 0.12 0.53 0.91 0.04 0.32 0.00 0.31 0.33 0.70 0.42 0.58 0.36 0.09 1.00 0.62 0.96 0.72 0.86 0.17 0.38 0.58 0.03 0.59 0.96 ]
[0.17 0.63 0.15 0.06 0.79 0.30 0.08 0.56 0.33 0.46 0.09 0.14 0.87 0.67 0.64 0.50 0.90 0.62 1.00 0.59 0.77 0.90 0.10 0.17 0.76 0.41 0.48 0.98 ]
[0.05 0.63 0.77 0.34 0.35 0.31 0.56 0.06 0.11 0.68 0.09 0.68 0.02 0.93 0.45 0.33 0.29 0.96 0.59 1.00 0.23 0.66 0.43 0.57 0.04 0.38 0.94 0.38 ]
[0.11 0.20 0.72 0.48 0.96 0.95 0.27 0.02 0.72 0.97 0.09 0.48 0.08 0.16 0.40 0.58 0.37 0.72 0.77 0.23 1.00 0.59 0.79 0.71 0.64 0.01 0.89 0.96 ]
[0.03 0.31 0.95 0.50 0.55 0.09 0.85 0.72 0.73 0.73 0.60 0.54 0.64 0.48 0.65 0.80 0.32 0.86 0.90 0.66 0.59 1.00 0.39 0.49 0.07 0.36 0.27 0.76 ]
[0.63 0.97 0.36 0.04 0.10 0.55 0.27 0.20 0.42 0.03 0.33 0.78 0.52 0.37 0.29 0.81 0.19 0.17 0.10 0.43 0.79 0.39 1.00 0.85 0.63 0.54 0.39 0.64 ]
[0.37 0.23 0.36 0.30 0.90 0.17 0.67 0.31 0.55 0.13 0.46 0.24 0.19 0.90 0.68 0.98 0.11 0.38 0.17 0.57 0.71 0.49 0.85 1.00 0.57 0.81 0.69 0.31 ]
