D = 8;
n = [ 2 2 2 2 2 2 2 2 ];
N = 27;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 8 8 8 ];
m = [
[1.00 0.77 0.44 0.11 0.69 0.33 0.06 0.37 0.37 0.73 0.77 0.62 0.94 0.55 0.32 0.88 0.43 0.66 0.48 0.44 0.78 0.81 0.04 0.28 0.23 0.82 0.99 ]
[0.77 1.00 0.05 0.51 0.78 0.82 0.59 0.41 0.13 0.59 0.62 0.39 0.07 0.37 0.53 0.59 0.59 0.53 0.04 0.26 0.31 0.00 0.32 0.79 0.07 0.02 0.52 ]
[0.44 0.05 1.00 0.91 0.70 0.48 0.13 0.96 0.97 0.36 0.87 0.41 0.21 0.48 0.93 0.34 0.40 0.11 0.01 0.68 0.93 0.02 0.97 0.43 0.00 0.11 0.49 ]
[0.11 0.51 0.91 1.00 0.90 0.66 0.21 0.84 0.78 0.82 0.61 0.30 0.06 0.08 0.29 0.36 0.59 0.70 0.50 0.04 0.11 0.49 0.67 0.68 0.55 0.80 0.21 ]
[0.69 0.78 0.70 0.90 1.00 0.10 0.44 0.69 0.04 0.17 0.55 0.13 0.97 0.16 0.98 0.49 0.71 0.43 0.22 0.43 0.36 0.53 0.28 0.42 0.90 0.24 0.84 ]
[0.33 0.82 0.48 0.66 0.10 1.00 0.90 0.79 0.61 0.10 0.47 0.44 0.53 0.10 0.79 0.72 0.88 0.37 0.04 0.97 0.40 0.25 0.41 0.33 0.87 0.05 0.85 ]
[0.06 0.59 0.13 0.21 0.44 0.90 1.00 1.00 0.85 0.76 0.42 0.07 0.77 0.84 0.48 0.60 0.36 0.35 0.89 0.69 0.78 0.71 0.97 0.65 0.37 0.18 0.55 ]
[0.37 0.41 0.96 0.84 0.69 0.79 1.00 1.00 0.11 0.27 0.09 0.00 0.60 0.62 0.69 0.30 0.34 0.54 0.30 0.99 0.23 0.74 0.98 0.87 0.59 0.30 0.27 ]
[0.37 0.13 0.97 0.78 0.04 0.61 0.85 0.11 1.00 0.82 0.67 0.56 0.35 0.59 0.62 0.02 0.84 0.28 0.54 0.74 0.17 0.93 0.80 0.57 0.35 0.81 0.88 ]
[0.73 0.59 0.36 0.82 0.17 0.10 0.76 0.27 0.82 1.00 0.43 0.92 0.13 0.42 0.74 0.18 0.93 0.05 0.43 0.16 0.78 0.90 0.37 0.36 0.61 0.18 0.24 ]
[0.77 0.62 0.87 0.61 0.55 0.47 0.42 0.09 0.67 0.43 1.00 0.30 1.00 0.77 0.50 0.94 0.16 0.51 0.92 0.23 0.94 0.19 0.05 0.70 0.52 0.48 0.60 ]
[0.62 0.39 0.41 0.30 0.13 0.44 0.07 0.00 0.56 0.92 0.30 1.00 0.53 0.93 0.15 0.68 0.80 0.40 0.00 0.56 0.24 0.96 0.18 0.89 0.47 0.98 0.43 ]
[0.94 0.07 0.21 0.06 0.97 0.53 0.77 0.60 0.35 0.13 1.00 0.53 1.00 0.84 0.31 0.29 0.18 0.94 0.16 0.71 0.24 0.66 0.51 0.44 0.94 0.40 0.14 ]
