D = 2;
n = [ 5 5 ];
N = 42;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.16 0.76 0.09 0.46 0.98 0.04 0.22 0.99 1.00 0.03 0.73 0.92 0.08 0.75 0.08 0.53 0.29 0.52 0.80 0.15 0.37 0.65 0.75 0.99 0.64 0.49 0.46 0.65 0.67 0.14 0.85 0.37 0.22 0.40 0.05 0.40 0.57 0.63 0.48 0.08 0.18 ]
[0.16 1.00 0.88 0.65 0.91 0.54 0.53 0.65 0.60 0.53 0.89 0.80 0.39 0.06 0.66 0.09 0.69 0.06 0.74 0.05 0.66 0.89 0.22 0.93 0.98 0.26 0.54 0.11 0.50 0.50 0.30 0.06 0.15 0.83 0.81 0.71 0.55 0.20 0.82 0.30 0.05 0.68 ]
[0.76 0.88 1.00 0.60 0.01 0.16 0.75 0.21 0.74 0.57 0.23 0.95 0.22 0.70 0.98 0.72 0.48 0.48 0.78 0.73 0.25 0.62 0.39 0.57 0.54 0.77 0.09 0.82 0.92 0.07 0.33 0.31 0.20 0.73 0.29 0.49 0.14 0.35 0.29 0.32 0.72 0.15 ]
[0.09 0.65 0.60 1.00 0.26 0.17 0.13 0.37 0.94 0.59 0.18 0.18 0.35 0.89 0.07 0.24 0.96 0.45 0.28 0.92 0.06 0.63 0.78 0.68 0.78 0.85 0.89 0.76 0.56 0.41 0.98 0.65 0.67 0.92 0.76 0.68 0.65 0.39 0.38 0.57 0.87 0.48 ]
[0.46 0.91 0.01 0.26 1.00 0.04 0.63 0.94 0.04 0.19 0.96 0.68 0.24 0.70 0.52 0.67 0.38 0.56 0.96 0.38 0.57 0.60 0.05 0.68 0.90 0.73 0.97 0.48 0.44 0.93 0.35 0.39 0.58 0.93 0.37 0.72 0.07 0.29 0.09 0.48 0.91 0.57 ]
[0.98 0.54 0.16 0.17 0.04 1.00 0.25 0.64 0.94 0.22 0.39 0.95 0.89 0.43 0.24 0.72 0.05 0.56 0.25 0.47 0.26 0.97 0.39 0.07 0.30 0.91 0.07 0.90 0.41 0.59 0.26 0.35 0.02 0.19 0.13 0.93 0.80 0.03 0.16 0.37 0.61 0.28 ]
[0.04 0.53 0.75 0.13 0.63 0.25 1.00 0.75 0.70 0.85 0.33 0.68 0.96 0.47 0.63 1.00 0.83 0.37 0.93 0.11 0.37 0.89 0.84 0.98 0.04 0.02 0.14 0.59 0.03 0.55 0.61 0.87 0.48 0.89 0.18 0.04 0.77 0.71 0.18 0.96 0.39 0.32 ]
[0.22 0.65 0.21 0.37 0.94 0.64 0.75 1.00 0.56 0.23 0.89 0.86 0.32 0.83 0.63 0.91 0.50 0.21 0.48 0.20 0.12 0.30 0.50 0.95 0.03 0.08 0.47 0.69 0.78 0.94 0.51 0.73 0.47 0.57 0.08 0.29 0.23 0.40 0.38 0.39 0.73 0.43 ]
[0.99 0.60 0.74 0.94 0.04 0.94 0.70 0.56 1.00 0.21 0.73 0.08 0.60 0.90 0.16 0.86 0.26 0.72 0.65 0.38 0.57 0.18 0.37 0.12 0.17 0.53 0.34 0.98 0.02 0.01 0.50 0.07 0.93 0.42 0.37 0.38 0.66 0.44 0.37 0.72 0.92 0.68 ]
[1.00 0.53 0.57 0.59 0.19 0.22 0.85 0.23 0.21 1.00 0.41 0.87 1.00 0.06 0.83 0.04 0.42 0.10 0.64 0.97 0.54 0.17 0.38 0.40 0.05 0.84 0.99 0.93 0.72 0.67 0.93 0.18 0.93 0.77 0.55 0.28 0.94 0.55 0.59 0.70 0.98 0.22 ]
