D = 4;
n = [ 3 3 3 3 ];
N = 17;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 4 ];
m = [
[1.00 0.63 0.79 0.92 0.44 0.30 0.61 0.55 0.76 0.14 0.74 0.53 0.60 0.47 0.07 0.60 0.80 ]
[0.63 1.00 0.14 0.66 0.97 0.21 0.03 0.05 0.54 0.18 0.96 0.70 0.26 0.50 0.06 0.92 0.04 ]
[0.79 0.14 1.00 0.97 0.19 0.87 0.79 0.27 0.01 0.25 0.32 0.93 0.28 0.17 0.99 0.99 0.06 ]
[0.92 0.66 0.97 1.00 0.33 0.12 0.20 0.67 0.79 0.40 0.27 0.10 0.40 0.08 0.76 0.09 0.30 ]
[0.44 0.97 0.19 0.33 1.00 0.52 0.43 0.90 0.40 0.96 0.82 0.48 0.42 0.64 0.42 0.18 0.18 ]
[0.30 0.21 0.87 0.12 0.52 1.00 0.55 0.72 0.20 0.59 0.80 0.61 0.77 0.12 0.29 0.97 0.52 ]
[0.61 0.03 0.79 0.20 0.43 0.55 1.00 0.86 0.54 0.45 0.76 0.40 0.82 0.02 0.07 0.42 0.03 ]
[0.55 0.05 0.27 0.67 0.90 0.72 0.86 1.00 0.61 0.46 0.50 0.16 0.50 0.11 0.13 0.34 0.08 ]
[0.76 0.54 0.01 0.79 0.40 0.20 0.54 0.61 1.00 0.30 0.08 0.84 0.16 0.30 0.26 0.58 0.50 ]
[0.14 0.18 0.25 0.40 0.96 0.59 0.45 0.46 0.30 1.00 0.42 0.84 0.81 0.10 0.44 0.90 0.36 ]
[0.74 0.96 0.32 0.27 0.82 0.80 0.76 0.50 0.08 0.42 1.00 0.54 0.08 0.89 0.89 0.36 0.02 ]
[0.53 0.70 0.93 0.10 0.48 0.61 0.40 0.16 0.84 0.84 0.54 1.00 0.62 0.11 0.53 0.54 0.67 ]
[0.60 0.26 0.28 0.40 0.42 0.77 0.82 0.50 0.16 0.81 0.08 0.62 1.00 0.60 0.61 0.82 0.06 ]
[0.47 0.50 0.17 0.08 0.64 0.12 0.02 0.11 0.30 0.10 0.89 0.11 0.60 1.00 0.58 0.81 0.03 ]
[0.07 0.06 0.99 0.76 0.42 0.29 0.07 0.13 0.26 0.44 0.89 0.53 0.61 0.58 1.00 0.89 0.52 ]
[0.60 0.92 0.99 0.09 0.18 0.97 0.42 0.34 0.58 0.90 0.36 0.54 0.82 0.81 0.89 1.00 0.18 ]
[0.80 0.04 0.06 0.30 0.18 0.52 0.03 0.08 0.50 0.36 0.02 0.67 0.06 0.03 0.52 0.18 1.00 ]
];
