D = 2;
n = [ 5 5 ];
N = 13;
d = [1 1 1 1 1 1 2 2 2 2 2 2 2 ];
m = [
[1.00 0.45 0.72 0.76 0.69 0.75 0.62 0.99 0.09 0.97 0.16 0.04 0.43 ]
[0.45 1.00 0.47 0.60 0.59 0.79 0.24 0.22 0.13 0.04 0.58 0.33 0.01 ]
[0.72 0.47 1.00 0.95 0.87 0.82 0.33 0.52 0.53 0.28 0.96 0.69 0.25 ]
[0.76 0.60 0.95 1.00 0.19 0.08 0.24 0.59 0.91 0.70 0.20 0.11 0.77 ]
[0.69 0.59 0.87 0.19 1.00 0.18 0.54 0.25 0.11 0.19 0.90 0.57 0.48 ]
[0.75 0.79 0.82 0.08 0.18 1.00 0.47 0.00 0.42 0.03 0.32 0.91 0.74 ]
[0.62 0.24 0.33 0.24 0.54 0.47 1.00 0.98 0.03 0.97 0.77 0.63 0.69 ]
[0.99 0.22 0.52 0.59 0.25 0.00 0.98 1.00 0.19 0.74 0.56 0.39 0.07 ]
[0.09 0.13 0.53 0.91 0.11 0.42 0.03 0.19 1.00 0.05 0.34 0.60 0.72 ]
[0.97 0.04 0.28 0.70 0.19 0.03 0.97 0.74 0.05 1.00 0.82 0.69 0.56 ]
[0.16 0.58 0.96 0.20 0.90 0.32 0.77 0.56 0.34 0.82 1.00 0.69 0.86 ]
[0.04 0.33 0.69 0.11 0.57 0.91 0.63 0.39 0.60 0.69 0.69 1.00 0.82 ]
[0.43 0.01 0.25 0.77 0.48 0.74 0.69 0.07 0.72 0.56 0.86 0.82 1.00 ]
];
