D = 2;
n = [ 4 4 ];
N = 37;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.35 0.71 0.35 0.24 0.71 0.48 0.74 0.07 0.35 0.62 0.08 0.26 0.81 0.71 0.99 0.09 0.27 0.28 0.45 0.27 0.83 0.29 0.71 0.84 0.72 0.40 0.66 0.29 0.54 0.69 0.41 0.59 0.68 0.18 0.28 0.29 ]
[0.35 1.00 0.76 0.50 0.98 0.12 0.22 0.17 0.83 0.06 0.39 0.83 0.09 0.83 0.52 0.97 0.41 0.09 0.92 0.20 0.53 0.81 0.14 0.06 0.69 0.42 0.81 0.32 0.11 0.97 0.45 0.14 0.31 0.89 1.00 0.43 0.42 ]
[0.71 0.76 1.00 0.12 0.27 0.67 0.03 0.36 0.50 0.55 0.58 0.92 0.24 0.52 0.06 0.76 0.63 0.58 0.96 0.13 0.18 0.32 0.70 0.79 0.88 0.64 0.40 0.35 0.45 0.88 0.44 0.11 0.66 0.39 0.65 0.30 0.16 ]
[0.35 0.50 0.12 1.00 0.73 0.52 0.14 0.61 0.81 0.28 0.72 0.08 0.93 0.44 0.69 0.15 0.04 0.52 0.07 0.28 0.22 0.08 0.87 0.89 0.27 0.36 0.20 0.65 0.06 0.52 0.39 0.71 0.57 0.09 0.53 0.28 0.06 ]
[0.24 0.98 0.27 0.73 1.00 0.32 0.06 0.84 0.56 0.04 0.57 0.14 0.37 0.94 0.70 0.12 0.86 0.33 0.89 0.29 0.11 0.49 0.04 0.30 0.28 0.86 0.26 0.14 0.61 0.02 0.18 0.86 0.84 0.67 0.89 0.37 0.36 ]
[0.71 0.12 0.67 0.52 0.32 1.00 0.94 0.70 0.17 0.68 0.17 0.43 0.56 0.35 0.03 0.66 0.50 0.96 0.01 0.32 0.54 0.75 0.82 0.86 0.95 0.11 0.85 0.70 0.03 0.93 0.95 0.05 0.81 0.33 0.24 0.07 0.46 ]
[0.48 0.22 0.03 0.14 0.06 0.94 1.00 0.35 0.54 0.84 0.42 0.31 0.53 0.76 0.69 0.45 0.64 0.73 0.13 0.63 0.12 0.16 0.35 0.48 0.04 0.25 0.88 0.53 0.72 0.76 0.24 0.94 0.29 0.73 0.10 0.39 0.71 ]
[0.74 0.17 0.36 0.61 0.84 0.70 0.35 1.00 0.28 0.25 0.30 0.52 0.55 0.98 0.38 0.19 0.08 0.97 0.20 0.34 0.28 0.11 0.04 0.04 0.08 0.20 0.54 0.24 0.87 0.14 0.78 0.20 0.86 0.80 0.26 0.46 0.25 ]
[0.07 0.83 0.50 0.81 0.56 0.17 0.54 0.28 1.00 0.36 0.71 0.88 0.74 0.94 0.74 0.03 0.33 0.07 0.39 0.40 0.01 0.15 0.63 0.16 0.81 0.00 0.61 0.84 0.12 0.61 0.44 0.26 0.06 0.79 0.91 0.42 0.15 ]
[0.35 0.06 0.55 0.28 0.04 0.68 0.84 0.25 0.36 1.00 0.24 0.42 0.27 0.59 0.18 0.08 0.73 0.23 0.26 0.14 0.00 0.88 0.11 0.58 0.26 0.22 0.37 0.94 0.04 0.56 0.29 0.10 0.33 0.61 0.89 0.60 0.32 ]
