D = 8;
n = [ 3 3 3 3 3 3 3 3 ];
N = 68;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.75 0.05 0.04 0.06 0.31 0.86 0.52 0.32 0.99 0.02 0.37 0.43 0.79 0.67 0.85 0.14 0.38 0.36 0.05 0.86 0.32 0.71 0.68 0.84 0.72 0.47 0.00 0.15 0.39 0.78 0.42 0.06 0.33 0.95 0.62 0.22 0.86 0.18 0.74 0.50 0.91 0.10 0.14 0.38 0.18 0.15 0.70 0.81 0.09 0.14 0.67 0.10 0.31 0.61 1.00 0.32 0.95 0.38 0.03 0.56 0.10 0.49 0.69 0.30 0.98 0.05 0.11 ]
[0.75 1.00 0.21 0.26 0.03 0.01 0.27 0.23 0.79 0.79 0.15 0.11 0.42 0.34 0.76 0.15 0.96 0.90 0.77 0.48 0.31 0.42 0.50 0.91 0.43 0.78 0.91 0.43 0.13 0.19 0.71 0.87 0.79 0.00 0.45 0.49 0.85 0.87 0.83 0.96 0.02 0.46 0.70 0.12 0.12 0.88 0.17 0.40 0.06 0.30 0.47 0.23 0.08 0.23 0.00 0.17 0.67 0.88 0.08 0.94 0.25 0.55 0.50 0.36 0.45 0.09 0.37 0.19 ]
[0.05 0.21 1.00 0.73 0.90 0.93 0.84 0.74 0.44 0.31 0.63 0.23 0.52 0.70 0.16 0.71 0.89 0.31 0.46 0.07 0.75 0.11 0.06 0.60 0.71 0.03 0.07 0.87 0.90 0.12 0.07 0.85 0.94 0.16 0.79 1.00 0.21 0.34 0.28 0.94 0.86 0.76 0.42 0.37 0.99 0.60 0.64 0.82 0.74 0.82 0.72 0.68 0.20 0.68 0.03 0.73 0.55 0.32 0.38 0.53 0.49 0.62 0.50 0.49 0.71 0.75 0.26 0.23 ]
[0.04 0.26 0.73 1.00 0.07 0.48 0.38 0.73 0.71 0.44 0.62 0.67 0.34 0.19 0.70 0.40 0.42 0.84 0.82 0.20 0.60 0.12 0.12 0.16 0.52 0.52 0.05 0.97 0.03 0.58 0.90 0.52 0.32 0.88 0.27 0.52 0.99 0.60 0.03 0.72 0.72 0.89 0.93 0.41 0.16 0.02 0.97 0.36 0.39 0.11 0.00 0.69 0.25 0.89 0.53 0.27 0.61 0.96 0.71 0.07 0.68 0.39 0.03 0.86 0.99 0.46 0.55 0.34 ]
[0.06 0.03 0.90 0.07 1.00 0.44 0.42 0.86 1.00 0.85 0.79 0.78 0.27 0.33 0.68 0.82 0.48 0.99 0.24 0.42 0.86 0.39 0.37 0.47 0.43 0.66 0.36 0.81 0.13 0.01 0.58 0.74 0.26 0.10 0.31 0.37 0.11 0.13 0.23 0.68 0.80 0.67 0.84 0.76 0.95 0.85 0.05 0.75 0.45 0.57 0.61 0.01 0.98 0.38 0.37 0.11 0.26 0.29 0.37 0.42 0.14 0.89 0.27 0.59 0.02 0.66 0.38 0.85 ]
[0.31 0.01 0.93 0.48 0.44 1.00 0.23 0.61 0.50 0.06 0.30 0.13 0.38 0.84 0.72 0.24 0.91 0.18 0.43 0.35 0.42 0.66 0.83 0.14 0.04 0.45 0.41 0.40 0.79 0.22 0.45 0.95 0.99 0.48 0.33 0.58 0.48 0.69 0.82 0.82 0.41 0.08 0.47 0.15 0.47 0.97 0.09 0.89 0.45 0.16 0.17 0.44 0.80 0.26 0.75 0.08 0.47 0.79 0.52 0.43 0.74 0.58 0.55 0.25 0.15 0.05 0.26 0.09 ]
[0.86 0.27 0.84 0.38 0.42 0.23 1.00 0.11 0.80 0.33 0.13 0.34 0.88 0.69 0.34 0.14 0.48 0.66 0.15 0.43 0.89 0.29 0.51 0.52 0.45 0.14 0.81 0.38 0.56 0.12 0.43 0.82 0.63 0.16 0.58 0.60 0.32 0.67 0.90 0.45 0.39 0.37 0.97 0.57 0.03 0.73 0.49 0.36 0.99 0.12 0.65 0.81 0.50 0.13 0.02 0.74 0.48 0.03 0.11 0.15 0.51 0.17 0.43 0.77 0.24 0.85 0.71 0.51 ]
[0.52 0.23 0.74 0.73 0.86 0.61 0.11 1.00 0.41 0.77 0.73 0.77 0.02 0.70 0.45 0.55 0.26 0.16 0.51 0.47 0.85 0.92 0.93 0.10 0.12 0.87 0.32 0.38 0.55 0.53 0.51 0.41 0.63 0.14 0.13 0.24 0.69 0.66 0.86 0.70 0.85 0.75 0.57 0.36 0.01 0.04 0.72 0.88 0.98 0.73 0.11 0.57 0.72 0.65 0.90 0.69 0.08 0.58 0.27 0.36 0.47 0.30 0.36 0.66 0.81 0.01 0.76 0.14 ]
[0.32 0.79 0.44 0.71 1.00 0.50 0.80 0.41 1.00 0.50 0.48 0.19 0.29 0.56 0.41 0.39 0.31 0.48 0.23 0.89 0.28 0.39 0.49 0.25 0.60 0.76 0.78 0.28 0.16 0.14 0.11 0.59 0.87 0.37 0.14 0.55 0.99 0.92 0.50 0.40 0.44 0.70 0.35 0.50 0.34 0.08 0.66 0.88 0.97 0.98 0.73 0.40 0.51 0.52 0.88 0.40 0.22 0.50 0.09 0.39 0.70 0.32 0.52 0.68 0.97 0.82 0.25 0.61 ]
[0.99 0.79 0.31 0.44 0.85 0.06 0.33 0.77 0.50 1.00 0.29 0.95 0.87 0.84 0.47 0.83 0.67 0.88 0.20 0.96 0.25 0.66 0.68 0.67 0.68 0.48 0.24 0.95 0.91 0.29 0.55 0.22 0.32 0.33 0.06 0.98 0.57 0.22 0.71 0.60 0.12 0.49 0.77 0.68 0.23 0.65 0.10 0.85 0.68 0.12 0.35 0.84 0.55 0.94 0.91 0.06 0.90 0.11 0.76 0.79 0.80 0.75 0.29 0.55 0.85 0.67 0.26 0.96 ]
