D = 4;
n = [ 3 3 3 3 ];
N = 96;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.97 0.76 0.11 0.90 0.51 0.72 0.77 0.84 0.78 0.03 0.88 0.62 0.15 0.07 0.82 0.24 0.22 0.84 0.56 0.54 0.17 0.76 0.68 0.71 0.00 0.32 0.03 0.57 0.88 0.68 0.66 1.00 0.20 0.62 0.81 0.61 0.55 0.22 0.58 0.25 0.20 0.78 0.14 0.27 0.87 0.87 0.04 0.09 0.92 0.76 0.25 0.34 0.30 0.18 0.38 0.29 0.70 0.61 0.30 0.79 0.59 0.30 0.79 0.74 0.70 0.31 0.28 0.76 0.04 0.65 0.77 0.32 0.15 0.13 0.19 0.71 0.29 0.39 0.30 0.68 0.23 0.90 0.82 0.24 0.36 0.58 0.44 0.99 0.33 0.27 1.00 0.89 0.52 0.35 0.94 ]
[0.97 1.00 0.22 0.95 0.22 0.93 0.85 0.21 0.28 0.29 0.75 0.22 0.76 0.72 0.54 0.88 0.45 0.45 0.69 0.12 0.32 0.64 0.46 0.19 0.50 0.70 0.57 0.01 0.67 0.07 0.42 0.25 0.75 0.81 0.89 0.67 0.30 0.02 0.54 0.31 0.28 0.78 0.78 0.25 0.41 0.40 0.40 0.83 0.29 0.85 0.61 1.00 0.36 0.40 0.25 0.99 0.71 0.63 0.35 0.86 0.04 0.90 0.60 0.31 0.09 0.78 0.93 0.03 0.37 0.31 0.97 0.99 0.04 0.66 0.76 0.44 0.48 0.05 0.85 0.37 0.60 0.86 0.51 0.73 0.04 0.85 0.60 0.60 0.76 0.92 0.05 0.16 0.39 0.72 0.70 0.48 ]
[0.76 0.22 1.00 0.96 0.09 0.11 0.66 0.11 0.26 0.03 0.29 0.92 0.59 0.96 0.84 0.90 0.57 0.48 0.79 0.84 0.38 0.38 0.23 0.49 0.14 0.01 0.52 0.33 0.67 0.18 0.18 0.98 0.28 0.24 0.13 0.47 0.65 0.86 0.72 0.12 0.45 0.69 0.06 0.17 0.12 0.11 0.90 0.47 0.65 0.46 0.20 0.11 0.85 0.64 0.52 0.83 0.04 0.07 0.94 0.64 0.11 0.22 0.13 0.02 0.45 0.65 0.49 0.12 0.81 0.28 0.43 0.39 0.25 0.39 0.71 0.84 0.97 0.54 0.20 0.55 0.48 0.69 0.50 0.75 0.94 0.61 0.18 0.01 0.48 0.71 0.91 0.55 0.12 0.22 0.69 0.01 ]
[0.11 0.95 0.96 1.00 0.82 0.08 0.53 0.12 0.25 0.57 0.15 0.88 0.20 0.34 0.51 0.88 0.87 0.59 0.60 0.01 0.13 0.90 0.09 0.34 0.92 0.36 0.11 0.92 0.44 0.94 0.56 0.73 0.76 0.26 0.74 0.45 0.71 0.44 0.93 0.94 0.83 0.02 0.37 0.22 0.70 0.09 0.37 0.42 0.63 0.46 0.23 0.73 0.51 0.66 0.00 0.24 0.87 0.90 0.60 0.71 0.40 0.49 0.71 0.87 0.66 0.24 0.71 0.22 0.57 0.09 0.75 0.45 0.90 0.40 0.84 0.09 0.23 0.92 0.49 0.05 0.04 0.65 0.91 0.19 0.39 0.72 0.16 0.60 0.74 0.94 0.19 0.85 0.58 0.56 0.77 0.78 ]
[0.90 0.22 0.09 0.82 1.00 0.06 0.92 0.38 0.35 0.15 0.41 0.45 0.60 0.93 0.38 0.74 0.87 0.87 0.00 0.02 0.87 0.98 0.51 0.07 0.08 0.08 0.32 0.79 0.66 0.84 0.61 0.95 0.83 0.08 0.82 0.01 0.10 0.54 0.35 0.65 0.26 0.04 0.46 0.44 0.62 0.89 0.01 0.66 0.12 0.56 0.46 0.02 0.25 0.71 0.05 0.34 0.43 0.57 0.33 0.00 0.02 0.63 0.49 0.67 0.03 0.88 0.45 0.42 0.24 0.54 0.80 0.42 0.08 0.36 0.49 0.97 0.60 0.09 0.23 0.13 0.07 0.85 0.04 0.04 0.33 0.75 0.35 0.81 0.69 0.04 0.09 0.97 0.26 0.87 0.03 0.58 ]
[0.51 0.93 0.11 0.08 0.06 1.00 0.99 0.78 0.45 0.20 0.42 0.06 0.51 0.69 0.48 0.18 0.53 0.40 0.23 0.04 0.84 0.28 0.71 0.82 0.80 0.86 0.65 0.44 0.48 0.25 0.86 0.11 0.58 0.97 0.74 0.11 0.18 0.85 0.56 0.78 0.97 0.70 0.51 0.72 0.91 0.75 0.19 0.49 0.59 0.73 0.68 0.60 0.70 0.64 0.38 0.08 0.41 0.35 0.00 0.25 0.37 0.02 0.98 0.10 0.09 0.46 0.96 0.40 0.95 0.73 0.93 0.14 0.48 0.62 0.52 0.71 0.85 0.86 0.85 0.91 0.07 0.10 0.53 0.99 0.54 0.49 0.97 0.58 0.56 0.36 0.09 0.92 0.60 0.12 0.14 0.45 ]
[0.72 0.85 0.66 0.53 0.92 0.99 1.00 0.95 0.93 0.39 0.54 1.00 0.63 0.79 0.56 0.89 0.84 0.74 0.47 1.00 0.99 0.40 0.10 0.61 0.41 0.55 0.83 0.13 0.31 0.87 0.18 0.10 0.22 0.20 0.22 0.78 0.77 0.75 0.68 0.76 0.89 0.21 0.28 0.99 0.89 0.08 0.73 0.50 0.31 0.47 0.54 0.58 0.14 0.22 0.65 0.24 0.11 0.83 0.98 0.21 0.21 0.96 0.02 0.34 0.10 0.39 0.54 0.43 0.88 0.30 0.42 0.41 0.37 0.77 0.47 0.30 0.18 0.59 0.03 0.97 0.39 0.78 0.40 0.33 0.99 0.97 0.19 0.66 0.84 0.03 0.71 0.51 0.54 0.45 0.07 0.10 ]
[0.77 0.21 0.11 0.12 0.38 0.78 0.95 1.00 0.23 0.88 0.48 0.10 0.73 0.16 0.88 0.23 0.57 0.85 0.42 0.08 0.12 0.14 0.06 0.45 0.59 0.97 0.53 0.52 0.74 0.78 0.22 0.24 0.24 0.19 0.97 0.71 0.39 0.70 0.76 0.03 0.24 0.48 0.29 0.95 0.24 0.90 0.34 0.35 0.83 0.45 0.54 0.06 0.94 0.45 0.76 0.36 0.79 0.98 0.72 0.83 0.48 0.65 0.79 0.89 0.93 0.41 0.30 0.17 0.39 0.54 0.06 0.56 0.87 0.60 0.37 0.39 0.41 0.19 0.24 0.56 0.29 0.20 0.32 0.41 0.12 0.11 0.05 0.89 0.91 0.59 0.33 0.65 0.09 0.76 0.90 0.39 ]
[0.84 0.28 0.26 0.25 0.35 0.45 0.93 0.23 1.00 0.19 0.24 0.50 0.74 0.50 0.42 0.57 0.83 0.75 0.47 0.51 0.23 0.13 0.22 0.10 0.87 0.65 0.50 0.07 0.88 0.55 0.35 0.31 0.75 0.51 0.96 0.80 0.35 0.03 0.19 0.75 0.43 0.97 0.70 0.44 0.52 0.67 0.55 0.98 0.43 0.95 0.97 0.39 0.21 0.36 0.91 0.63 0.41 0.84 0.24 0.48 0.51 0.31 0.27 0.53 0.29 0.11 0.59 0.28 0.85 0.60 0.27 0.21 0.95 0.32 0.32 0.70 0.24 0.66 0.76 0.71 0.29 0.76 0.51 0.33 0.02 0.32 0.65 0.52 0.71 0.75 0.27 0.61 0.55 0.98 0.23 0.71 ]
[0.78 0.29 0.03 0.57 0.15 0.20 0.39 0.88 0.19 1.00 0.13 0.27 0.37 0.22 0.18 0.05 0.10 0.89 0.93 0.49 0.25 0.82 0.45 0.47 0.49 0.86 0.84 0.98 0.83 0.66 0.81 0.93 0.59 0.20 0.87 0.60 0.64 0.04 0.45 0.99 0.48 0.74 0.29 0.07 0.66 0.53 0.93 0.13 0.46 0.47 0.52 0.94 0.15 0.33 0.84 0.71 0.92 0.87 0.75 0.84 0.71 0.21 0.09 0.24 0.44 0.32 0.12 0.53 0.81 0.86 0.52 0.90 0.66 0.82 0.36 1.00 0.21 0.25 0.72 0.98 0.20 0.06 0.25 0.08 0.37 0.26 0.47 0.99 0.44 0.62 0.09 0.31 0.17 0.87 0.06 0.90 ]
