D = 2;
n = [ 4 4 ];
N = 13;
d = [1 1 1 1 1 1 2 2 2 2 2 2 2 ];
m = [
[1.00 0.32 0.22 0.04 0.49 0.77 0.50 0.31 0.27 0.48 0.46 0.40 0.28 ]
[0.32 1.00 0.06 0.12 0.43 0.44 0.12 0.60 0.27 0.75 0.45 0.76 0.38 ]
[0.22 0.06 1.00 0.86 0.96 0.75 0.08 0.58 0.23 0.27 0.86 0.80 0.80 ]
[0.04 0.12 0.86 1.00 0.51 0.31 0.61 0.70 0.31 0.76 0.23 0.45 0.39 ]
[0.49 0.43 0.96 0.51 1.00 0.60 0.32 0.65 0.68 0.91 0.75 0.66 0.63 ]
[0.77 0.44 0.75 0.31 0.60 1.00 0.71 0.56 0.22 0.46 0.41 0.30 0.19 ]
[0.50 0.12 0.08 0.61 0.32 0.71 1.00 0.94 0.44 0.44 0.49 0.64 1.00 ]
[0.31 0.60 0.58 0.70 0.65 0.56 0.94 1.00 0.77 0.09 0.57 0.49 0.67 ]
[0.27 0.27 0.23 0.31 0.68 0.22 0.44 0.77 1.00 0.31 0.88 0.12 0.52 ]
[0.48 0.75 0.27 0.76 0.91 0.46 0.44 0.09 0.31 1.00 0.80 0.66 0.84 ]
[0.46 0.45 0.86 0.23 0.75 0.41 0.49 0.57 0.88 0.80 1.00 0.50 0.80 ]
[0.40 0.76 0.80 0.45 0.66 0.30 0.64 0.49 0.12 0.66 0.50 1.00 0.32 ]
[0.28 0.38 0.80 0.39 0.63 0.19 1.00 0.67 0.52 0.84 0.80 0.32 1.00 ]
];
