D = 4;
n = [ 2 2 2 2 ];
N = 15;
d = [1 1 1 2 2 2 3 3 3 4 4 4 4 4 4 ];
m = [
[1.00 0.35 0.49 0.80 0.07 0.08 0.93 0.84 0.60 0.21 0.24 0.12 0.41 0.92 0.85 ]
[0.35 1.00 0.75 0.69 0.55 0.25 0.57 0.81 0.96 0.35 0.57 0.97 0.22 0.13 0.37 ]
[0.49 0.75 1.00 0.46 0.96 0.60 0.81 0.33 0.79 0.74 0.10 0.09 0.94 0.23 1.00 ]
[0.80 0.69 0.46 1.00 0.92 0.95 0.39 0.24 0.84 0.11 0.36 0.38 0.72 0.49 0.38 ]
[0.07 0.55 0.96 0.92 1.00 0.05 0.25 0.46 0.73 0.03 0.50 0.07 0.96 0.58 0.43 ]
[0.08 0.25 0.60 0.95 0.05 1.00 0.70 0.75 0.46 0.73 0.87 0.32 0.62 0.93 0.77 ]
[0.93 0.57 0.81 0.39 0.25 0.70 1.00 0.73 0.98 0.10 0.45 0.97 0.86 0.40 0.97 ]
[0.84 0.81 0.33 0.24 0.46 0.75 0.73 1.00 0.72 0.17 0.35 0.44 0.65 0.57 0.12 ]
[0.60 0.96 0.79 0.84 0.73 0.46 0.98 0.72 1.00 0.74 0.85 0.62 0.93 0.65 0.62 ]
[0.21 0.35 0.74 0.11 0.03 0.73 0.10 0.17 0.74 1.00 0.39 0.59 0.32 0.43 0.39 ]
[0.24 0.57 0.10 0.36 0.50 0.87 0.45 0.35 0.85 0.39 1.00 0.31 0.58 0.31 0.52 ]
[0.12 0.97 0.09 0.38 0.07 0.32 0.97 0.44 0.62 0.59 0.31 1.00 0.68 0.20 0.96 ]
[0.41 0.22 0.94 0.72 0.96 0.62 0.86 0.65 0.93 0.32 0.58 0.68 1.00 0.40 0.58 ]
[0.92 0.13 0.23 0.49 0.58 0.93 0.40 0.57 0.65 0.43 0.31 0.20 0.40 1.00 0.43 ]
[0.85 0.37 1.00 0.38 0.43 0.77 0.97 0.12 0.62 0.39 0.52 0.96 0.58 0.43 1.00 ]
];
