D = 4;
n = [ 5 5 5 5 ];
N = 47;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.41 0.41 0.70 0.39 0.37 0.96 0.78 0.90 0.68 0.00 0.06 0.31 0.93 0.79 0.64 0.79 0.43 0.57 0.49 0.51 0.76 0.78 0.58 0.92 0.40 0.79 0.51 0.61 0.92 0.36 0.42 0.07 0.73 0.16 0.58 0.40 0.16 0.90 0.37 0.84 0.05 0.31 0.61 0.56 0.67 0.53 ]
[0.41 1.00 0.48 0.19 0.60 0.71 0.25 0.63 0.23 0.54 0.46 0.36 0.03 0.21 0.17 0.99 0.54 0.21 0.81 0.85 0.48 0.14 0.35 0.84 0.86 0.30 0.78 0.85 0.73 0.28 0.62 0.09 0.52 0.89 0.42 0.09 0.77 0.51 0.85 0.47 0.07 0.05 0.16 0.07 0.77 0.71 0.62 ]
[0.41 0.48 1.00 0.49 0.87 0.90 0.25 0.15 0.24 0.68 0.38 0.47 0.44 0.07 0.19 0.95 0.04 0.56 0.54 0.11 0.03 0.86 0.26 0.98 0.91 0.30 0.18 0.25 0.66 0.31 0.83 0.27 0.39 0.38 0.37 0.14 0.66 0.42 0.20 0.35 0.45 0.28 0.35 0.09 0.43 0.91 0.09 ]
[0.70 0.19 0.49 1.00 0.91 0.11 0.82 0.59 0.36 0.21 0.11 0.59 0.04 0.23 0.11 0.22 0.15 0.91 0.45 0.30 0.20 0.72 0.70 0.48 0.10 0.36 0.37 0.60 0.60 0.30 0.14 0.50 0.68 0.91 0.75 0.68 0.18 0.12 0.79 0.90 0.16 0.63 0.03 0.35 0.13 0.61 0.98 ]
[0.39 0.60 0.87 0.91 1.00 0.51 0.78 0.53 0.36 0.57 0.20 0.71 0.83 0.16 0.13 0.43 0.63 0.41 0.13 0.74 0.14 0.83 0.92 0.90 0.76 0.79 0.77 0.03 0.25 0.95 0.49 0.12 0.98 0.10 0.31 0.84 0.70 0.66 0.41 0.76 0.40 0.39 0.40 0.87 0.67 0.24 0.49 ]
[0.37 0.71 0.90 0.11 0.51 1.00 0.51 0.13 0.75 0.05 0.26 0.70 0.75 0.17 0.44 0.98 0.08 0.29 0.89 0.81 0.90 0.60 0.54 0.14 0.26 0.35 0.91 0.08 0.60 0.28 0.16 0.15 0.23 0.56 0.52 0.22 0.74 0.49 0.94 0.30 0.02 0.25 0.58 0.50 0.75 0.16 0.20 ]
[0.96 0.25 0.25 0.82 0.78 0.51 1.00 0.12 0.86 0.99 0.18 0.59 0.53 0.25 0.40 0.70 0.65 0.43 0.93 0.12 0.69 0.20 0.98 0.27 0.22 0.03 0.29 0.29 0.43 0.38 0.66 0.13 0.52 0.23 0.45 0.60 0.40 0.17 0.98 0.16 0.84 0.29 0.38 0.56 0.81 0.64 0.05 ]
[0.78 0.63 0.15 0.59 0.53 0.13 0.12 1.00 0.77 0.27 0.12 0.43 0.97 0.86 0.71 0.17 0.88 0.23 0.77 0.66 0.06 0.06 0.96 0.78 0.14 0.70 0.29 0.66 0.65 0.68 0.53 0.72 0.43 0.81 0.49 0.30 0.83 0.30 0.60 0.10 0.42 0.46 0.31 0.59 0.32 0.78 0.62 ]
[0.90 0.23 0.24 0.36 0.36 0.75 0.86 0.77 1.00 0.91 0.20 0.54 0.04 0.27 0.63 0.31 0.67 0.81 0.20 0.18 0.96 0.39 0.31 0.70 0.13 0.53 0.47 0.97 0.20 0.80 0.69 0.44 0.38 0.64 0.21 0.18 0.20 0.27 0.12 0.03 0.71 0.11 0.28 0.74 0.83 0.59 0.20 ]
[0.68 0.54 0.68 0.21 0.57 0.05 0.99 0.27 0.91 1.00 0.71 0.43 0.53 0.91 0.81 0.56 0.03 0.99 0.69 0.01 0.70 0.79 0.50 0.39 0.60 0.13 0.38 0.92 0.98 0.15 0.22 0.14 0.04 0.98 0.97 0.60 0.46 0.23 0.41 0.96 0.50 0.35 0.20 0.29 0.63 0.94 0.70 ]
[0.00 0.46 0.38 0.11 0.20 0.26 0.18 0.12 0.20 0.71 1.00 0.98 0.28 0.35 0.62 0.81 0.48 0.39 0.41 0.05 0.47 0.38 0.47 0.59 0.60 0.74 0.91 0.79 0.39 0.54 0.26 0.53 0.65 0.64 0.03 0.76 0.58 0.99 0.95 0.00 0.59 0.38 0.48 0.15 0.28 0.51 0.30 ]
[0.06 0.36 0.47 0.59 0.71 0.70 0.59 0.43 0.54 0.43 0.98 1.00 0.56 0.50 0.18 0.77 0.51 0.45 0.13 0.55 0.14 0.46 0.91 0.13 0.93 0.34 0.07 0.70 0.63 0.38 0.95 0.19 0.80 0.42 0.51 0.57 0.89 0.39 0.44 0.65 0.16 0.49 0.58 0.70 0.31 0.22 0.98 ]
[0.31 0.03 0.44 0.04 0.83 0.75 0.53 0.97 0.04 0.53 0.28 0.56 1.00 0.68 0.75 0.51 0.71 0.30 0.59 0.25 0.43 0.19 0.56 0.54 0.27 0.89 0.25 0.99 0.72 0.02 0.76 0.53 0.94 0.31 0.77 0.79 0.87 0.03 0.90 0.51 0.63 0.96 0.73 0.05 0.20 0.68 0.18 ]
[0.93 0.21 0.07 0.23 0.16 0.17 0.25 0.86 0.27 0.91 0.35 0.50 0.68 1.00 0.71 0.25 0.80 0.04 0.49 0.95 0.06 0.36 0.67 0.61 0.98 0.81 0.15 0.47 0.26 0.79 0.94 0.37 0.15 0.15 0.13 0.05 0.87 0.34 0.06 0.10 0.48 0.19 0.82 0.36 0.15 0.71 0.72 ]
