D = 6;
n = [ 2 2 2 2 2 2 ];
N = 74;
d = [1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.63 0.11 0.27 0.45 0.30 0.47 0.08 0.34 0.75 0.13 0.85 0.57 0.36 0.34 0.49 0.13 0.39 0.35 0.13 0.59 0.63 0.41 0.74 0.51 0.42 0.48 0.25 0.03 0.97 0.97 0.04 0.14 0.40 0.32 0.99 0.85 0.66 0.83 0.93 0.28 0.84 0.51 0.19 0.89 0.10 0.20 0.26 0.88 0.86 0.46 0.99 0.78 0.41 0.03 0.57 0.46 0.51 0.84 0.20 0.96 0.64 0.96 0.53 0.92 0.80 0.96 0.47 0.31 0.33 0.19 0.90 0.75 0.30 ]
[0.63 1.00 0.47 0.95 0.63 0.27 0.91 0.85 0.25 0.67 0.54 0.17 0.62 0.37 0.84 0.96 0.59 0.16 0.47 0.42 0.14 0.69 0.72 0.17 0.43 0.89 0.68 0.29 0.15 0.09 0.48 0.69 0.30 0.16 0.62 0.11 0.71 0.68 0.85 0.29 0.55 0.48 0.18 0.83 0.45 0.06 0.66 0.87 0.56 0.73 0.55 0.68 0.71 0.49 0.06 0.22 0.48 0.67 0.19 0.64 0.94 0.12 0.90 0.05 0.69 0.49 0.26 0.09 0.71 0.18 0.05 0.11 0.70 0.71 ]
[0.11 0.47 1.00 0.61 0.23 0.78 0.79 0.37 0.99 0.02 0.86 0.06 0.90 0.19 0.87 0.76 0.22 0.98 0.66 0.38 0.37 0.95 0.50 0.76 0.78 0.07 0.27 0.61 0.38 0.21 0.00 0.61 0.95 0.20 0.85 0.20 0.32 0.89 0.21 0.70 0.66 0.88 0.68 0.78 0.80 0.30 0.52 0.19 0.74 0.83 0.89 0.49 0.35 0.78 0.36 0.45 0.59 0.63 0.79 0.69 0.99 0.05 0.13 0.84 0.88 0.47 0.64 0.44 0.60 0.74 0.42 0.63 0.35 0.19 ]
[0.27 0.95 0.61 1.00 0.21 0.21 0.05 0.84 0.17 0.41 0.88 0.37 0.58 0.50 0.89 0.19 0.63 0.35 0.78 0.73 0.05 0.44 0.08 0.99 0.35 0.95 0.75 0.28 0.34 0.51 1.00 0.50 0.67 0.12 0.29 0.73 0.91 0.86 0.20 0.00 0.24 0.26 0.66 0.40 0.89 0.26 0.28 0.80 0.18 0.86 0.67 0.05 0.32 0.82 0.99 0.92 0.89 0.28 0.82 0.53 0.55 0.20 0.91 0.59 0.61 0.28 0.95 0.19 0.24 1.00 0.91 0.94 0.65 0.71 ]
[0.45 0.63 0.23 0.21 1.00 0.09 0.82 0.57 0.78 0.62 0.47 0.13 0.68 0.37 0.26 0.42 0.59 0.83 0.83 0.73 0.38 0.24 0.19 0.52 0.51 0.13 0.81 0.17 0.52 0.19 0.74 0.72 0.89 0.30 0.57 0.20 0.74 0.89 0.88 0.03 0.85 0.11 0.15 0.42 0.53 0.69 0.37 0.67 0.10 0.35 0.53 0.03 0.97 0.86 0.67 0.46 0.34 0.83 0.26 0.73 0.46 0.03 0.66 0.41 0.27 0.77 0.66 0.09 0.17 0.64 0.12 0.06 0.52 0.39 ]
[0.30 0.27 0.78 0.21 0.09 1.00 0.88 0.39 0.78 0.31 0.99 0.67 0.62 0.06 0.55 0.38 0.46 0.67 0.94 0.06 0.24 0.08 0.66 0.29 0.01 0.04 0.68 0.16 0.84 0.52 0.58 0.93 0.21 0.12 0.91 0.97 0.57 0.74 0.95 0.08 0.05 0.68 0.01 0.08 0.55 0.09 0.58 0.63 0.75 0.78 0.10 0.29 0.24 0.06 0.88 0.48 0.30 0.88 0.83 0.06 0.66 0.37 0.78 0.38 0.82 0.31 0.11 0.21 0.57 0.80 0.92 0.87 0.25 0.89 ]
[0.47 0.91 0.79 0.05 0.82 0.88 1.00 0.37 0.90 0.60 0.65 0.03 0.42 0.81 0.76 0.77 0.84 0.54 0.87 0.88 0.97 0.45 0.87 0.82 0.03 0.85 0.17 0.60 0.23 0.32 0.76 0.33 0.82 0.38 0.20 0.69 0.51 0.11 0.50 0.66 0.41 0.96 0.26 0.75 0.41 0.68 0.60 0.60 0.96 0.79 0.11 0.28 0.95 0.60 0.28 0.87 0.52 0.91 0.22 0.04 0.42 0.11 0.23 0.68 0.74 0.98 0.01 0.53 0.33 0.98 0.14 0.46 0.56 0.05 ]
[0.08 0.85 0.37 0.84 0.57 0.39 0.37 1.00 0.67 0.26 0.04 0.31 0.12 0.21 0.58 0.67 0.99 0.18 0.15 0.32 0.10 0.25 0.69 0.58 0.87 0.68 0.40 0.70 0.07 0.48 0.61 0.93 0.68 0.48 0.74 0.15 0.91 0.56 0.72 0.57 0.52 0.39 0.05 0.34 0.29 0.13 0.62 0.51 0.02 0.08 0.20 0.93 0.86 0.68 0.77 0.45 0.99 0.06 0.23 0.58 0.30 0.11 0.71 0.99 0.79 0.53 0.88 0.97 0.63 0.29 0.49 0.04 0.00 0.87 ]
[0.34 0.25 0.99 0.17 0.78 0.78 0.90 0.67 1.00 0.76 0.29 0.68 0.17 0.01 0.13 0.13 0.05 0.77 0.80 0.47 0.08 0.09 0.52 0.44 0.36 0.56 0.20 0.40 0.22 0.65 0.47 0.63 0.81 0.18 0.10 0.05 0.23 0.80 0.43 0.15 0.53 0.11 0.60 0.40 0.01 0.52 0.25 0.42 0.57 0.07 0.38 0.01 0.08 0.55 0.67 0.96 0.45 0.66 0.02 0.81 0.05 0.30 0.86 0.98 0.14 0.03 0.03 0.33 0.77 0.25 0.63 0.78 0.74 0.68 ]
[0.75 0.67 0.02 0.41 0.62 0.31 0.60 0.26 0.76 1.00 0.31 0.38 0.33 0.81 0.50 0.41 0.05 0.21 0.90 0.06 0.26 1.00 0.81 0.51 0.38 0.61 0.81 0.65 0.36 0.69 0.35 0.28 0.81 0.97 0.82 0.90 0.23 0.69 0.12 0.06 0.25 0.15 0.28 0.72 0.85 0.53 0.57 0.98 0.29 0.59 0.62 0.40 0.97 0.55 0.53 0.75 0.58 0.63 0.31 0.11 0.75 0.86 0.56 0.86 0.22 0.74 0.17 0.06 0.40 0.47 0.77 0.36 0.81 0.73 ]
[0.13 0.54 0.86 0.88 0.47 0.99 0.65 0.04 0.29 0.31 1.00 0.45 0.07 0.10 0.02 0.88 0.58 0.87 0.37 0.57 0.42 0.63 0.09 0.65 0.59 0.96 0.66 0.62 0.39 0.36 0.93 0.43 0.66 0.29 0.92 0.54 0.04 0.25 0.22 0.80 0.16 0.33 0.59 0.14 0.28 0.73 0.96 0.16 0.83 0.57 0.07 0.61 0.24 0.50 0.53 0.01 0.75 0.66 0.18 0.99 0.74 0.30 0.64 0.33 0.92 0.66 0.65 0.83 0.64 0.69 0.45 0.98 0.73 0.96 ]
[0.85 0.17 0.06 0.37 0.13 0.67 0.03 0.31 0.68 0.38 0.45 1.00 0.23 0.14 0.49 0.56 0.03 0.65 0.24 0.05 0.00 0.88 0.14 0.48 0.91 0.21 0.10 0.51 0.60 0.39 0.62 0.09 0.71 0.62 0.76 0.57 0.91 0.67 0.57 0.35 0.50 0.60 0.33 0.39 0.35 0.15 0.22 0.64 0.98 0.36 0.42 0.92 0.06 0.25 0.37 0.03 0.94 0.23 0.06 0.52 0.58 0.35 0.83 0.11 0.86 0.10 0.64 0.49 0.11 0.16 0.77 0.32 0.43 0.03 ]
[0.57 0.62 0.90 0.58 0.68 0.62 0.42 0.12 0.17 0.33 0.07 0.23 1.00 0.80 0.43 0.85 0.61 0.88 0.70 0.65 0.97 0.52 0.11 0.13 0.32 0.15 0.41 0.21 0.99 0.32 0.54 0.97 0.33 0.19 0.37 0.09 0.09 0.33 0.17 0.15 0.43 0.33 0.16 0.21 0.51 0.59 0.70 0.14 0.81 0.32 0.26 0.38 0.35 0.59 0.28 0.16 0.70 0.73 0.10 0.99 0.07 0.02 0.38 0.21 0.52 0.37 0.72 0.39 0.99 0.35 0.12 0.55 0.73 0.79 ]
