D = 6;
n = [ 4 4 4 4 4 4 ];
N = 52;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.07 0.15 0.34 0.58 0.40 0.37 0.55 0.64 0.16 0.51 0.77 0.89 0.35 0.39 0.56 0.91 0.70 0.91 0.32 0.92 0.86 0.68 0.14 0.59 0.03 0.18 0.93 0.88 0.48 0.89 0.55 0.71 0.13 0.01 0.48 0.43 0.84 0.93 0.64 0.91 0.39 0.42 0.67 0.53 0.75 0.63 0.86 0.21 0.56 0.20 0.73 ]
[0.07 1.00 0.14 0.40 0.32 0.85 0.93 0.40 0.91 0.38 0.95 0.59 0.94 0.60 0.75 0.94 0.63 0.87 0.41 0.76 0.76 0.78 0.84 0.28 0.82 0.95 0.98 0.39 0.20 0.62 0.21 0.17 0.58 0.42 0.47 0.01 0.47 0.11 0.56 0.02 0.54 0.66 0.50 0.69 0.04 0.27 0.19 0.78 0.89 0.99 0.70 0.91 ]
[0.15 0.14 1.00 0.12 0.20 0.29 0.10 0.11 0.95 0.18 0.49 0.32 0.52 0.73 0.75 0.53 0.87 0.15 0.14 0.65 0.47 0.08 0.56 0.41 0.49 0.96 0.60 0.50 0.18 0.94 0.57 0.66 0.61 0.68 0.47 0.68 0.28 0.68 0.28 0.28 0.81 0.23 0.98 0.06 0.98 0.76 0.10 0.79 0.46 0.41 0.58 0.45 ]
[0.34 0.40 0.12 1.00 0.72 0.15 0.94 0.61 0.39 0.16 0.62 0.43 0.02 0.99 0.82 0.76 0.96 0.61 0.52 0.52 0.06 0.96 0.86 0.21 0.12 0.50 0.96 0.04 0.96 0.75 0.16 0.51 0.95 0.33 0.74 0.65 0.96 0.92 0.36 0.36 0.43 0.92 0.53 0.83 0.35 0.90 0.67 0.72 0.47 0.28 0.14 0.58 ]
[0.58 0.32 0.20 0.72 1.00 0.40 0.29 0.17 0.41 0.46 0.44 0.79 0.12 0.16 0.16 0.65 0.65 0.68 0.87 0.40 0.84 0.98 0.11 0.63 0.34 0.42 0.84 0.79 0.78 0.58 0.97 0.58 0.85 0.18 0.80 0.20 0.92 0.33 0.98 0.28 0.34 0.05 0.62 0.18 0.06 0.92 0.56 0.44 0.09 0.14 0.41 0.28 ]
[0.40 0.85 0.29 0.15 0.40 1.00 0.93 0.82 0.82 0.35 0.75 0.57 0.47 0.72 0.14 0.09 0.92 0.98 0.79 0.38 0.83 0.03 0.50 0.15 0.96 0.89 0.21 0.77 0.23 0.72 0.75 0.63 0.30 0.80 0.18 0.88 0.08 0.38 0.38 0.63 0.59 0.25 0.51 0.80 0.91 0.16 0.13 0.12 0.57 0.45 0.29 0.22 ]
[0.37 0.93 0.10 0.94 0.29 0.93 1.00 0.05 0.75 0.23 0.15 0.51 0.24 0.97 0.34 0.48 0.19 0.31 0.44 0.20 0.96 0.31 0.42 0.27 0.19 0.56 0.87 0.73 0.94 0.52 0.32 0.12 0.96 0.48 0.53 0.99 0.12 0.33 0.61 0.60 0.21 0.58 0.07 0.33 0.57 0.36 0.56 0.10 0.09 0.73 0.88 0.91 ]
[0.55 0.40 0.11 0.61 0.17 0.82 0.05 1.00 0.14 0.44 0.80 0.02 0.39 0.09 0.02 0.87 0.22 0.85 0.99 0.14 0.35 0.46 0.75 0.96 0.66 0.57 0.86 0.65 0.90 0.10 0.60 0.58 0.02 0.98 0.23 0.17 0.46 0.93 0.42 0.03 0.96 0.10 0.28 0.05 0.06 0.83 0.70 0.96 0.50 0.89 0.77 0.63 ]
[0.64 0.91 0.95 0.39 0.41 0.82 0.75 0.14 1.00 0.01 0.66 0.60 0.94 0.13 0.70 0.33 0.67 0.04 0.02 0.32 0.48 0.64 0.00 0.21 0.40 0.14 0.00 0.87 0.09 0.82 0.84 0.77 0.00 0.22 0.75 0.55 0.85 0.70 0.43 0.87 0.53 0.57 0.65 0.65 0.42 0.32 0.55 0.11 0.60 0.27 0.99 0.83 ]
[0.16 0.38 0.18 0.16 0.46 0.35 0.23 0.44 0.01 1.00 0.68 0.79 0.83 0.95 0.82 0.38 0.76 0.74 0.58 0.99 0.66 0.11 0.68 0.66 0.11 0.22 0.46 0.67 0.69 0.23 0.18 0.27 0.19 0.12 0.13 0.08 0.67 0.55 0.80 0.41 0.44 0.42 0.37 0.16 0.55 0.31 0.22 0.76 0.90 0.11 0.24 0.30 ]
