D = 4;
n = [ 3 3 3 3 ];
N = 88;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.64 0.99 0.15 0.15 0.91 0.31 0.93 0.81 0.34 0.29 0.34 0.47 0.18 0.36 0.19 0.25 0.65 0.32 0.56 0.08 0.63 0.44 0.02 0.24 0.37 0.81 0.16 0.08 0.87 0.15 0.55 0.33 0.16 0.79 0.53 0.59 0.83 0.02 0.83 0.58 0.13 0.22 0.00 0.68 0.60 0.59 0.66 0.01 0.47 0.04 0.29 0.51 0.89 0.71 0.69 0.31 0.28 0.30 0.36 0.90 0.73 0.81 0.98 0.86 0.01 0.71 0.43 0.25 0.30 0.94 0.98 0.09 0.27 0.45 0.97 0.26 0.32 0.37 0.76 0.38 0.57 0.46 0.23 0.59 0.60 0.41 0.12 ]
[0.64 1.00 0.25 0.66 0.90 0.40 0.51 0.14 0.36 0.76 0.78 0.83 0.16 0.48 0.48 0.62 0.46 0.36 0.76 0.99 0.75 0.05 0.49 0.41 0.45 0.08 0.00 0.71 0.52 0.11 0.24 0.05 0.41 0.73 0.86 0.64 0.25 0.83 0.98 0.24 0.51 0.65 0.87 0.34 0.48 0.97 0.34 0.55 0.15 0.87 0.10 0.90 0.78 1.00 0.08 0.96 0.34 0.46 0.03 0.70 0.23 0.76 0.58 0.74 0.42 0.65 0.89 0.96 0.78 0.54 0.94 0.09 0.04 0.97 0.79 0.48 0.06 0.08 0.04 0.30 0.04 0.15 0.34 0.66 0.90 0.31 0.18 0.56 ]
[0.99 0.25 1.00 0.52 0.43 0.83 0.77 0.20 0.90 0.63 0.14 0.33 0.90 0.54 0.31 0.18 0.98 0.10 0.34 0.47 0.82 0.58 0.68 0.96 0.11 0.93 0.49 0.84 0.86 0.71 0.61 0.18 0.86 0.84 0.67 0.32 0.93 0.52 0.70 0.60 0.01 0.90 0.94 0.31 0.04 0.46 0.19 0.14 0.31 0.56 0.04 0.93 0.33 0.38 0.86 0.85 0.91 0.43 0.13 0.47 0.57 0.47 0.25 0.40 0.88 0.56 0.10 0.68 0.69 0.07 0.00 0.23 0.29 0.45 0.53 0.09 0.85 0.03 0.20 0.64 0.95 0.49 0.46 0.95 0.51 0.16 0.20 0.95 ]
[0.15 0.66 0.52 1.00 0.17 0.96 0.20 0.64 0.37 0.99 0.20 0.91 0.91 0.43 0.16 0.02 0.57 0.40 0.78 0.11 0.77 0.00 0.59 0.82 0.18 0.09 0.79 0.69 0.25 0.88 0.27 0.41 0.86 0.65 0.05 1.00 0.23 0.96 0.23 0.92 0.38 0.08 0.59 0.72 0.42 0.90 0.91 0.23 0.26 0.59 0.24 0.10 0.29 0.76 0.53 0.52 0.88 0.69 0.49 0.38 0.28 0.31 0.20 0.94 0.78 0.46 0.88 0.25 0.19 0.18 0.11 0.53 0.30 0.94 0.61 0.23 0.39 0.45 0.60 0.62 0.97 0.65 0.80 0.85 0.21 0.68 0.29 0.27 ]
[0.15 0.90 0.43 0.17 1.00 0.08 0.20 0.70 0.94 0.95 0.91 0.21 0.23 0.18 0.29 0.39 0.80 0.55 0.65 0.65 0.31 0.10 0.17 0.40 0.16 0.11 0.23 0.73 0.31 0.51 0.78 0.01 0.53 0.82 0.37 0.12 0.12 0.20 0.64 0.14 0.26 0.15 0.39 0.66 0.28 0.80 0.36 0.15 0.00 0.00 0.17 0.15 0.06 0.76 0.54 0.03 0.98 0.83 0.03 0.74 0.75 0.89 0.64 0.29 0.25 0.84 0.14 0.45 0.18 0.20 0.29 0.64 0.35 0.57 0.67 0.43 0.23 0.72 0.11 0.65 0.76 0.89 0.99 0.89 0.95 0.58 0.19 0.19 ]
[0.91 0.40 0.83 0.96 0.08 1.00 0.07 0.77 0.48 0.12 0.92 0.55 0.05 0.90 0.22 0.75 0.39 0.82 0.77 0.33 0.36 0.07 0.24 0.08 0.06 0.76 0.37 0.14 0.23 0.20 0.56 0.49 0.61 0.56 0.08 0.63 0.89 0.23 0.18 0.09 0.07 0.71 0.60 0.85 0.94 0.37 0.34 0.58 0.02 0.93 0.24 0.80 0.87 0.44 0.30 0.49 0.45 0.62 0.89 0.40 0.46 0.09 0.87 0.45 0.15 0.35 0.90 0.03 0.24 0.93 0.06 0.43 0.98 0.68 0.21 0.50 0.22 0.84 0.42 0.20 0.30 0.12 0.12 0.34 0.02 0.62 0.81 0.49 ]
[0.31 0.51 0.77 0.20 0.20 0.07 1.00 0.89 0.43 0.81 0.14 0.65 0.31 0.79 0.46 0.81 0.05 0.53 0.18 0.12 0.13 0.19 0.41 0.74 0.91 0.71 0.47 0.09 0.08 0.74 0.54 0.26 0.22 0.62 0.26 1.00 0.17 0.72 0.88 0.76 0.28 0.47 0.93 0.40 0.68 0.74 0.22 0.28 0.04 0.16 0.06 0.81 0.54 0.10 0.95 0.18 0.20 0.68 0.55 0.10 0.59 0.10 0.63 0.41 0.20 0.57 0.18 0.52 0.71 0.17 0.52 0.31 0.72 0.14 0.57 0.29 0.98 0.03 0.75 0.57 0.16 0.56 0.34 0.40 0.94 0.89 0.50 0.58 ]
[0.93 0.14 0.20 0.64 0.70 0.77 0.89 1.00 0.32 0.00 0.98 0.13 0.67 0.56 0.56 0.63 0.92 0.77 0.54 0.71 0.28 0.75 0.97 0.77 0.97 0.54 0.50 0.51 0.21 0.72 0.02 0.15 0.46 0.14 0.53 0.98 0.06 0.56 0.69 0.78 0.26 0.40 0.48 0.38 0.16 0.57 0.19 0.00 0.49 0.22 0.74 0.06 0.70 0.59 0.82 0.61 0.68 0.57 0.97 0.59 0.86 0.31 0.47 0.07 0.98 0.90 0.92 0.04 1.00 0.32 0.69 0.00 0.09 0.87 0.90 0.35 0.92 0.41 0.14 0.39 0.09 0.07 0.46 0.06 0.52 0.69 0.18 0.84 ]
[0.81 0.36 0.90 0.37 0.94 0.48 0.43 0.32 1.00 0.42 0.22 0.07 0.96 0.61 0.61 0.22 0.70 0.26 0.30 0.32 0.47 0.93 0.66 0.73 0.32 0.12 0.11 0.16 0.09 0.32 0.60 0.99 0.51 0.79 0.62 0.64 0.87 0.50 0.97 0.28 0.08 0.31 0.06 0.43 0.86 0.91 0.59 0.84 0.65 0.77 0.87 0.82 0.59 0.04 0.17 0.14 0.61 0.74 0.26 0.65 0.52 0.10 0.82 0.27 0.83 0.37 0.75 0.23 0.78 0.60 0.65 0.21 0.51 0.28 0.57 0.62 0.43 0.84 0.72 0.53 0.87 0.36 0.79 0.78 0.38 0.34 0.45 0.56 ]
[0.34 0.76 0.63 0.99 0.95 0.12 0.81 0.00 0.42 1.00 0.00 0.80 0.08 0.74 0.35 0.60 0.85 0.91 0.87 0.38 0.70 0.66 0.41 0.72 0.23 0.84 0.85 0.50 0.82 0.80 0.82 0.61 0.06 0.63 0.17 0.62 0.96 0.87 0.64 0.30 0.21 0.15 0.09 0.53 0.74 0.27 0.47 0.81 0.29 0.88 0.47 0.41 0.93 0.86 0.65 0.91 0.34 0.90 0.26 0.82 0.37 0.35 0.65 0.69 0.61 1.00 0.27 0.31 0.91 0.48 0.82 0.75 0.31 0.62 0.43 0.32 0.02 0.46 0.22 0.59 0.34 0.48 0.82 0.43 0.51 0.75 0.40 0.04 ]
