D = 2;
n = [ 4 4 ];
N = 10;
d = [1 1 1 1 1 2 2 2 2 2 ];
m = [
[1.00 0.27 0.83 0.01 0.07 0.86 0.66 0.90 0.89 0.68 ]
[0.27 1.00 0.89 0.99 0.70 0.22 0.33 0.33 0.99 0.55 ]
[0.83 0.89 1.00 0.47 0.83 0.10 0.50 0.70 0.79 0.44 ]
[0.01 0.99 0.47 1.00 0.63 0.58 0.49 0.67 0.35 0.41 ]
[0.07 0.70 0.83 0.63 1.00 0.15 0.06 0.25 0.45 0.90 ]
[0.86 0.22 0.10 0.58 0.15 1.00 0.42 0.60 0.04 0.13 ]
[0.66 0.33 0.50 0.49 0.06 0.42 1.00 0.04 0.34 0.40 ]
[0.90 0.33 0.70 0.67 0.25 0.60 0.04 1.00 0.20 0.68 ]
[0.89 0.99 0.79 0.35 0.45 0.04 0.34 0.20 1.00 0.22 ]
[0.68 0.55 0.44 0.41 0.90 0.13 0.40 0.68 0.22 1.00 ]
];
