D = 4;
n = [ 3 3 3 3 ];
N = 92;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.05 0.64 0.35 0.66 0.47 0.46 0.67 0.83 0.13 0.52 0.93 0.81 0.43 0.73 0.50 0.78 0.14 0.26 0.09 0.30 0.24 0.28 0.85 0.90 0.96 0.95 0.37 0.30 0.46 0.73 0.69 0.82 0.70 0.76 0.98 0.14 0.75 0.03 0.37 0.95 0.81 0.93 0.28 0.85 0.12 0.57 0.27 0.87 0.59 0.91 0.50 0.47 0.28 0.68 0.60 0.69 0.68 0.87 0.51 0.68 0.61 0.00 0.39 0.56 1.00 0.71 0.29 0.46 0.98 0.83 0.52 0.09 0.88 0.05 0.74 0.65 0.06 0.58 0.27 0.54 0.56 0.17 0.99 0.21 0.02 0.03 0.61 0.23 0.37 0.85 0.43 ]
[0.05 1.00 0.51 0.65 0.21 0.30 0.11 0.28 0.14 0.52 0.66 0.48 0.65 0.39 0.52 0.76 0.07 0.37 0.47 0.70 0.46 0.31 0.60 0.19 0.94 0.23 0.69 0.13 0.46 0.36 0.26 0.71 0.86 1.00 0.63 0.21 0.13 0.85 0.18 0.36 0.57 0.62 0.73 0.63 0.29 0.29 0.06 0.08 0.85 0.38 0.67 0.17 0.22 0.44 0.27 0.72 0.12 0.08 0.62 0.27 0.61 0.46 0.25 0.66 0.36 0.80 0.03 0.25 0.34 0.69 0.11 0.79 0.92 0.56 0.47 0.94 0.88 0.37 0.97 0.18 0.91 0.43 0.96 0.49 0.71 0.62 0.09 0.14 0.03 0.89 0.72 0.55 ]
[0.64 0.51 1.00 0.65 0.76 0.17 0.31 0.62 0.41 0.69 0.39 0.06 0.57 0.95 0.44 0.14 0.42 0.89 0.14 0.35 0.60 0.22 0.39 0.15 0.31 0.39 0.90 0.06 0.87 0.91 0.82 0.61 0.72 0.81 0.17 0.20 0.64 0.95 0.38 0.07 0.19 0.16 0.41 0.26 0.02 0.14 0.57 0.69 0.44 0.64 0.25 0.87 0.67 0.72 0.30 0.67 0.25 0.48 0.18 0.32 0.90 0.99 0.29 0.07 0.43 0.23 0.97 0.24 0.92 0.04 0.28 0.88 0.97 0.40 0.16 0.72 0.51 0.55 0.75 0.22 0.72 0.16 0.35 0.39 0.40 0.66 0.99 0.45 0.41 0.60 0.49 0.50 ]
[0.35 0.65 0.65 1.00 0.09 0.02 0.51 0.50 0.07 0.94 0.25 0.28 0.47 0.92 0.30 0.42 0.19 0.69 0.99 0.78 0.02 0.95 0.40 0.80 0.38 0.64 0.18 0.37 0.73 0.46 0.28 0.21 0.03 0.80 0.93 0.52 0.24 0.80 0.73 0.51 0.67 0.74 0.90 0.48 0.83 0.84 0.53 0.71 0.09 0.50 0.86 0.16 0.68 0.92 0.77 0.10 0.74 0.34 0.06 0.89 0.84 0.79 0.87 0.26 0.56 0.08 1.00 0.43 0.25 0.22 0.92 0.75 0.55 0.34 0.64 0.70 0.44 0.71 0.01 0.48 0.05 0.90 0.70 0.71 0.51 0.79 0.98 0.91 0.35 0.01 0.51 0.24 ]
[0.66 0.21 0.76 0.09 1.00 0.56 0.05 0.39 0.61 0.11 0.33 0.86 0.50 0.72 0.79 0.11 0.64 0.22 0.69 0.93 0.01 0.25 0.38 0.97 0.68 0.52 0.29 0.50 0.81 0.82 0.70 0.28 0.15 0.90 0.35 0.78 0.12 0.99 0.61 0.46 0.02 0.30 0.15 0.30 0.82 0.22 0.12 0.81 0.04 0.98 0.26 0.23 0.22 0.84 0.65 0.51 0.74 0.62 0.58 0.81 0.70 0.26 0.37 0.55 0.71 0.70 0.06 0.28 0.62 0.93 0.15 0.75 0.79 0.56 0.29 0.77 0.02 0.15 0.31 0.70 0.04 0.46 0.04 0.47 0.73 0.75 0.64 0.17 0.78 0.81 0.81 0.22 ]
[0.47 0.30 0.17 0.02 0.56 1.00 0.63 0.89 0.99 0.19 0.03 0.13 0.58 1.00 0.34 0.25 0.31 0.11 0.50 0.36 0.16 0.26 0.35 0.10 0.48 0.05 0.38 0.39 0.03 0.23 0.08 0.30 0.23 0.33 0.57 0.98 0.08 0.30 0.81 0.23 0.06 0.97 0.78 0.92 0.16 0.45 0.78 0.45 0.56 0.89 0.02 0.12 0.04 0.02 0.56 0.57 0.22 0.58 0.87 0.33 0.61 0.96 0.22 0.59 0.29 0.22 0.80 0.63 0.06 0.33 0.64 0.57 0.41 0.20 0.64 0.97 0.37 0.80 0.23 0.93 0.63 0.65 0.18 0.89 0.13 0.77 0.53 0.82 0.22 0.26 0.33 0.29 ]
[0.46 0.11 0.31 0.51 0.05 0.63 1.00 0.96 0.91 0.67 0.39 0.38 0.15 0.66 0.75 0.15 0.89 0.85 0.11 0.61 0.09 0.08 0.91 0.10 0.90 0.23 0.71 0.62 0.41 0.82 0.22 0.15 0.33 0.90 0.55 0.74 0.79 0.52 0.68 0.91 0.73 0.14 0.63 0.88 0.28 0.67 0.12 0.02 0.49 0.56 0.81 0.55 0.55 0.69 0.06 0.88 0.74 0.43 0.02 0.79 0.60 0.11 0.19 0.38 0.49 0.89 0.36 0.54 0.78 0.39 0.30 0.34 0.92 0.96 0.14 0.26 0.99 0.83 0.19 0.01 0.83 0.66 0.30 0.29 0.16 0.86 0.15 0.45 0.24 0.83 0.09 0.96 ]
[0.67 0.28 0.62 0.50 0.39 0.89 0.96 1.00 0.80 0.59 0.54 0.29 0.59 0.41 0.82 0.40 0.10 0.78 0.90 0.05 0.38 0.42 0.42 0.11 0.48 0.23 0.08 0.62 0.68 0.38 0.91 0.48 0.09 0.00 0.32 0.57 0.60 0.85 0.76 0.85 0.12 0.33 0.66 0.42 0.45 0.90 0.18 0.15 0.99 0.27 0.77 0.15 0.76 0.01 1.00 0.81 0.36 0.40 0.44 0.93 0.90 0.69 0.18 0.45 0.74 0.71 0.88 0.21 0.65 0.85 0.98 0.35 0.90 0.37 0.37 0.77 0.80 0.99 0.92 0.78 0.90 0.69 0.21 0.59 0.30 0.12 0.91 0.70 0.20 0.41 0.79 0.31 ]
[0.83 0.14 0.41 0.07 0.61 0.99 0.91 0.80 1.00 0.35 0.53 0.50 0.02 0.61 0.70 0.60 0.31 0.23 0.76 0.71 0.77 0.45 0.80 0.53 0.53 0.06 0.22 0.17 0.96 0.38 0.16 0.08 0.50 0.71 0.66 0.73 0.64 0.55 0.59 0.52 0.37 0.68 0.07 0.13 0.02 0.49 0.71 0.22 0.37 0.72 0.40 0.39 0.20 0.41 0.11 0.56 0.34 0.47 0.72 0.56 0.64 0.52 0.01 0.12 0.84 0.97 0.29 0.03 0.59 0.98 0.79 0.32 0.17 0.53 0.70 0.82 0.55 0.94 0.58 0.93 0.00 0.87 0.02 0.95 0.66 0.28 0.07 0.42 0.08 0.60 0.79 0.28 ]
[0.13 0.52 0.69 0.94 0.11 0.19 0.67 0.59 0.35 1.00 0.11 0.62 0.71 0.30 0.44 0.70 0.76 0.41 0.28 0.83 0.80 0.75 0.64 0.71 0.80 0.63 0.56 0.81 0.21 0.83 0.31 0.09 0.56 0.59 0.03 0.61 0.86 0.53 0.89 0.29 0.82 0.69 0.08 0.49 0.88 0.42 0.78 0.40 0.76 0.37 0.55 0.66 0.46 0.00 0.09 0.68 0.31 0.24 0.33 0.57 0.34 0.76 0.04 0.93 0.54 0.97 0.74 0.03 0.11 0.04 0.33 0.75 0.20 0.14 0.72 0.35 0.83 0.88 0.60 0.68 0.83 0.83 0.04 0.02 0.51 0.22 0.04 0.73 0.75 0.22 0.05 0.56 ]
