D = 4;
n = [ 3 3 3 3 ];
N = 84;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.30 0.50 0.22 0.02 0.58 0.63 0.95 0.64 0.94 0.38 0.48 0.28 0.65 0.71 0.23 0.49 0.64 0.14 0.92 0.57 0.58 0.73 0.46 0.57 0.54 0.82 0.40 0.04 0.25 0.56 0.13 0.12 0.45 0.82 0.24 0.71 0.35 0.53 0.98 0.53 0.44 0.80 0.18 0.07 0.99 0.37 0.52 0.29 0.07 0.89 0.31 0.49 0.44 0.43 0.13 0.56 0.51 0.82 0.21 0.76 0.33 0.74 0.65 0.59 0.52 0.49 0.50 0.29 0.79 0.74 0.15 0.98 0.30 0.80 0.58 0.74 0.54 0.51 0.60 0.29 0.95 0.71 0.48 ]
[0.30 1.00 0.24 0.36 0.94 0.10 0.29 0.06 0.22 0.60 0.94 0.54 0.88 0.49 0.87 0.69 0.62 0.23 0.07 0.39 0.93 0.11 0.36 0.79 0.11 0.66 0.97 0.12 0.28 0.07 0.10 0.52 0.94 0.07 0.44 0.50 0.81 0.56 0.75 0.88 0.90 0.28 0.10 0.66 0.57 0.96 0.01 0.86 0.96 0.44 0.93 0.16 0.56 0.55 0.50 0.20 0.06 0.86 0.35 0.28 0.38 0.64 0.59 0.44 0.29 0.61 0.08 0.04 0.97 0.25 0.77 0.25 0.21 0.86 0.14 0.19 0.32 0.09 0.30 0.63 0.92 0.60 0.25 0.44 ]
[0.50 0.24 1.00 0.76 0.46 0.36 0.22 0.81 0.36 0.45 0.51 0.88 0.47 0.25 0.14 0.01 0.03 0.89 0.48 0.55 0.78 0.37 0.04 0.34 0.40 0.75 0.23 0.71 0.93 0.24 0.93 0.77 0.82 0.75 0.15 0.17 0.02 0.31 0.90 0.79 0.13 0.77 0.49 0.26 0.26 0.96 0.84 0.46 0.40 0.66 0.85 0.65 0.33 0.34 0.77 0.29 0.63 0.16 0.96 0.94 0.56 0.80 0.70 0.98 0.22 0.57 0.89 0.97 0.01 0.96 0.33 0.04 0.33 0.15 0.74 0.40 0.48 0.54 0.16 0.20 0.18 0.13 0.43 0.44 ]
[0.22 0.36 0.76 1.00 0.20 0.27 0.01 0.67 0.90 0.05 0.46 0.67 0.25 0.81 0.14 0.97 0.08 0.01 0.97 0.11 0.79 0.60 0.62 0.73 0.29 0.05 0.97 0.90 0.48 0.26 0.89 0.06 0.75 0.92 0.23 0.28 0.93 0.35 0.14 0.67 0.79 0.55 0.72 0.10 0.12 0.08 0.97 0.41 0.68 0.78 0.36 0.63 0.29 0.88 0.01 0.03 0.11 0.28 0.31 0.32 0.06 0.39 0.15 0.75 0.47 0.58 0.54 0.76 0.32 0.37 0.80 0.39 0.32 0.17 0.18 0.41 0.18 0.35 0.96 0.84 0.92 0.98 0.51 0.11 ]
[0.02 0.94 0.46 0.20 1.00 0.19 0.02 0.28 0.31 0.13 0.26 0.91 0.36 0.52 0.12 0.68 0.18 0.45 0.73 0.40 0.27 0.05 0.40 0.42 0.03 0.23 0.22 0.09 0.13 0.58 0.37 0.92 0.91 0.33 0.29 0.96 0.44 0.94 0.94 0.07 0.45 0.81 0.81 0.74 0.71 0.20 0.13 0.30 0.59 0.17 0.10 0.32 0.89 0.44 0.63 0.41 0.03 0.21 0.36 0.04 0.20 0.99 0.28 0.46 0.07 0.29 0.16 0.09 0.21 0.49 0.53 0.70 0.95 0.94 0.79 0.07 0.22 0.91 0.91 0.07 0.86 0.75 0.76 0.68 ]
[0.58 0.10 0.36 0.27 0.19 1.00 0.45 0.47 0.41 0.70 0.51 0.26 0.76 0.60 0.88 0.08 0.21 0.31 0.83 0.76 0.74 0.10 0.18 0.66 0.01 0.64 0.05 0.20 0.49 0.67 0.31 0.50 0.83 0.49 0.17 0.36 0.38 0.43 0.38 0.60 0.63 0.54 0.54 0.82 0.70 0.33 0.04 0.38 0.53 0.20 0.85 0.87 0.05 0.27 0.03 0.42 0.75 0.36 0.25 0.46 0.53 0.42 0.86 0.88 0.83 0.08 0.22 0.17 0.22 0.17 0.10 0.58 0.04 0.46 0.40 0.88 0.26 0.78 0.80 0.29 0.61 0.29 0.93 0.12 ]
[0.63 0.29 0.22 0.01 0.02 0.45 1.00 0.43 0.79 0.64 0.55 0.06 0.18 0.27 0.78 0.56 0.33 0.85 0.87 0.26 0.31 0.12 0.74 0.51 0.23 0.37 0.92 0.36 0.66 0.76 0.85 0.94 0.62 0.65 0.29 0.47 0.70 0.32 0.90 0.27 0.04 0.37 0.15 0.44 0.61 0.49 0.84 0.55 0.21 0.63 0.20 0.76 0.42 0.37 0.83 0.67 0.22 0.39 0.28 0.50 0.09 0.06 0.13 0.88 0.23 0.98 0.37 0.60 0.95 0.58 0.06 0.29 0.10 0.66 0.58 0.44 0.67 0.61 0.91 0.59 0.27 0.61 0.58 0.68 ]
[0.95 0.06 0.81 0.67 0.28 0.47 0.43 1.00 0.34 0.69 0.47 0.83 0.76 0.83 0.50 0.12 0.26 0.35 0.69 0.91 0.21 0.21 0.52 1.00 0.39 0.06 0.95 0.25 0.07 0.51 0.88 0.14 0.39 0.97 0.19 0.72 0.86 0.92 0.80 0.40 0.81 0.37 0.22 0.37 0.30 0.79 0.25 0.35 0.98 0.17 0.89 0.54 0.27 0.07 0.58 0.62 0.10 0.23 0.34 0.63 0.71 0.63 0.03 0.23 0.94 0.25 0.39 0.84 0.74 0.72 0.75 0.39 0.30 0.51 0.63 0.18 0.11 0.41 0.54 0.61 0.60 0.08 0.69 0.24 ]
[0.64 0.22 0.36 0.90 0.31 0.41 0.79 0.34 1.00 0.86 0.57 0.90 0.02 0.69 0.12 0.35 0.20 0.31 0.64 0.49 0.77 0.61 0.21 0.74 0.59 0.98 0.83 0.38 0.03 0.54 0.52 0.98 1.00 0.81 0.95 0.40 0.15 0.40 0.86 0.71 0.35 0.47 0.69 0.56 0.38 0.31 0.21 0.18 0.34 0.56 0.61 0.74 1.00 0.34 0.36 0.42 0.92 0.65 0.31 0.84 0.78 0.27 0.23 0.53 0.54 0.49 0.26 0.46 0.41 0.14 0.18 0.75 0.17 0.74 0.61 0.01 0.69 0.44 0.82 0.62 0.55 0.04 0.13 0.46 ]
[0.94 0.60 0.45 0.05 0.13 0.70 0.64 0.69 0.86 1.00 0.15 0.12 0.87 0.65 0.10 0.81 0.69 0.97 0.14 0.01 0.59 0.70 0.29 0.31 0.12 0.22 0.20 0.51 0.88 0.07 0.97 0.77 0.50 0.99 0.02 0.27 0.70 0.78 0.72 0.31 0.05 0.35 0.22 0.99 0.98 0.67 0.91 0.80 0.18 0.60 0.16 0.25 0.05 0.44 0.41 0.97 0.72 0.19 0.33 0.90 0.93 0.38 0.44 0.87 0.08 0.85 0.42 0.89 0.61 0.29 0.94 0.40 0.85 0.11 0.46 0.80 0.79 0.03 0.13 0.32 0.96 0.76 0.92 0.24 ]
[0.38 0.94 0.51 0.46 0.26 0.51 0.55 0.47 0.57 0.15 1.00 0.73 0.47 0.37 0.64 0.98 0.51 0.89 0.62 0.85 0.77 0.63 0.04 0.09 0.71 0.70 0.16 0.23 0.56 0.24 0.65 0.89 0.11 0.88 0.49 0.34 0.10 0.50 0.70 0.95 0.51 0.45 0.30 0.35 0.19 0.86 0.54 0.87 0.74 0.54 0.34 0.32 0.75 0.41 0.97 0.07 0.37 0.56 0.95 0.11 0.46 0.18 0.26 0.22 0.74 0.39 0.07 0.59 0.43 0.12 0.11 0.04 0.97 0.76 0.51 0.73 0.96 0.46 0.93 0.66 0.34 0.68 0.08 0.07 ]
[0.48 0.54 0.88 0.67 0.91 0.26 0.06 0.83 0.90 0.12 0.73 1.00 0.67 0.12 0.41 0.18 0.94 0.90 0.20 0.92 0.49 0.48 0.92 0.24 0.80 0.80 0.37 0.92 0.32 0.13 0.65 0.06 0.27 0.42 0.99 0.73 0.40 0.23 0.13 0.99 0.38 0.81 0.57 0.73 0.88 0.93 0.16 0.10 0.07 0.18 0.03 0.62 0.89 0.59 0.70 0.63 0.02 0.14 0.48 0.86 0.17 0.95 0.63 0.91 0.98 0.92 0.03 0.67 0.74 0.84 0.14 0.76 0.50 0.54 0.38 0.72 0.74 0.76 0.20 0.56 0.17 0.23 0.08 0.52 ]
[0.28 0.88 0.47 0.25 0.36 0.76 0.18 0.76 0.02 0.87 0.47 0.67 1.00 0.36 0.17 0.86 1.00 0.44 0.64 0.77 0.43 0.37 0.06 0.69 0.82 0.17 0.56 0.36 0.48 0.35 0.24 0.76 0.66 0.47 0.37 0.17 0.07 0.02 0.76 0.08 0.62 0.54 0.82 0.97 0.39 0.34 0.56 0.38 0.30 0.76 0.32 0.52 0.89 0.42 0.08 0.22 0.56 0.75 0.90 0.78 0.60 0.52 0.21 0.93 0.74 0.89 0.67 0.10 0.96 0.26 0.92 0.87 0.31 0.01 0.73 0.51 0.84 0.73 0.87 0.32 0.86 0.11 0.02 0.26 ]
[0.65 0.49 0.25 0.81 0.52 0.60 0.27 0.83 0.69 0.65 0.37 0.12 0.36 1.00 0.40 0.35 0.86 0.39 0.35 0.51 0.28 0.95 0.56 0.65 0.38 0.05 0.54 0.18 0.50 0.99 0.86 0.56 0.02 0.10 0.18 0.42 0.72 0.71 0.43 0.42 0.03 0.34 0.13 0.10 1.00 0.57 0.45 0.53 0.57 0.17 0.34 0.85 1.00 0.82 0.29 0.34 0.70 0.70 0.12 0.91 0.22 0.28 0.57 0.25 0.47 0.80 0.80 0.45 0.61 0.40 0.54 0.94 0.06 0.71 0.10 0.56 0.26 0.99 0.04 0.60 0.20 0.15 0.66 0.24 ]
[0.71 0.87 0.14 0.14 0.12 0.88 0.78 0.50 0.12 0.10 0.64 0.41 0.17 0.40 1.00 0.61 0.05 0.29 0.83 0.58 0.49 0.85 0.49 0.30 0.98 0.21 0.24 0.67 0.51 0.29 0.40 0.55 0.19 0.70 0.25 0.84 0.61 0.55 0.46 0.08 0.04 0.76 0.20 0.27 0.25 0.74 0.46 0.41 0.28 0.86 0.58 0.95 0.43 0.81 0.92 0.31 0.57 0.07 0.27 0.33 0.60 0.41 0.15 0.41 0.04 0.47 0.14 0.98 0.92 0.25 0.04 0.23 0.74 0.70 0.57 0.60 0.74 0.80 0.02 0.46 0.66 0.54 0.31 0.49 ]
[0.23 0.69 0.01 0.97 0.68 0.08 0.56 0.12 0.35 0.81 0.98 0.18 0.86 0.35 0.61 1.00 0.46 0.74 0.74 0.79 0.50 0.77 0.14 0.83 0.10 0.06 0.55 0.87 0.86 0.14 0.65 0.66 0.83 0.06 0.74 0.64 0.72 0.38 0.98 0.92 0.17 0.90 0.18 0.55 0.00 0.86 0.10 0.31 0.28 0.08 0.03 0.65 0.19 0.15 0.06 0.86 0.09 0.72 0.93 0.41 0.24 0.69 0.09 0.81 0.77 0.24 0.68 0.41 0.94 0.87 0.66 0.18 0.17 0.65 0.47 0.26 0.76 0.45 0.08 0.52 0.50 0.40 0.29 0.52 ]
[0.49 0.62 0.03 0.08 0.18 0.21 0.33 0.26 0.20 0.69 0.51 0.94 1.00 0.86 0.05 0.46 1.00 0.23 0.09 0.05 0.20 0.72 0.39 0.20 0.65 0.46 0.22 0.69 0.70 0.76 0.25 0.51 0.20 0.19 0.37 0.38 0.22 0.94 0.53 0.06 0.93 0.60 0.16 0.15 0.47 0.31 0.01 0.30 0.99 0.05 0.48 0.16 0.85 0.45 0.60 0.24 0.29 0.96 0.41 0.94 0.57 0.56 0.76 0.44 0.61 0.81 0.35 0.50 0.75 0.30 0.48 0.28 0.14 0.11 0.10 0.22 0.48 0.67 0.02 0.96 0.93 0.39 0.83 0.43 ]
[0.64 0.23 0.89 0.01 0.45 0.31 0.85 0.35 0.31 0.97 0.89 0.90 0.44 0.39 0.29 0.74 0.23 1.00 0.23 1.00 0.03 0.39 0.77 0.09 0.76 0.83 0.47 0.26 0.65 0.15 0.71 0.31 0.87 0.66 0.51 0.06 0.83 0.36 0.46 0.98 0.40 0.51 0.74 0.62 0.38 0.99 0.54 0.56 0.10 0.94 0.95 0.94 0.57 0.66 0.88 0.36 0.88 0.01 0.64 0.99 0.06 0.30 0.14 0.13 0.83 0.59 0.29 0.26 0.64 0.48 0.28 0.08 0.12 0.90 0.79 0.84 0.99 0.72 0.36 0.98 0.87 0.44 0.81 0.51 ]
[0.14 0.07 0.48 0.97 0.73 0.83 0.87 0.69 0.64 0.14 0.62 0.20 0.64 0.35 0.83 0.74 0.09 0.23 1.00 0.12 0.34 0.44 0.02 0.06 0.35 0.27 0.18 0.17 0.33 0.95 0.76 0.69 0.30 0.43 0.70 0.33 0.25 0.56 0.11 0.43 0.61 0.43 0.47 0.76 0.65 0.80 0.03 0.68 0.07 0.04 0.92 0.77 0.47 0.28 0.11 0.58 0.49 1.00 0.05 0.05 0.35 0.43 0.38 0.45 0.74 0.68 0.26 0.67 0.48 0.72 0.36 0.67 0.00 0.28 0.62 0.74 0.67 0.77 0.97 0.47 0.51 0.86 0.84 1.00 ]
[0.92 0.39 0.55 0.11 0.40 0.76 0.26 0.91 0.49 0.01 0.85 0.92 0.77 0.51 0.58 0.79 0.05 1.00 0.12 1.00 0.25 0.63 0.02 0.01 0.23 0.35 0.08 0.05 0.97 0.75 0.50 0.40 0.40 0.25 0.99 0.06 0.23 0.11 0.90 0.44 0.65 0.25 0.73 0.30 0.84 0.65 0.58 0.54 0.27 0.09 0.73 0.77 0.21 0.68 0.01 0.67 0.19 0.41 0.55 0.52 0.92 0.67 0.51 0.97 0.09 0.13 0.77 0.53 0.10 0.21 0.19 0.38 0.86 0.88 0.20 0.52 0.43 0.86 0.58 0.64 0.62 0.32 0.41 0.53 ]
[0.57 0.93 0.78 0.79 0.27 0.74 0.31 0.21 0.77 0.59 0.77 0.49 0.43 0.28 0.49 0.50 0.20 0.03 0.34 0.25 1.00 0.56 0.82 0.80 0.08 0.61 0.31 0.09 0.32 0.05 0.56 0.14 0.66 0.45 0.67 0.70 0.28 0.33 0.53 0.45 0.60 0.28 0.21 0.33 0.11 0.88 0.50 0.26 0.09 0.35 0.11 0.07 0.05 0.97 0.03 0.20 0.32 0.61 0.54 0.41 0.44 0.39 0.37 0.78 0.74 0.87 0.97 0.92 0.57 0.89 0.28 0.94 0.15 0.22 0.82 0.50 0.39 0.05 0.56 0.40 0.06 0.50 0.04 0.63 ]
