D = 2;
n = [ 2 2 ];
N = 77;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.45 0.66 0.08 0.46 0.41 0.65 0.07 0.15 0.18 0.29 0.93 0.80 0.11 0.26 0.95 0.86 0.10 0.18 0.58 0.48 0.99 0.57 0.19 0.74 0.04 0.33 0.52 0.07 0.39 0.96 0.22 0.26 0.95 0.77 0.27 0.95 0.64 0.24 0.55 0.21 0.43 0.08 0.17 0.46 0.38 0.16 1.00 0.11 0.87 0.89 0.06 0.43 0.26 0.83 0.40 0.92 0.19 0.24 0.71 0.76 0.63 0.13 0.47 0.44 0.71 0.91 0.97 0.27 0.03 0.13 0.39 0.41 0.99 0.75 0.09 0.84 ]
[0.45 1.00 0.13 0.73 0.55 0.92 0.20 0.04 0.45 0.15 0.82 0.65 0.39 0.29 0.59 0.23 0.31 0.56 0.49 0.10 0.97 0.91 0.30 0.01 0.97 0.19 0.24 0.76 0.78 0.85 0.49 0.97 0.80 0.92 0.77 0.71 0.71 0.27 0.25 0.15 0.99 0.13 0.18 0.63 0.35 0.68 0.93 0.52 0.82 0.82 0.14 0.35 0.41 0.01 0.33 0.36 0.95 0.29 0.81 0.67 0.32 0.43 0.42 0.53 0.80 0.94 0.04 0.90 0.68 0.73 0.11 0.03 0.59 0.66 0.80 0.80 0.01 ]
[0.66 0.13 1.00 0.38 0.20 0.53 0.84 0.67 0.50 0.31 0.57 0.96 0.68 0.08 0.35 0.65 0.01 0.21 0.59 0.43 0.26 0.11 0.53 0.93 0.03 0.89 0.54 0.83 0.21 0.01 0.03 0.44 0.65 0.00 0.33 0.83 0.26 0.52 0.09 0.47 0.23 0.50 0.99 0.39 0.64 0.76 0.67 0.26 0.27 0.09 0.79 0.66 0.55 0.90 0.30 0.93 0.39 0.84 0.21 0.81 0.57 0.41 0.25 0.01 0.15 0.55 0.05 0.85 0.28 0.22 0.29 0.46 0.09 0.48 0.39 0.24 0.65 ]
[0.08 0.73 0.38 1.00 0.89 0.10 0.54 0.55 0.74 0.18 0.40 0.95 0.47 0.68 0.07 0.54 0.99 0.21 0.11 0.80 0.25 0.24 0.26 0.16 0.53 0.29 0.81 0.68 0.38 0.92 0.49 0.49 0.80 0.68 0.93 0.02 0.41 0.78 0.32 0.90 0.79 0.18 0.05 0.10 0.03 0.69 0.69 0.65 0.21 0.02 0.64 0.68 0.79 0.55 0.98 0.46 0.66 0.24 0.97 0.08 0.83 0.99 0.59 0.61 0.68 0.59 0.12 0.54 0.70 0.43 0.97 0.11 0.55 0.99 0.06 0.14 0.73 ]
[0.46 0.55 0.20 0.89 1.00 0.95 0.30 0.36 0.35 0.67 0.35 0.80 0.70 0.46 0.23 0.22 0.13 0.02 0.99 0.82 0.77 0.53 0.23 0.44 0.86 0.50 0.47 0.93 0.46 0.15 0.49 0.27 0.48 0.19 0.36 0.81 0.92 0.70 0.60 0.36 0.65 0.57 0.12 0.56 0.09 0.96 0.91 0.17 0.14 0.16 0.65 0.14 0.98 0.22 0.13 0.28 0.93 0.11 0.57 0.80 0.60 0.77 0.01 0.65 0.49 0.37 0.90 0.33 0.03 0.15 0.76 0.53 0.55 0.03 0.47 0.52 0.16 ]
[0.41 0.92 0.53 0.10 0.95 1.00 0.17 0.55 0.02 0.75 0.34 0.29 0.01 0.23 0.71 0.76 0.40 0.75 0.33 0.70 0.04 0.88 0.13 0.12 0.88 0.61 0.26 0.92 0.55 0.13 0.40 0.78 0.92 0.71 0.94 0.08 0.64 0.70 0.68 0.23 0.58 0.50 0.44 0.46 0.39 0.38 0.45 0.37 0.03 0.26 0.89 0.81 0.38 0.25 0.02 0.39 0.27 0.78 0.58 0.35 0.15 0.83 0.83 0.22 0.92 0.53 0.70 0.75 0.89 0.23 0.23 0.06 0.07 0.57 0.39 0.33 0.91 ]
[0.65 0.20 0.84 0.54 0.30 0.17 1.00 0.53 0.86 0.30 0.97 0.54 0.33 0.28 0.82 0.63 0.24 0.40 0.45 0.54 0.48 0.69 0.94 0.63 0.74 0.65 0.93 0.94 0.97 0.91 0.55 0.32 0.91 0.97 0.55 0.83 0.07 0.06 0.95 0.26 0.05 0.64 0.46 0.43 0.60 0.99 0.97 0.42 0.88 0.98 0.61 0.87 0.19 0.11 0.22 0.02 0.52 0.75 0.56 0.57 0.69 0.44 0.75 0.04 0.13 0.20 0.90 0.72 0.73 0.54 0.40 0.48 0.48 0.53 0.88 0.61 0.70 ]
[0.07 0.04 0.67 0.55 0.36 0.55 0.53 1.00 0.70 0.34 0.68 0.94 0.48 0.48 0.33 0.23 0.74 0.29 0.26 0.70 0.60 0.25 0.47 0.98 0.71 0.85 0.56 0.59 0.75 0.70 0.47 0.34 0.88 0.25 0.61 0.63 0.58 0.06 0.20 0.54 0.37 0.74 0.52 0.69 0.11 0.93 0.87 0.91 0.78 0.13 0.57 0.78 0.72 0.44 0.92 0.57 0.28 0.77 0.90 0.46 0.65 0.07 0.18 0.14 0.49 0.83 0.36 0.89 0.22 0.19 0.08 0.71 0.44 0.72 0.86 0.51 0.09 ]
[0.15 0.45 0.50 0.74 0.35 0.02 0.86 0.70 1.00 0.41 0.38 0.00 0.32 0.91 0.12 0.88 0.25 0.32 0.09 0.33 0.34 0.26 0.76 0.82 0.92 0.34 0.40 0.15 0.16 0.67 0.89 0.56 0.55 0.44 0.11 0.89 0.08 0.86 0.98 0.24 0.05 0.03 0.92 0.77 0.60 0.91 0.64 0.27 0.08 0.27 0.50 0.04 0.29 0.51 0.86 0.83 0.34 0.21 0.45 0.27 0.68 0.91 0.09 0.82 0.78 0.47 0.05 0.92 0.87 0.62 0.36 0.58 0.16 0.82 0.12 0.95 0.96 ]
[0.18 0.15 0.31 0.18 0.67 0.75 0.30 0.34 0.41 1.00 0.19 0.53 0.93 0.16 0.05 0.69 0.63 0.39 0.48 0.41 0.28 0.64 0.59 0.85 0.75 0.65 0.56 0.77 0.85 0.21 0.25 0.60 0.13 0.65 0.80 0.40 0.40 0.18 0.40 0.08 0.92 0.66 0.66 0.65 0.70 0.48 0.93 0.40 0.76 0.94 0.78 0.86 0.77 0.58 0.53 0.91 0.65 0.64 0.36 0.65 0.44 0.63 0.61 0.77 0.79 0.69 0.05 0.77 0.95 0.27 0.76 0.56 0.45 0.85 0.37 0.85 0.05 ]
