D = 6;
n = [ 3 3 3 3 3 3 ];
N = 20;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 6 6 ];
m = [
[1.00 0.53 0.04 0.10 0.10 0.15 0.89 0.99 0.39 0.11 0.45 0.63 0.10 0.53 0.76 0.35 0.16 0.63 0.51 0.67 ]
[0.53 1.00 0.57 0.40 0.76 0.54 0.72 0.30 0.43 0.54 0.75 0.99 0.32 0.81 0.74 0.04 0.16 0.06 0.27 0.89 ]
[0.04 0.57 1.00 0.28 0.50 0.75 0.64 0.68 0.75 0.78 0.47 0.66 0.01 0.20 0.54 0.13 0.93 0.46 0.48 0.41 ]
[0.10 0.40 0.28 1.00 0.74 0.80 0.26 0.25 0.49 0.03 0.13 0.82 0.34 0.48 0.07 0.70 0.83 0.49 0.22 0.48 ]
[0.10 0.76 0.50 0.74 1.00 0.07 0.67 0.97 0.90 0.25 0.93 0.61 0.78 0.94 0.61 0.11 0.83 0.55 0.78 0.24 ]
[0.15 0.54 0.75 0.80 0.07 1.00 0.05 0.16 0.03 0.70 0.92 0.46 0.11 0.37 0.61 0.71 0.90 0.05 0.33 0.05 ]
[0.89 0.72 0.64 0.26 0.67 0.05 1.00 0.05 0.92 0.48 0.68 0.02 0.35 0.00 0.52 0.87 0.33 0.78 0.28 0.47 ]
[0.99 0.30 0.68 0.25 0.97 0.16 0.05 1.00 0.24 0.93 0.17 0.39 0.47 0.40 0.07 0.79 0.46 0.87 0.86 0.03 ]
[0.39 0.43 0.75 0.49 0.90 0.03 0.92 0.24 1.00 0.16 0.33 0.16 0.91 0.90 0.12 0.06 0.11 0.59 0.54 0.47 ]
[0.11 0.54 0.78 0.03 0.25 0.70 0.48 0.93 0.16 1.00 0.85 0.91 0.58 0.06 0.98 0.41 0.27 0.51 0.78 0.15 ]
[0.45 0.75 0.47 0.13 0.93 0.92 0.68 0.17 0.33 0.85 1.00 0.18 0.61 0.99 0.69 0.61 0.60 0.35 0.22 0.38 ]
[0.63 0.99 0.66 0.82 0.61 0.46 0.02 0.39 0.16 0.91 0.18 1.00 0.34 0.58 0.44 0.13 0.93 0.60 0.24 0.43 ]
[0.10 0.32 0.01 0.34 0.78 0.11 0.35 0.47 0.91 0.58 0.61 0.34 1.00 0.48 0.99 0.28 0.73 0.27 0.36 0.02 ]
[0.53 0.81 0.20 0.48 0.94 0.37 0.00 0.40 0.90 0.06 0.99 0.58 0.48 1.00 0.72 0.70 0.48 0.96 0.01 0.24 ]
[0.76 0.74 0.54 0.07 0.61 0.61 0.52 0.07 0.12 0.98 0.69 0.44 0.99 0.72 1.00 0.87 0.88 0.55 0.97 0.30 ]
[0.35 0.04 0.13 0.70 0.11 0.71 0.87 0.79 0.06 0.41 0.61 0.13 0.28 0.70 0.87 1.00 0.32 0.98 0.24 0.64 ]
[0.16 0.16 0.93 0.83 0.83 0.90 0.33 0.46 0.11 0.27 0.60 0.93 0.73 0.48 0.88 0.32 1.00 0.49 0.63 0.57 ]
[0.63 0.06 0.46 0.49 0.55 0.05 0.78 0.87 0.59 0.51 0.35 0.60 0.27 0.96 0.55 0.98 0.49 1.00 0.76 0.43 ]
[0.51 0.27 0.48 0.22 0.78 0.33 0.28 0.86 0.54 0.78 0.22 0.24 0.36 0.01 0.97 0.24 0.63 0.76 1.00 0.47 ]
[0.67 0.89 0.41 0.48 0.24 0.05 0.47 0.03 0.47 0.15 0.38 0.43 0.02 0.24 0.30 0.64 0.57 0.43 0.47 1.00 ]
];
