D = 2;
n = [ 4 4 ];
N = 79;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.55 0.92 0.56 0.47 0.02 0.08 0.75 0.77 0.51 0.42 0.63 0.96 0.17 0.52 0.54 0.99 0.53 0.70 0.08 0.43 0.65 0.60 0.26 0.12 0.55 0.92 0.53 0.57 0.14 0.06 0.11 0.61 0.75 0.12 0.27 0.65 0.02 0.40 0.29 0.98 0.66 0.62 0.92 0.93 0.52 0.64 0.70 0.01 0.65 0.10 0.79 0.99 0.00 0.21 0.30 0.94 0.22 0.49 0.82 0.50 0.40 0.74 0.48 0.82 0.64 0.22 0.57 0.29 0.15 0.29 0.69 0.01 0.07 0.06 0.63 0.99 0.05 0.12 ]
[0.55 1.00 0.08 0.14 0.85 0.61 0.11 0.27 0.76 0.36 0.11 0.62 0.15 0.59 0.94 0.44 0.53 0.25 0.48 0.91 0.50 0.19 0.47 0.87 0.97 0.15 0.75 0.85 0.16 0.95 0.47 0.01 0.88 0.97 0.20 0.90 0.83 0.38 0.64 0.40 0.61 0.72 0.77 0.81 0.48 0.40 0.61 0.82 0.10 0.42 0.45 0.57 0.55 0.00 0.33 0.99 0.72 0.32 0.90 0.86 0.85 0.71 0.06 0.67 0.45 0.27 0.27 0.31 0.58 0.69 0.13 0.77 0.89 0.80 0.98 0.44 0.77 0.32 0.15 ]
[0.92 0.08 1.00 0.86 0.42 0.40 0.09 0.26 0.70 0.32 0.37 0.50 0.48 0.79 0.54 0.85 0.31 0.44 0.47 0.34 0.93 0.70 0.60 0.30 0.42 0.01 0.82 0.87 0.83 0.26 0.94 0.11 0.82 0.52 0.41 0.40 0.08 0.43 0.85 0.80 0.74 0.25 0.54 0.41 0.01 0.33 0.51 0.24 0.36 0.22 0.24 0.95 0.94 0.23 0.73 0.86 0.44 0.03 0.80 0.42 0.55 0.18 0.37 0.28 0.74 0.31 0.65 0.89 0.82 0.31 0.71 0.68 0.38 0.05 0.88 0.30 0.01 0.19 0.04 ]
[0.56 0.14 0.86 1.00 0.85 0.71 0.60 0.50 0.36 0.90 0.07 0.15 0.66 0.51 0.03 0.85 0.84 0.28 0.25 0.68 0.44 0.77 0.10 0.78 0.22 0.85 0.35 0.69 0.97 0.32 0.28 0.67 0.39 0.99 0.07 0.15 0.22 0.21 0.73 0.77 0.88 0.77 0.57 0.27 0.54 0.50 0.56 0.21 0.56 0.23 0.47 0.51 0.16 0.51 0.76 0.42 0.74 0.40 0.41 0.07 0.61 0.06 0.51 0.16 0.42 0.32 0.85 0.61 0.82 0.89 0.38 0.15 0.91 0.02 0.37 0.47 0.83 0.12 0.58 ]
[0.47 0.85 0.42 0.85 1.00 0.83 0.00 0.27 0.35 0.58 0.85 0.49 0.46 0.35 0.54 0.68 0.98 0.53 0.30 0.53 0.31 0.39 0.16 0.55 0.79 0.63 0.64 0.18 0.94 0.67 0.81 0.45 0.64 0.81 0.04 0.75 0.92 0.78 0.09 0.49 0.03 0.28 0.86 0.04 0.34 1.00 0.70 0.31 0.72 0.03 0.32 0.19 0.42 0.82 0.41 0.11 0.63 0.46 0.67 0.63 0.92 0.80 0.10 0.34 0.59 0.79 0.49 0.09 0.26 0.16 0.24 0.75 0.72 0.66 0.64 0.90 0.20 0.02 0.42 ]
[0.02 0.61 0.40 0.71 0.83 1.00 0.81 0.14 0.36 0.49 0.98 0.33 0.38 0.10 0.78 0.28 0.80 0.99 0.86 0.82 0.57 0.28 0.23 0.18 0.56 0.21 0.23 0.72 0.11 0.54 0.41 0.05 0.34 0.13 0.84 0.89 0.49 0.70 0.81 0.78 0.26 0.73 0.64 0.40 0.54 0.50 0.22 0.28 0.33 0.40 0.54 0.17 0.47 0.43 0.08 0.20 0.69 0.93 0.51 0.32 0.70 0.62 0.00 0.79 0.44 0.81 0.11 0.98 0.37 0.42 0.01 0.18 0.01 0.40 0.64 0.65 0.54 0.56 0.14 ]
[0.08 0.11 0.09 0.60 0.00 0.81 1.00 0.17 0.21 0.68 0.38 0.06 0.24 0.25 0.94 0.30 0.24 0.63 0.19 0.89 0.90 0.45 0.39 0.86 0.11 0.64 0.48 0.52 0.54 0.05 0.64 0.77 0.14 0.77 0.64 0.35 0.34 0.19 0.47 0.08 0.44 0.85 0.01 0.89 0.55 0.73 0.76 0.57 0.34 0.29 0.65 0.37 0.67 0.26 1.00 0.75 0.47 0.15 0.04 0.09 0.29 0.95 0.96 0.89 0.46 0.99 0.93 0.28 0.50 0.62 0.01 0.91 0.71 0.73 0.21 0.07 0.52 0.02 0.02 ]
[0.75 0.27 0.26 0.50 0.27 0.14 0.17 1.00 0.55 0.99 0.27 0.60 0.06 0.12 0.51 0.83 0.03 0.27 0.39 0.40 0.34 0.73 0.53 0.76 0.61 0.05 0.40 0.84 0.39 0.38 0.31 0.49 0.37 0.29 0.05 0.15 0.23 0.17 0.78 0.86 0.78 0.42 0.19 0.16 0.28 0.03 0.89 0.86 0.69 0.10 0.58 0.26 0.71 0.75 0.69 0.71 0.91 0.16 0.92 0.29 0.44 0.76 0.27 0.02 0.47 0.45 0.92 0.58 0.07 0.23 0.31 0.68 0.67 0.77 0.96 0.59 0.69 0.11 0.88 ]
[0.77 0.76 0.70 0.36 0.35 0.36 0.21 0.55 1.00 0.65 0.40 0.55 0.89 0.98 0.78 0.40 0.11 0.27 0.35 0.29 0.45 0.12 0.90 0.38 0.77 0.59 0.02 0.24 0.71 0.20 0.63 0.47 0.87 0.38 0.85 0.51 0.23 0.13 0.95 0.43 0.46 0.68 0.83 0.79 0.72 0.45 0.14 0.82 0.39 0.36 0.66 0.35 0.05 0.99 0.32 0.92 0.49 0.54 0.08 0.64 0.22 0.35 0.49 0.05 0.60 0.35 0.89 0.65 0.27 0.43 0.19 0.35 0.68 0.94 0.41 0.45 0.84 0.61 0.50 ]
[0.51 0.36 0.32 0.90 0.58 0.49 0.68 0.99 0.65 1.00 0.61 0.85 0.11 0.05 0.60 0.51 0.76 0.81 0.56 0.89 0.66 0.60 0.49 0.21 0.11 0.25 0.09 0.18 0.26 0.82 0.94 0.51 0.48 0.52 0.08 0.70 0.97 0.40 0.34 0.29 0.71 0.61 1.00 0.53 0.86 0.29 0.70 0.95 0.29 0.04 0.06 0.08 0.91 0.48 0.76 0.90 0.90 0.89 0.08 0.62 0.36 0.12 0.58 0.74 0.56 0.11 0.90 0.28 0.10 0.11 0.71 0.01 0.19 0.97 0.51 0.23 0.22 0.79 0.15 ]
[0.42 0.11 0.37 0.07 0.85 0.98 0.38 0.27 0.40 0.61 1.00 0.92 0.68 0.58 0.33 0.77 0.51 0.77 0.77 0.49 0.85 0.67 0.01 0.98 0.18 0.78 0.80 0.33 0.46 0.69 0.22 0.01 0.41 0.76 0.34 0.87 0.18 0.49 0.70 0.82 0.15 0.98 0.81 0.97 0.29 0.13 0.96 0.22 0.99 0.41 0.40 0.03 0.36 0.37 0.83 0.39 0.99 0.97 0.67 0.65 0.51 0.76 0.85 0.66 0.82 0.29 0.98 0.36 0.84 0.82 0.96 0.32 0.41 0.06 0.31 0.38 0.51 0.56 0.68 ]
[0.63 0.62 0.50 0.15 0.49 0.33 0.06 0.60 0.55 0.85 0.92 1.00 0.83 0.02 0.71 0.80 0.66 0.44 0.86 0.84 0.12 0.89 0.18 0.25 0.46 0.25 0.49 0.47 0.56 0.94 0.24 0.95 0.73 0.97 0.25 0.57 0.55 0.05 0.91 0.37 0.05 0.11 0.23 0.67 0.09 0.92 0.83 0.73 0.86 0.62 0.22 0.07 0.18 0.23 0.54 0.47 0.37 0.24 0.63 0.41 0.80 0.04 0.93 0.36 0.26 0.90 0.78 0.47 0.30 0.24 0.04 0.02 0.20 0.26 0.92 0.12 0.10 0.17 0.19 ]
[0.96 0.15 0.48 0.66 0.46 0.38 0.24 0.06 0.89 0.11 0.68 0.83 1.00 0.19 0.19 0.16 0.47 0.36 0.03 0.22 0.09 0.85 0.25 0.94 0.62 0.78 0.37 0.05 0.92 0.25 0.07 0.23 0.14 0.19 0.89 0.15 0.57 0.07 0.49 0.70 0.52 0.41 0.68 0.97 0.04 0.81 0.52 0.41 0.62 0.33 0.55 0.37 0.77 0.06 0.20 0.54 0.27 0.89 0.81 0.33 0.55 0.48 0.63 0.61 0.67 0.98 0.62 0.95 0.39 0.14 0.77 0.90 0.07 0.01 0.40 0.11 0.40 0.64 0.20 ]
