D = 2;
n = [ 3 3 ];
N = 14;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 ];
m = [
[1.00 0.60 0.21 0.98 0.93 0.33 0.40 0.80 0.02 0.39 0.17 0.27 0.81 0.75 ]
[0.60 1.00 0.41 0.14 0.04 0.94 0.23 0.63 0.63 0.78 0.79 0.78 0.41 0.28 ]
[0.21 0.41 1.00 0.70 0.36 0.62 0.94 0.65 0.50 0.21 0.30 0.97 0.91 0.58 ]
[0.98 0.14 0.70 1.00 0.51 0.72 0.14 0.60 0.69 0.30 0.87 0.02 0.28 0.15 ]
[0.93 0.04 0.36 0.51 1.00 0.88 0.40 0.99 0.42 0.68 0.01 0.37 0.97 0.44 ]
[0.33 0.94 0.62 0.72 0.88 1.00 0.14 0.98 0.93 0.85 0.37 0.02 0.75 0.66 ]
[0.40 0.23 0.94 0.14 0.40 0.14 1.00 0.46 0.46 0.21 0.35 0.38 0.42 0.66 ]
[0.80 0.63 0.65 0.60 0.99 0.98 0.46 1.00 0.10 0.75 0.12 0.19 0.38 0.20 ]
[0.02 0.63 0.50 0.69 0.42 0.93 0.46 0.10 1.00 0.71 0.04 0.87 0.24 0.77 ]
[0.39 0.78 0.21 0.30 0.68 0.85 0.21 0.75 0.71 1.00 0.22 0.31 0.49 0.71 ]
[0.17 0.79 0.30 0.87 0.01 0.37 0.35 0.12 0.04 0.22 1.00 0.38 0.48 0.41 ]
[0.27 0.78 0.97 0.02 0.37 0.02 0.38 0.19 0.87 0.31 0.38 1.00 0.98 0.24 ]
[0.81 0.41 0.91 0.28 0.97 0.75 0.42 0.38 0.24 0.49 0.48 0.98 1.00 0.88 ]
[0.75 0.28 0.58 0.15 0.44 0.66 0.66 0.20 0.77 0.71 0.41 0.24 0.88 1.00 ]
];
