D = 6;
n = [ 2 2 2 2 2 2 ];
N = 14;
d = [1 1 2 2 3 3 4 4 5 5 6 6 6 6 ];
m = [
[1.00 0.23 0.66 0.14 0.18 0.27 0.47 0.34 0.15 0.53 0.46 0.58 0.97 0.60 ]
[0.23 1.00 0.03 0.28 0.70 0.63 0.18 0.89 0.90 0.57 0.87 0.68 0.56 0.08 ]
[0.66 0.03 1.00 0.98 0.48 0.63 0.14 0.60 0.40 0.58 0.92 0.62 0.68 0.50 ]
[0.14 0.28 0.98 1.00 0.28 0.00 0.57 0.69 0.98 0.03 0.71 0.41 0.34 0.56 ]
[0.18 0.70 0.48 0.28 1.00 0.96 0.64 0.23 0.24 0.73 0.87 0.67 0.72 0.81 ]
[0.27 0.63 0.63 0.00 0.96 1.00 0.89 0.87 0.01 0.70 0.25 0.60 0.93 0.01 ]
[0.47 0.18 0.14 0.57 0.64 0.89 1.00 0.12 0.55 0.77 0.36 0.83 0.73 0.07 ]
[0.34 0.89 0.60 0.69 0.23 0.87 0.12 1.00 0.29 0.07 0.50 0.34 0.81 0.03 ]
[0.15 0.90 0.40 0.98 0.24 0.01 0.55 0.29 1.00 0.57 0.22 0.32 0.44 0.63 ]
[0.53 0.57 0.58 0.03 0.73 0.70 0.77 0.07 0.57 1.00 0.71 0.00 0.24 0.45 ]
[0.46 0.87 0.92 0.71 0.87 0.25 0.36 0.50 0.22 0.71 1.00 0.50 0.41 0.33 ]
[0.58 0.68 0.62 0.41 0.67 0.60 0.83 0.34 0.32 0.00 0.50 1.00 0.65 0.22 ]
[0.97 0.56 0.68 0.34 0.72 0.93 0.73 0.81 0.44 0.24 0.41 0.65 1.00 0.61 ]
[0.60 0.08 0.50 0.56 0.81 0.01 0.07 0.03 0.63 0.45 0.33 0.22 0.61 1.00 ]
];
