D = 8;
n = [ 2 2 2 2 2 2 2 2 ];
N = 17;
d = [1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 8 ];
m = [
[1.00 0.28 0.98 0.28 0.93 0.27 0.53 0.77 0.27 0.33 0.76 0.52 0.03 0.16 0.17 0.11 0.17 ]
[0.28 1.00 0.85 0.93 0.76 0.40 0.43 0.01 0.64 0.14 0.43 0.95 0.84 0.22 0.46 0.95 0.46 ]
[0.98 0.85 1.00 0.81 0.35 0.80 0.75 0.78 0.13 0.40 0.74 0.71 0.63 0.41 0.77 0.84 0.74 ]
[0.28 0.93 0.81 1.00 0.82 0.21 0.77 0.89 0.59 0.94 0.66 0.16 0.57 0.23 0.75 0.16 0.19 ]
[0.93 0.76 0.35 0.82 1.00 0.32 0.51 0.98 0.92 0.92 0.64 0.37 0.56 0.78 0.93 0.53 0.15 ]
[0.27 0.40 0.80 0.21 0.32 1.00 0.43 0.46 0.72 0.11 0.56 0.82 0.98 0.55 0.39 0.08 0.22 ]
[0.53 0.43 0.75 0.77 0.51 0.43 1.00 0.86 0.48 0.84 0.56 0.03 0.00 0.55 0.88 0.26 0.70 ]
[0.77 0.01 0.78 0.89 0.98 0.46 0.86 1.00 1.00 0.90 0.50 0.01 0.57 0.19 0.40 0.66 0.76 ]
[0.27 0.64 0.13 0.59 0.92 0.72 0.48 1.00 1.00 0.56 0.66 0.81 0.41 0.43 0.35 0.62 0.86 ]
[0.33 0.14 0.40 0.94 0.92 0.11 0.84 0.90 0.56 1.00 0.01 0.88 0.68 0.76 0.94 0.80 0.96 ]
[0.76 0.43 0.74 0.66 0.64 0.56 0.56 0.50 0.66 0.01 1.00 0.86 0.06 0.32 0.78 0.22 0.25 ]
[0.52 0.95 0.71 0.16 0.37 0.82 0.03 0.01 0.81 0.88 0.86 1.00 0.65 0.52 0.31 0.46 0.49 ]
[0.03 0.84 0.63 0.57 0.56 0.98 0.00 0.57 0.41 0.68 0.06 0.65 1.00 0.52 0.02 0.57 0.36 ]
[0.16 0.22 0.41 0.23 0.78 0.55 0.55 0.19 0.43 0.76 0.32 0.52 0.52 1.00 0.82 0.56 0.00 ]
[0.17 0.46 0.77 0.75 0.93 0.39 0.88 0.40 0.35 0.94 0.78 0.31 0.02 0.82 1.00 0.18 0.28 ]
[0.11 0.95 0.84 0.16 0.53 0.08 0.26 0.66 0.62 0.80 0.22 0.46 0.57 0.56 0.18 1.00 0.25 ]
[0.17 0.46 0.74 0.19 0.15 0.22 0.70 0.76 0.86 0.96 0.25 0.49 0.36 0.00 0.28 0.25 1.00 ]
];
