D = 6;
n = [ 4 4 4 4 4 4 ];
N = 26;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 6 6 ];
m = [
[1.00 0.55 0.34 0.09 0.48 0.87 0.98 0.46 0.18 0.26 0.51 0.93 0.09 0.48 0.23 0.06 0.08 0.91 0.42 0.63 0.66 0.73 0.12 0.24 0.81 0.50 ]
[0.55 1.00 0.22 0.61 0.17 0.73 0.08 0.14 0.35 0.08 0.80 0.47 0.50 0.89 0.71 0.55 0.43 0.20 0.51 0.20 0.41 0.74 0.06 0.92 0.90 0.51 ]
[0.34 0.22 1.00 0.08 0.76 0.50 0.36 0.14 0.81 0.13 0.13 0.95 0.77 0.52 0.76 0.32 0.30 0.67 0.35 0.63 0.26 0.71 0.20 0.28 0.19 0.89 ]
[0.09 0.61 0.08 1.00 0.90 0.43 0.38 0.72 0.09 0.71 0.24 0.53 0.70 0.58 0.14 0.51 0.64 0.11 0.01 0.33 0.54 0.07 0.74 0.03 0.88 0.41 ]
[0.48 0.17 0.76 0.90 1.00 0.94 0.97 0.73 0.53 0.78 0.98 0.21 0.95 0.46 0.86 0.15 0.48 0.49 0.32 0.65 0.81 0.05 0.93 0.43 0.60 0.62 ]
[0.87 0.73 0.50 0.43 0.94 1.00 0.19 0.55 0.84 0.01 0.34 0.22 0.18 0.83 0.94 0.19 0.69 0.22 0.72 0.49 0.75 0.32 0.37 0.97 0.87 0.73 ]
[0.98 0.08 0.36 0.38 0.97 0.19 1.00 0.23 0.75 0.57 0.58 0.35 0.70 0.16 0.70 0.19 0.48 0.89 0.84 0.15 0.70 0.59 0.63 0.95 0.34 0.37 ]
[0.46 0.14 0.14 0.72 0.73 0.55 0.23 1.00 0.98 0.83 0.65 0.50 0.67 0.25 0.03 0.45 0.17 0.94 0.44 0.11 0.23 0.21 0.40 0.44 0.56 0.14 ]
[0.18 0.35 0.81 0.09 0.53 0.84 0.75 0.98 1.00 0.11 0.05 0.85 0.70 0.49 0.59 0.37 0.13 0.78 0.56 0.76 0.21 0.82 0.76 0.61 0.22 0.37 ]
[0.26 0.08 0.13 0.71 0.78 0.01 0.57 0.83 0.11 1.00 0.29 0.86 0.90 0.01 0.68 0.55 0.65 0.25 0.25 0.69 0.69 0.14 0.91 0.45 0.25 0.65 ]
[0.51 0.80 0.13 0.24 0.98 0.34 0.58 0.65 0.05 0.29 1.00 0.76 0.18 0.21 0.39 0.85 0.28 0.17 0.27 0.12 0.07 0.41 0.18 0.35 0.01 0.38 ]
[0.93 0.47 0.95 0.53 0.21 0.22 0.35 0.50 0.85 0.86 0.76 1.00 0.19 0.46 0.78 0.69 0.68 0.96 0.42 0.38 0.31 0.14 0.85 0.57 0.00 0.41 ]
[0.09 0.50 0.77 0.70 0.95 0.18 0.70 0.67 0.70 0.90 0.18 0.19 1.00 0.59 0.55 0.04 0.57 0.29 0.30 0.66 0.54 0.72 0.83 0.28 0.61 0.42 ]
[0.48 0.89 0.52 0.58 0.46 0.83 0.16 0.25 0.49 0.01 0.21 0.46 0.59 1.00 0.42 0.92 0.49 0.74 0.05 0.02 0.87 1.00 0.27 0.81 0.52 0.48 ]
[0.23 0.71 0.76 0.14 0.86 0.94 0.70 0.03 0.59 0.68 0.39 0.78 0.55 0.42 1.00 0.67 0.12 0.49 0.24 0.58 0.64 0.04 0.61 1.00 0.05 0.97 ]
[0.06 0.55 0.32 0.51 0.15 0.19 0.19 0.45 0.37 0.55 0.85 0.69 0.04 0.92 0.67 1.00 0.24 0.51 0.29 0.60 0.18 0.04 0.99 0.69 0.38 0.97 ]
[0.08 0.43 0.30 0.64 0.48 0.69 0.48 0.17 0.13 0.65 0.28 0.68 0.57 0.49 0.12 0.24 1.00 0.80 0.14 0.90 0.98 0.46 0.85 0.17 0.66 0.55 ]
[0.91 0.20 0.67 0.11 0.49 0.22 0.89 0.94 0.78 0.25 0.17 0.96 0.29 0.74 0.49 0.51 0.80 1.00 0.65 0.76 0.08 0.31 0.04 0.49 0.32 0.34 ]
[0.42 0.51 0.35 0.01 0.32 0.72 0.84 0.44 0.56 0.25 0.27 0.42 0.30 0.05 0.24 0.29 0.14 0.65 1.00 0.81 0.06 0.36 0.13 0.05 0.77 0.80 ]
[0.63 0.20 0.63 0.33 0.65 0.49 0.15 0.11 0.76 0.69 0.12 0.38 0.66 0.02 0.58 0.60 0.90 0.76 0.81 1.00 0.41 0.76 0.46 0.93 0.98 0.84 ]
[0.66 0.41 0.26 0.54 0.81 0.75 0.70 0.23 0.21 0.69 0.07 0.31 0.54 0.87 0.64 0.18 0.98 0.08 0.06 0.41 1.00 0.63 0.95 0.64 0.31 0.51 ]
[0.73 0.74 0.71 0.07 0.05 0.32 0.59 0.21 0.82 0.14 0.41 0.14 0.72 1.00 0.04 0.04 0.46 0.31 0.36 0.76 0.63 1.00 0.93 0.61 0.39 0.73 ]
[0.12 0.06 0.20 0.74 0.93 0.37 0.63 0.40 0.76 0.91 0.18 0.85 0.83 0.27 0.61 0.99 0.85 0.04 0.13 0.46 0.95 0.93 1.00 0.75 0.30 0.29 ]
[0.24 0.92 0.28 0.03 0.43 0.97 0.95 0.44 0.61 0.45 0.35 0.57 0.28 0.81 1.00 0.69 0.17 0.49 0.05 0.93 0.64 0.61 0.75 1.00 0.26 0.41 ]
[0.81 0.90 0.19 0.88 0.60 0.87 0.34 0.56 0.22 0.25 0.01 0.00 0.61 0.52 0.05 0.38 0.66 0.32 0.77 0.98 0.31 0.39 0.30 0.26 1.00 0.49 ]
[0.50 0.51 0.89 0.41 0.62 0.73 0.37 0.14 0.37 0.65 0.38 0.41 0.42 0.48 0.97 0.97 0.55 0.34 0.80 0.84 0.51 0.73 0.29 0.41 0.49 1.00 ]
];
