D = 2;
n = [ 2 2 ];
N = 76;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.55 0.29 0.19 0.01 0.77 0.89 0.03 0.93 0.51 0.16 0.07 0.59 0.13 0.59 0.45 0.37 0.15 0.43 0.01 0.36 0.85 0.56 0.30 0.47 0.23 0.35 0.34 0.30 0.97 0.29 0.89 0.68 0.36 0.40 1.00 0.45 0.82 0.49 0.49 0.69 0.38 0.67 0.99 0.27 0.04 0.80 0.38 0.26 0.08 0.63 0.74 0.07 0.18 0.66 0.67 0.14 0.70 0.81 0.58 0.05 0.12 1.00 0.00 0.58 0.95 0.39 0.89 0.79 0.32 0.86 0.88 0.68 0.89 0.48 0.03 ]
[0.55 1.00 0.81 0.54 0.71 0.01 0.27 0.36 0.71 0.56 0.22 0.14 0.71 0.30 0.25 0.82 0.80 0.96 0.97 0.23 0.20 0.87 0.75 0.45 0.86 0.67 0.49 0.60 0.45 0.65 0.91 0.11 0.68 0.43 0.12 0.44 0.19 0.07 0.41 0.76 1.00 0.88 0.58 0.74 0.73 0.49 0.82 0.08 0.31 0.02 0.07 0.04 0.71 0.88 0.97 0.22 0.09 0.02 0.64 0.60 0.37 0.03 0.51 0.74 0.98 0.72 0.19 0.69 0.79 0.96 0.53 0.92 0.64 0.82 0.87 0.51 ]
[0.29 0.81 1.00 0.83 0.88 0.43 0.87 0.40 0.84 0.36 0.84 0.01 0.36 0.23 0.18 0.32 0.19 0.68 0.09 0.10 0.99 0.72 0.49 0.52 0.72 0.42 0.24 0.46 0.41 0.71 0.38 0.78 0.57 0.74 0.56 0.49 0.55 0.78 0.93 0.93 0.99 0.32 0.19 0.52 0.14 0.82 0.97 0.22 0.39 0.99 0.14 0.10 0.43 0.45 0.88 0.26 0.40 0.81 0.90 0.86 0.90 0.59 0.46 0.41 0.26 0.26 0.29 0.50 0.74 0.25 0.88 0.22 0.86 0.89 0.05 0.19 ]
[0.19 0.54 0.83 1.00 0.71 0.83 0.40 0.65 0.62 0.50 0.74 0.76 0.85 0.81 0.13 0.25 0.10 0.89 0.80 0.41 0.92 0.89 0.36 0.25 0.02 0.76 0.71 0.12 0.93 0.13 0.07 0.80 0.33 0.15 0.50 0.76 0.29 0.39 0.61 0.35 0.93 0.28 0.90 0.63 0.18 0.46 0.50 0.55 0.99 0.05 0.40 0.94 0.72 0.70 0.16 0.97 0.25 0.64 0.63 0.89 0.00 0.16 0.81 0.62 0.44 0.23 0.62 0.13 0.10 0.07 0.64 0.46 0.88 0.96 0.92 0.15 ]
[0.01 0.71 0.88 0.71 1.00 0.90 0.26 0.58 0.73 0.96 0.39 0.13 0.97 0.70 0.73 0.27 0.06 0.28 0.65 0.27 0.10 0.15 0.34 0.68 0.39 0.18 0.19 0.78 0.74 0.09 0.88 0.37 0.17 0.58 0.33 0.60 0.73 0.88 0.01 0.14 0.67 0.79 0.69 0.08 0.68 0.04 0.68 0.59 0.53 0.31 0.94 0.21 0.72 0.36 0.24 0.66 0.07 0.43 0.22 0.88 0.52 0.11 0.03 0.19 0.03 0.77 0.70 0.74 0.73 0.86 0.82 0.98 0.41 0.59 0.24 0.92 ]
[0.77 0.01 0.43 0.83 0.90 1.00 0.42 0.98 0.10 0.48 0.46 0.32 0.93 0.98 0.48 0.65 0.42 0.54 0.53 0.76 0.71 0.68 0.22 0.29 0.12 0.58 0.44 0.78 0.18 0.21 0.46 0.23 0.95 0.24 0.12 0.63 0.68 0.21 0.14 0.82 0.72 0.58 0.83 0.21 0.80 0.70 0.31 0.74 0.45 0.40 0.78 0.90 0.34 0.27 0.53 0.50 0.38 0.11 0.67 0.19 1.00 0.36 0.56 0.78 0.32 0.58 0.70 0.69 0.05 0.28 0.03 0.38 0.69 0.14 0.74 0.40 ]
[0.89 0.27 0.87 0.40 0.26 0.42 1.00 0.88 0.97 0.06 0.16 0.71 0.12 0.13 0.58 0.21 0.35 0.25 0.70 0.23 0.06 0.21 0.11 0.88 0.98 0.54 0.63 0.84 0.02 0.19 0.76 0.93 0.23 0.87 0.49 0.02 0.68 0.51 0.55 0.88 0.98 0.53 0.25 0.38 0.42 0.45 0.32 0.96 0.20 0.60 0.84 0.35 0.37 0.91 0.81 0.06 0.47 0.02 0.31 0.57 0.66 0.40 0.96 0.51 0.24 0.81 0.72 0.13 0.10 0.83 0.73 0.69 0.64 0.75 0.96 0.61 ]
[0.03 0.36 0.40 0.65 0.58 0.98 0.88 1.00 0.81 0.18 0.41 0.05 0.28 0.30 0.04 0.87 0.15 0.53 0.96 0.24 0.07 0.47 0.69 0.88 0.06 0.16 0.26 0.06 0.10 0.57 0.21 0.63 0.14 0.74 0.60 0.35 0.95 0.85 0.30 0.45 0.82 0.51 0.87 0.39 0.49 0.53 0.31 0.50 0.02 0.73 0.44 0.85 0.20 0.45 0.81 0.77 0.11 0.77 0.64 0.48 0.49 0.12 0.94 0.74 0.55 0.80 0.59 0.29 0.35 0.17 0.85 0.69 0.99 1.00 0.30 0.76 ]
[0.93 0.71 0.84 0.62 0.73 0.10 0.97 0.81 1.00 0.46 0.01 0.57 0.53 0.43 0.63 0.64 0.88 0.07 0.82 0.89 0.61 0.71 0.35 0.11 0.78 0.20 0.87 0.81 0.74 0.12 0.05 0.50 0.73 0.05 0.19 0.34 0.30 0.32 0.02 0.58 0.63 0.07 0.69 0.89 0.30 0.56 0.50 0.85 0.26 0.79 0.10 0.19 0.85 0.31 0.84 0.16 0.80 0.76 0.57 0.24 0.14 0.17 0.45 0.21 0.59 0.69 0.05 0.11 0.30 0.39 0.19 0.04 0.88 0.48 0.70 0.10 ]
[0.51 0.56 0.36 0.50 0.96 0.48 0.06 0.18 0.46 1.00 0.31 0.10 0.40 0.89 0.37 0.88 0.83 0.33 0.52 0.79 0.90 0.11 0.94 0.92 0.21 0.44 0.38 0.57 0.72 0.49 0.85 0.51 0.70 0.09 0.54 0.07 0.29 0.95 0.02 0.39 0.80 0.47 0.55 0.33 0.14 0.98 0.62 0.53 0.36 0.57 0.27 0.66 0.99 0.36 0.12 0.41 0.02 0.08 0.41 0.78 0.63 0.35 0.12 0.12 0.82 0.71 0.40 0.20 0.99 0.79 0.46 0.47 0.56 0.81 0.94 0.34 ]
