D = 2;
n = [ 1 1 ];
N = 16;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.98 0.78 0.05 0.15 0.39 0.93 0.56 0.09 1.00 0.43 0.21 0.21 0.48 0.58 0.56 ]
[0.98 1.00 0.92 0.71 0.24 0.28 0.08 0.95 0.14 0.72 0.39 0.99 0.92 0.88 0.93 0.76 ]
[0.78 0.92 1.00 0.88 0.11 0.04 0.74 0.03 0.66 0.21 0.86 0.84 0.91 0.54 0.29 0.66 ]
[0.05 0.71 0.88 1.00 0.15 0.20 0.78 0.20 0.07 0.57 0.50 0.99 0.00 0.41 0.22 0.82 ]
[0.15 0.24 0.11 0.15 1.00 0.37 0.44 0.67 0.09 0.68 0.20 0.98 0.64 0.01 0.09 0.59 ]
[0.39 0.28 0.04 0.20 0.37 1.00 0.92 0.06 0.71 0.43 0.27 0.89 0.24 0.86 0.02 0.86 ]
[0.93 0.08 0.74 0.78 0.44 0.92 1.00 0.80 0.34 0.34 0.56 0.95 0.93 0.83 0.08 0.28 ]
[0.56 0.95 0.03 0.20 0.67 0.06 0.80 1.00 0.17 0.43 0.59 0.50 0.14 0.21 0.05 0.84 ]
[0.09 0.14 0.66 0.07 0.09 0.71 0.34 0.17 1.00 0.04 0.10 0.90 0.11 0.85 0.87 0.10 ]
[1.00 0.72 0.21 0.57 0.68 0.43 0.34 0.43 0.04 1.00 0.23 0.71 0.21 0.89 0.85 0.77 ]
[0.43 0.39 0.86 0.50 0.20 0.27 0.56 0.59 0.10 0.23 1.00 0.65 0.38 0.02 0.77 0.73 ]
[0.21 0.99 0.84 0.99 0.98 0.89 0.95 0.50 0.90 0.71 0.65 1.00 0.17 0.38 0.74 0.25 ]
[0.21 0.92 0.91 0.00 0.64 0.24 0.93 0.14 0.11 0.21 0.38 0.17 1.00 0.01 0.85 0.56 ]
[0.48 0.88 0.54 0.41 0.01 0.86 0.83 0.21 0.85 0.89 0.02 0.38 0.01 1.00 0.80 0.35 ]
[0.58 0.93 0.29 0.22 0.09 0.02 0.08 0.05 0.87 0.85 0.77 0.74 0.85 0.80 1.00 0.48 ]
[0.56 0.76 0.66 0.82 0.59 0.86 0.28 0.84 0.10 0.77 0.73 0.25 0.56 0.35 0.48 1.00 ]
];
