D = 8;
n = [ 4 4 4 4 4 4 4 4 ];
N = 85;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.01 0.13 0.40 0.53 0.27 0.74 0.53 0.43 0.86 0.17 0.26 0.90 0.60 0.79 0.86 0.06 0.09 0.25 0.67 0.10 0.36 0.43 0.36 0.12 0.90 0.66 0.19 0.55 0.83 0.67 0.57 0.08 0.01 0.76 0.17 0.15 0.63 0.13 0.80 0.63 0.00 0.90 0.28 0.98 0.60 0.46 0.59 0.98 0.56 0.75 0.89 0.84 0.94 0.50 0.83 0.17 0.07 0.39 0.61 0.62 0.31 0.62 0.97 0.83 0.38 0.71 0.74 0.44 0.95 0.84 0.47 0.31 0.13 0.98 0.36 0.38 0.50 0.33 0.52 0.75 0.40 0.03 0.99 0.83 ]
[0.01 1.00 0.05 0.72 0.69 0.85 0.12 0.92 0.26 0.12 0.21 0.56 0.36 0.11 0.62 0.51 0.31 0.08 0.64 0.34 0.33 0.13 0.06 0.02 0.98 0.99 0.60 0.73 0.50 0.20 0.79 0.98 0.67 0.85 1.00 0.88 0.85 0.10 0.82 0.21 0.15 0.18 0.36 0.94 0.14 0.92 0.51 0.26 0.31 0.09 0.51 0.20 0.43 0.90 0.89 0.11 0.52 0.06 0.58 0.79 0.38 0.82 0.62 0.51 0.11 0.26 0.07 0.63 0.45 0.06 0.22 0.14 0.43 0.00 0.39 0.31 0.46 0.37 0.08 0.56 0.41 0.29 0.67 0.25 0.19 ]
[0.13 0.05 1.00 0.23 0.58 0.29 0.77 0.03 0.52 0.99 0.92 0.28 0.74 0.50 0.06 0.82 0.64 0.16 0.91 0.95 0.98 0.59 0.61 0.69 0.58 0.66 0.66 0.35 0.15 0.52 0.96 0.73 0.99 0.38 0.86 0.98 0.17 0.48 0.45 0.89 0.85 0.25 0.27 0.45 0.34 0.35 0.39 0.78 0.55 0.65 0.61 0.82 0.24 0.65 0.13 0.30 0.29 0.32 0.98 0.65 0.36 0.02 0.52 0.43 0.64 0.78 0.92 0.60 0.47 0.19 0.20 0.11 0.73 0.26 0.67 0.11 0.87 0.52 0.71 0.51 0.78 0.68 0.50 0.46 1.00 ]
[0.40 0.72 0.23 1.00 0.13 0.15 0.95 0.31 0.87 0.70 0.14 0.35 0.07 0.77 0.93 0.68 0.40 0.72 0.05 0.12 0.14 0.85 0.87 0.89 0.99 0.15 0.59 0.91 0.09 0.05 0.81 0.37 0.11 0.45 0.48 0.36 0.58 0.40 0.13 0.62 0.18 0.79 0.38 0.39 0.01 0.18 0.10 0.70 0.14 0.62 0.66 0.10 0.13 0.33 0.33 0.22 0.99 0.17 0.40 0.17 0.98 0.56 0.72 0.37 0.14 0.50 0.30 0.20 0.78 0.31 0.07 0.61 0.69 0.57 0.11 0.41 0.18 0.65 0.24 0.90 0.37 0.75 0.83 0.26 0.67 ]
[0.53 0.69 0.58 0.13 1.00 0.50 0.90 0.46 0.41 0.82 0.17 0.23 0.55 0.74 0.49 0.92 0.15 0.43 1.00 0.51 0.53 0.12 0.71 0.13 0.73 0.73 0.56 0.78 0.22 0.80 0.36 0.51 0.41 0.02 0.82 0.56 0.56 0.49 0.58 0.92 0.99 0.09 0.97 0.45 0.88 0.78 0.62 0.41 0.98 0.21 0.65 0.39 0.03 0.59 0.71 0.09 0.67 0.37 0.81 0.72 0.46 0.94 0.96 0.59 0.97 0.95 0.43 0.83 0.24 0.55 0.26 0.26 0.26 0.20 0.08 0.28 0.42 0.51 0.57 0.22 0.04 0.34 0.38 0.62 0.50 ]
[0.27 0.85 0.29 0.15 0.50 1.00 0.12 0.87 0.59 0.54 0.02 0.93 0.29 0.54 0.28 0.21 0.99 0.22 0.89 0.01 0.12 0.84 0.34 0.77 0.63 0.42 0.42 0.81 0.65 0.30 0.88 0.50 0.25 0.63 0.68 0.22 0.86 0.39 0.03 0.96 0.92 0.55 0.36 0.79 0.95 0.45 0.14 0.06 0.27 0.52 0.36 0.49 0.94 0.37 0.09 0.89 0.70 0.92 0.78 0.26 0.58 0.17 0.18 0.29 0.89 0.40 0.64 0.49 0.40 0.82 0.64 0.67 0.05 0.20 0.65 0.21 0.48 0.09 0.90 0.69 0.64 0.35 0.15 0.36 0.51 ]
[0.74 0.12 0.77 0.95 0.90 0.12 1.00 0.99 0.46 0.34 0.22 0.01 0.16 0.23 0.55 0.58 0.47 0.66 0.44 0.94 0.94 0.08 0.70 0.53 0.08 0.52 0.82 0.85 0.10 0.18 0.67 0.88 0.91 0.76 0.46 0.77 0.30 0.58 0.77 0.08 0.17 0.50 0.65 0.25 0.33 0.55 0.71 0.06 0.98 0.65 0.27 0.15 0.56 0.04 0.07 0.37 0.47 0.22 0.48 0.94 0.20 0.53 0.84 0.68 0.36 0.52 0.20 0.77 0.99 0.90 0.09 0.53 0.56 0.76 0.54 0.63 0.65 0.08 0.64 0.68 0.06 0.92 0.78 0.56 0.46 ]
[0.53 0.92 0.03 0.31 0.46 0.87 0.99 1.00 0.10 0.84 0.47 0.65 0.54 0.22 0.53 0.35 0.79 0.01 0.50 0.90 0.89 0.86 0.18 0.91 0.93 0.92 0.45 0.66 0.92 0.52 0.95 0.05 0.49 0.28 0.13 0.60 0.05 0.62 0.43 0.83 0.45 0.79 0.44 0.93 0.71 0.82 0.22 0.43 1.00 0.96 0.27 0.46 0.35 0.74 0.22 0.42 0.96 0.88 0.44 0.53 0.03 0.31 0.27 0.34 0.10 0.45 0.64 0.32 0.25 0.25 0.50 0.47 0.07 0.66 0.36 0.30 0.79 0.42 0.20 0.91 0.92 0.75 0.04 0.49 0.49 ]
[0.43 0.26 0.52 0.87 0.41 0.59 0.46 0.10 1.00 0.41 0.09 0.32 0.70 0.45 0.95 0.82 0.17 0.65 0.96 0.31 0.61 0.98 0.61 0.22 0.24 0.39 0.14 0.63 0.17 0.56 0.81 0.82 0.39 0.84 0.96 0.13 0.42 0.40 0.50 0.74 0.15 0.71 0.26 0.22 0.13 0.50 1.00 0.54 0.76 0.71 0.38 0.78 0.37 0.21 0.54 0.49 0.31 0.90 0.22 0.49 0.98 0.41 0.97 0.01 0.98 0.85 0.27 0.44 0.38 0.53 0.00 0.95 0.22 0.20 0.48 0.11 0.01 0.78 0.80 0.69 0.12 0.90 0.13 0.06 0.71 ]
[0.86 0.12 0.99 0.70 0.82 0.54 0.34 0.84 0.41 1.00 0.13 0.55 0.85 0.99 0.87 0.97 0.97 0.18 0.32 0.19 0.47 0.43 0.20 0.45 0.16 0.73 0.56 0.42 0.99 0.54 0.61 0.37 0.04 0.07 0.56 0.37 0.66 0.10 0.02 0.49 0.38 0.99 0.83 0.06 0.88 0.35 0.29 0.50 0.77 0.05 0.35 0.76 0.75 0.23 0.73 0.59 0.79 0.57 0.46 0.26 0.12 0.38 0.99 0.70 0.50 0.23 0.82 0.71 0.68 0.51 0.38 0.66 0.02 0.57 0.32 0.75 0.37 0.26 0.58 0.59 0.39 0.97 0.10 0.14 0.39 ]
[0.17 0.21 0.92 0.14 0.17 0.02 0.22 0.47 0.09 0.13 1.00 0.32 0.44 0.13 0.14 0.94 0.78 0.45 0.97 0.64 0.87 0.62 0.93 0.28 0.78 0.30 0.56 0.38 0.05 0.59 0.10 0.86 0.12 0.01 0.98 0.73 0.88 0.16 0.93 0.84 0.19 0.58 0.68 0.97 0.69 0.29 0.57 0.55 0.88 0.43 0.48 0.09 0.89 0.24 0.94 0.53 0.73 0.85 0.61 0.07 0.16 0.34 0.57 0.35 0.98 0.71 0.47 0.57 0.25 0.50 0.59 0.11 0.85 0.33 0.08 0.33 0.08 0.88 0.87 0.36 0.27 0.45 0.20 0.94 0.47 ]
[0.26 0.56 0.28 0.35 0.23 0.93 0.01 0.65 0.32 0.55 0.32 1.00 0.96 0.78 0.17 0.81 0.42 0.89 0.40 0.36 0.95 0.75 0.92 0.05 0.51 0.06 0.62 1.00 0.18 0.72 0.27 0.34 0.79 0.17 0.51 0.58 0.45 0.88 0.96 0.53 0.03 0.10 0.10 0.23 0.40 0.94 0.46 0.42 0.62 0.95 0.42 0.18 0.48 0.11 0.69 0.25 0.27 0.01 0.80 0.82 0.36 0.10 0.87 0.36 0.91 0.82 0.28 0.14 0.72 0.27 0.63 0.24 0.03 0.28 0.20 0.43 0.75 0.05 0.23 0.06 0.06 0.46 0.56 0.67 0.86 ]
[0.90 0.36 0.74 0.07 0.55 0.29 0.16 0.54 0.70 0.85 0.44 0.96 1.00 0.17 0.80 0.30 0.97 0.63 0.54 0.80 0.93 0.05 0.82 0.97 0.69 0.14 0.58 0.86 0.26 0.21 0.59 0.25 0.39 0.25 0.04 0.93 0.54 0.46 0.36 0.45 0.26 0.88 0.77 0.64 0.60 0.38 0.80 0.34 0.54 0.49 0.30 0.40 0.98 0.75 0.89 0.75 0.94 0.70 0.81 0.38 0.20 0.23 0.62 0.42 0.61 0.58 0.32 0.34 0.94 0.03 0.13 0.86 0.33 0.40 0.12 0.93 0.47 0.14 0.98 0.49 0.73 0.38 0.85 0.31 0.65 ]
[0.60 0.11 0.50 0.77 0.74 0.54 0.23 0.22 0.45 0.99 0.13 0.78 0.17 1.00 0.88 0.97 1.00 0.26 0.89 0.60 0.10 0.23 0.72 0.07 0.42 0.47 0.59 0.48 0.07 0.18 0.08 0.36 0.28 0.74 0.95 0.14 0.36 0.65 0.10 0.13 0.35 0.01 0.41 0.11 0.03 0.60 0.73 0.26 0.49 0.10 0.63 0.01 0.92 0.23 0.37 0.02 0.78 0.09 0.99 0.91 0.31 0.16 0.88 0.82 0.18 0.10 0.92 0.50 0.79 0.70 0.91 0.24 0.32 0.54 0.54 0.39 0.67 0.82 0.25 0.21 0.03 0.31 0.79 0.45 0.10 ]
[0.79 0.62 0.06 0.93 0.49 0.28 0.55 0.53 0.95 0.87 0.14 0.17 0.80 0.88 1.00 0.76 0.08 0.50 0.69 0.12 0.86 0.44 0.08 0.85 0.66 0.09 0.27 0.96 0.03 0.31 0.15 0.69 0.82 0.39 0.30 0.93 0.91 0.40 0.12 0.28 0.97 0.55 0.68 0.55 0.76 0.51 0.48 0.23 0.51 0.15 0.11 0.61 0.72 0.10 0.31 0.28 0.67 0.56 0.56 0.94 0.84 0.83 0.66 0.89 0.30 0.92 0.62 0.31 0.65 0.45 0.96 0.66 0.33 0.83 0.90 0.37 0.10 0.16 0.03 0.44 0.32 0.03 0.09 0.11 0.57 ]
[0.86 0.51 0.82 0.68 0.92 0.21 0.58 0.35 0.82 0.97 0.94 0.81 0.30 0.97 0.76 1.00 0.48 0.04 0.60 0.68 0.63 0.00 0.35 1.00 0.37 0.01 0.35 0.62 0.93 0.23 0.23 0.31 0.52 0.27 0.36 0.11 0.34 0.57 0.18 0.47 0.14 0.83 0.74 0.57 0.94 0.89 0.08 0.69 0.05 0.73 0.72 0.80 0.28 0.79 0.16 0.48 0.46 0.01 0.74 0.93 0.29 0.92 0.09 0.03 0.62 0.10 0.59 0.78 0.15 0.69 0.05 0.78 0.30 0.38 0.87 0.47 0.14 0.71 0.58 0.92 0.70 0.65 0.63 0.83 0.89 ]
[0.06 0.31 0.64 0.40 0.15 0.99 0.47 0.79 0.17 0.97 0.78 0.42 0.97 1.00 0.08 0.48 1.00 0.16 0.24 0.26 0.76 0.01 0.65 0.90 0.54 0.81 0.41 0.43 0.03 0.56 0.85 0.81 0.48 0.33 0.72 0.30 0.80 0.77 0.81 0.01 0.24 0.83 0.74 0.35 0.35 0.53 0.48 0.44 0.66 1.00 0.73 0.14 0.46 0.49 0.85 0.54 0.59 0.10 0.43 0.59 0.53 0.98 0.71 0.11 0.34 0.26 0.49 0.10 0.24 0.19 0.24 0.23 0.47 0.24 0.72 0.80 0.58 0.84 0.39 0.72 0.11 0.69 0.75 0.37 0.43 ]
[0.09 0.08 0.16 0.72 0.43 0.22 0.66 0.01 0.65 0.18 0.45 0.89 0.63 0.26 0.50 0.04 0.16 1.00 0.72 0.21 0.31 0.17 0.13 0.37 0.21 0.99 0.55 0.72 0.01 0.52 0.59 0.09 0.60 0.53 0.39 0.58 0.71 0.95 0.30 0.38 0.09 0.48 0.22 0.62 0.03 0.25 0.69 0.91 0.48 0.57 0.73 0.74 0.02 0.91 0.38 0.90 0.42 0.97 0.22 0.88 0.99 0.43 0.52 0.69 0.35 0.97 0.58 0.82 0.78 0.33 0.31 0.76 0.13 0.51 0.82 0.08 0.20 0.80 0.70 0.28 0.67 0.57 0.28 0.23 0.27 ]
[0.25 0.64 0.91 0.05 1.00 0.89 0.44 0.50 0.96 0.32 0.97 0.40 0.54 0.89 0.69 0.60 0.24 0.72 1.00 0.72 0.84 0.79 0.06 0.75 0.09 0.29 0.14 0.24 0.76 0.71 0.81 0.50 0.57 0.34 0.13 0.14 0.42 0.13 0.28 0.25 0.50 0.96 0.84 0.92 0.96 0.06 0.62 0.38 0.87 0.94 0.40 0.27 0.56 0.35 0.73 0.45 0.01 0.84 0.62 0.80 0.48 0.42 0.48 0.64 0.63 0.78 0.11 0.02 0.32 0.36 0.25 0.10 0.40 0.02 0.73 0.58 0.34 0.90 0.92 0.14 0.62 0.31 0.02 0.07 0.98 ]
[0.67 0.34 0.95 0.12 0.51 0.01 0.94 0.90 0.31 0.19 0.64 0.36 0.80 0.60 0.12 0.68 0.26 0.21 0.72 1.00 0.26 0.13 0.86 0.03 0.55 0.79 0.59 0.15 0.26 0.03 0.28 0.81 0.92 0.09 0.84 0.63 0.61 0.06 0.42 0.31 0.41 0.33 0.04 0.50 0.19 0.93 0.33 0.20 0.09 1.00 0.77 0.50 0.01 0.66 0.37 0.89 0.19 0.30 0.25 0.14 0.45 0.42 0.67 0.25 0.32 0.69 0.86 0.94 0.90 0.02 0.27 0.47 0.02 0.32 0.24 0.16 0.82 0.39 0.32 0.74 0.51 0.93 0.31 0.14 0.28 ]
[0.10 0.33 0.98 0.14 0.53 0.12 0.94 0.89 0.61 0.47 0.87 0.95 0.93 0.10 0.86 0.63 0.76 0.31 0.84 0.26 1.00 0.21 0.46 0.24 0.30 0.03 0.94 0.84 0.85 0.01 0.08 0.33 0.24 0.36 0.05 0.60 0.30 0.63 0.36 0.43 0.83 0.34 0.92 0.11 0.90 0.47 0.36 0.02 0.48 0.84 0.92 0.77 0.89 0.55 0.08 0.85 0.32 0.86 0.05 0.19 0.51 0.91 0.85 0.75 0.55 0.68 0.54 0.48 0.58 0.74 0.97 0.80 0.25 0.90 0.99 0.66 0.05 0.18 0.05 0.73 0.42 0.40 0.25 0.91 0.13 ]
[0.36 0.13 0.59 0.85 0.12 0.84 0.08 0.86 0.98 0.43 0.62 0.75 0.05 0.23 0.44 0.00 0.01 0.17 0.79 0.13 0.21 1.00 0.90 0.48 0.53 0.23 0.27 0.78 0.11 0.16 0.92 0.84 0.46 0.10 0.22 0.93 0.68 0.67 0.14 0.27 0.52 0.70 0.98 0.44 0.95 0.05 0.50 0.80 0.63 0.42 0.23 0.52 0.00 0.43 0.19 0.90 0.19 0.31 0.50 0.02 0.77 0.31 0.13 0.02 0.47 0.04 0.31 0.41 0.82 0.54 0.06 0.02 0.22 0.21 0.24 0.45 0.63 0.21 0.01 0.98 0.06 0.43 0.19 0.45 0.62 ]
[0.43 0.06 0.61 0.87 0.71 0.34 0.70 0.18 0.61 0.20 0.93 0.92 0.82 0.72 0.08 0.35 0.65 0.13 0.06 0.86 0.46 0.90 1.00 0.72 0.58 0.03 0.94 0.63 0.91 0.83 0.89 0.51 0.14 0.16 0.25 0.86 0.96 0.64 0.86 0.60 0.16 0.14 0.20 1.00 0.97 1.00 0.28 0.35 0.17 0.86 0.96 0.43 0.19 0.60 0.72 0.74 0.28 0.43 0.85 0.60 0.07 0.77 0.75 0.14 0.66 0.08 0.33 0.90 0.10 0.56 0.35 0.40 0.31 0.50 0.81 0.07 0.67 0.35 0.70 0.47 0.01 0.32 0.57 0.03 0.92 ]
[0.36 0.02 0.69 0.89 0.13 0.77 0.53 0.91 0.22 0.45 0.28 0.05 0.97 0.07 0.85 1.00 0.90 0.37 0.75 0.03 0.24 0.48 0.72 1.00 0.59 0.85 0.20 0.13 0.57 0.36 0.40 0.47 0.56 0.60 0.64 0.59 0.30 0.35 0.43 0.63 0.80 0.91 0.42 0.65 0.47 0.32 0.36 0.36 0.15 0.00 0.91 0.23 0.98 0.23 0.87 0.01 0.35 0.18 0.05 0.10 0.76 0.18 0.17 0.96 0.70 0.12 0.14 0.81 0.89 0.45 0.07 0.46 0.56 0.59 0.48 0.56 0.79 0.43 0.05 0.73 0.58 0.51 0.74 0.17 0.78 ]
[0.12 0.98 0.58 0.99 0.73 0.63 0.08 0.93 0.24 0.16 0.78 0.51 0.69 0.42 0.66 0.37 0.54 0.21 0.09 0.55 0.30 0.53 0.58 0.59 1.00 0.04 0.48 0.82 0.25 0.45 0.63 0.72 0.16 0.76 0.08 0.18 0.60 0.92 0.85 0.49 0.43 0.76 0.44 0.20 0.68 0.50 0.15 0.37 0.96 0.27 0.75 0.65 0.54 0.27 0.97 0.78 0.28 0.60 0.27 0.27 1.00 0.80 0.39 0.66 0.36 0.56 0.93 0.10 0.44 0.78 0.96 0.87 0.02 0.32 0.96 0.75 0.07 0.91 0.58 0.90 0.70 0.67 0.21 0.54 0.61 ]
