D = 6;
n = [ 2 2 2 2 2 2 ];
N = 29;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.99 0.86 0.88 0.81 0.64 0.36 0.31 0.77 0.28 0.56 0.49 0.57 0.46 0.14 0.03 0.74 0.58 0.24 0.71 0.03 0.40 0.53 0.66 0.17 0.21 0.45 0.31 0.84 ]
[0.99 1.00 0.62 0.27 0.26 0.57 0.48 0.31 0.46 0.08 0.52 0.49 0.44 0.21 0.38 0.44 0.85 0.60 0.72 0.34 0.52 0.56 0.24 0.27 0.89 0.09 0.36 0.58 0.43 ]
[0.86 0.62 1.00 0.58 0.06 0.54 0.45 0.59 0.98 0.14 0.98 0.03 0.20 0.83 0.79 0.43 0.89 0.26 0.70 0.54 0.78 0.60 0.96 0.29 0.78 0.49 0.10 0.88 0.91 ]
[0.88 0.27 0.58 1.00 0.62 0.45 0.30 0.51 0.37 0.19 0.12 0.38 0.43 0.01 0.16 0.85 0.99 0.48 0.40 0.35 0.46 0.18 0.33 0.58 0.21 0.65 0.27 0.22 0.98 ]
[0.81 0.26 0.06 0.62 1.00 0.24 0.83 0.37 0.28 0.85 0.97 0.51 0.18 0.74 0.54 0.70 0.07 0.79 0.97 0.39 0.48 0.18 0.80 0.39 0.94 0.58 0.76 0.31 0.79 ]
[0.64 0.57 0.54 0.45 0.24 1.00 0.87 0.65 0.85 0.70 0.59 0.35 0.57 0.90 0.58 0.29 0.04 0.92 0.82 0.68 0.77 0.51 0.56 0.00 0.88 0.35 0.07 0.12 0.61 ]
[0.36 0.48 0.45 0.30 0.83 0.87 1.00 0.04 0.69 0.95 0.02 0.40 0.52 0.12 0.82 0.35 0.20 0.30 0.70 0.55 0.55 0.67 0.65 0.36 0.76 0.04 0.64 0.09 0.02 ]
[0.31 0.31 0.59 0.51 0.37 0.65 0.04 1.00 0.06 0.27 0.53 0.88 0.62 0.03 0.97 0.06 0.83 0.40 0.28 0.46 0.65 0.92 0.97 0.90 0.35 0.51 0.10 0.01 0.90 ]
[0.77 0.46 0.98 0.37 0.28 0.85 0.69 0.06 1.00 0.60 0.03 0.41 0.87 0.97 0.65 0.61 0.70 0.52 0.88 0.06 0.45 0.54 0.16 0.66 0.28 0.52 0.96 0.53 0.89 ]
[0.28 0.08 0.14 0.19 0.85 0.70 0.95 0.27 0.60 1.00 0.29 0.43 0.84 0.43 0.25 0.91 0.04 0.29 0.89 0.66 0.14 0.65 0.94 0.71 0.48 0.94 0.69 0.37 0.44 ]
[0.56 0.52 0.98 0.12 0.97 0.59 0.02 0.53 0.03 0.29 1.00 0.12 0.34 0.40 0.50 0.13 0.46 0.67 0.27 0.77 0.01 0.26 0.89 0.26 0.18 0.67 0.94 0.33 0.81 ]
[0.49 0.49 0.03 0.38 0.51 0.35 0.40 0.88 0.41 0.43 0.12 1.00 0.70 0.12 0.37 0.82 1.00 0.59 0.36 0.50 0.97 0.75 0.60 0.05 0.18 0.02 0.94 0.94 0.30 ]
[0.57 0.44 0.20 0.43 0.18 0.57 0.52 0.62 0.87 0.84 0.34 0.70 1.00 0.66 0.63 0.25 0.02 0.18 0.99 0.90 0.14 0.17 0.90 0.97 0.41 0.11 0.51 0.42 0.33 ]
[0.46 0.21 0.83 0.01 0.74 0.90 0.12 0.03 0.97 0.43 0.40 0.12 0.66 1.00 0.46 0.18 0.54 0.59 0.77 0.74 0.58 0.36 0.90 1.00 0.54 0.37 0.19 0.83 0.05 ]
[0.14 0.38 0.79 0.16 0.54 0.58 0.82 0.97 0.65 0.25 0.50 0.37 0.63 0.46 1.00 0.83 1.00 0.59 0.38 0.19 0.51 0.51 0.01 0.53 0.30 0.83 0.29 0.01 0.36 ]
[0.03 0.44 0.43 0.85 0.70 0.29 0.35 0.06 0.61 0.91 0.13 0.82 0.25 0.18 0.83 1.00 0.08 0.98 0.05 0.09 0.64 0.37 0.07 0.63 0.03 0.01 0.10 0.89 0.95 ]
[0.74 0.85 0.89 0.99 0.07 0.04 0.20 0.83 0.70 0.04 0.46 1.00 0.02 0.54 1.00 0.08 1.00 0.49 0.17 0.56 0.25 0.61 0.35 0.80 0.52 0.63 0.80 0.73 0.93 ]
[0.58 0.60 0.26 0.48 0.79 0.92 0.30 0.40 0.52 0.29 0.67 0.59 0.18 0.59 0.59 0.98 0.49 1.00 0.60 0.91 0.70 0.81 0.65 0.09 0.33 0.05 0.58 0.18 0.43 ]
[0.24 0.72 0.70 0.40 0.97 0.82 0.70 0.28 0.88 0.89 0.27 0.36 0.99 0.77 0.38 0.05 0.17 0.60 1.00 0.79 0.92 0.05 0.07 0.62 0.09 0.32 0.08 0.22 0.17 ]
[0.71 0.34 0.54 0.35 0.39 0.68 0.55 0.46 0.06 0.66 0.77 0.50 0.90 0.74 0.19 0.09 0.56 0.91 0.79 1.00 0.05 0.13 0.70 0.53 0.10 0.53 0.64 0.92 0.99 ]
[0.03 0.52 0.78 0.46 0.48 0.77 0.55 0.65 0.45 0.14 0.01 0.97 0.14 0.58 0.51 0.64 0.25 0.70 0.92 0.05 1.00 0.10 0.83 0.46 0.95 0.53 0.07 0.92 0.52 ]
[0.40 0.56 0.60 0.18 0.18 0.51 0.67 0.92 0.54 0.65 0.26 0.75 0.17 0.36 0.51 0.37 0.61 0.81 0.05 0.13 0.10 1.00 0.50 0.59 0.25 0.40 0.16 0.16 0.13 ]
[0.53 0.24 0.96 0.33 0.80 0.56 0.65 0.97 0.16 0.94 0.89 0.60 0.90 0.90 0.01 0.07 0.35 0.65 0.07 0.70 0.83 0.50 1.00 0.95 0.00 0.43 0.78 0.58 0.84 ]
