D = 4;
n = [ 4 4 4 4 ];
N = 23;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.15 0.82 0.50 0.55 0.84 0.35 0.88 0.09 0.55 0.45 0.24 0.87 0.50 0.13 0.11 0.56 0.53 0.14 0.31 1.00 0.99 0.33 ]
[0.15 1.00 0.34 0.18 0.59 0.22 0.88 0.94 0.67 0.09 0.56 0.84 0.51 0.60 0.97 0.05 0.82 0.76 0.91 0.66 0.16 0.40 0.12 ]
[0.82 0.34 1.00 0.13 0.24 0.42 0.74 0.31 0.48 0.01 0.95 0.87 0.50 0.52 0.24 0.81 0.13 0.41 0.66 0.54 0.83 0.35 0.78 ]
[0.50 0.18 0.13 1.00 0.01 0.38 0.50 0.65 0.23 0.41 0.97 0.61 0.01 0.35 0.05 0.35 0.39 0.07 0.42 0.69 0.72 0.35 0.09 ]
[0.55 0.59 0.24 0.01 1.00 0.65 0.28 0.64 0.95 0.85 0.64 0.60 0.64 0.13 0.15 0.78 0.06 0.67 0.16 0.89 0.07 0.93 0.31 ]
[0.84 0.22 0.42 0.38 0.65 1.00 0.20 0.30 0.56 0.59 0.59 0.01 0.05 0.52 0.73 0.76 0.49 0.82 0.85 0.76 0.08 0.69 0.61 ]
[0.35 0.88 0.74 0.50 0.28 0.20 1.00 0.84 0.37 0.41 0.94 0.53 0.32 0.09 0.71 0.23 0.52 0.29 0.17 0.17 0.07 0.63 0.18 ]
[0.88 0.94 0.31 0.65 0.64 0.30 0.84 1.00 0.70 0.05 0.90 0.70 0.83 0.91 0.67 0.38 0.01 0.80 0.73 0.64 0.32 0.89 0.09 ]
[0.09 0.67 0.48 0.23 0.95 0.56 0.37 0.70 1.00 0.16 0.25 0.11 0.17 0.50 0.82 0.22 0.55 0.93 0.08 0.06 0.20 0.60 0.39 ]
[0.55 0.09 0.01 0.41 0.85 0.59 0.41 0.05 0.16 1.00 0.43 0.74 0.10 0.38 0.87 0.13 0.83 0.05 0.55 0.52 0.63 0.19 0.17 ]
[0.45 0.56 0.95 0.97 0.64 0.59 0.94 0.90 0.25 0.43 1.00 0.85 0.95 0.60 0.88 0.52 0.20 0.28 0.85 0.60 0.86 0.76 0.83 ]
[0.24 0.84 0.87 0.61 0.60 0.01 0.53 0.70 0.11 0.74 0.85 1.00 0.82 0.80 0.19 0.19 0.05 0.73 0.52 0.51 0.37 0.16 0.41 ]
[0.87 0.51 0.50 0.01 0.64 0.05 0.32 0.83 0.17 0.10 0.95 0.82 1.00 0.21 0.33 0.73 0.58 0.21 0.46 0.55 0.60 0.23 0.88 ]
[0.50 0.60 0.52 0.35 0.13 0.52 0.09 0.91 0.50 0.38 0.60 0.80 0.21 1.00 0.00 0.86 0.56 0.03 0.66 0.63 0.99 0.52 0.20 ]
[0.13 0.97 0.24 0.05 0.15 0.73 0.71 0.67 0.82 0.87 0.88 0.19 0.33 0.00 1.00 0.02 0.04 0.44 0.73 0.10 0.31 0.61 0.16 ]
[0.11 0.05 0.81 0.35 0.78 0.76 0.23 0.38 0.22 0.13 0.52 0.19 0.73 0.86 0.02 1.00 0.02 0.49 0.29 0.53 0.91 0.90 0.90 ]
[0.56 0.82 0.13 0.39 0.06 0.49 0.52 0.01 0.55 0.83 0.20 0.05 0.58 0.56 0.04 0.02 1.00 0.70 0.88 0.14 0.91 0.61 0.45 ]
[0.53 0.76 0.41 0.07 0.67 0.82 0.29 0.80 0.93 0.05 0.28 0.73 0.21 0.03 0.44 0.49 0.70 1.00 0.14 0.13 0.85 0.60 0.33 ]
[0.14 0.91 0.66 0.42 0.16 0.85 0.17 0.73 0.08 0.55 0.85 0.52 0.46 0.66 0.73 0.29 0.88 0.14 1.00 0.05 0.38 0.12 0.64 ]
[0.31 0.66 0.54 0.69 0.89 0.76 0.17 0.64 0.06 0.52 0.60 0.51 0.55 0.63 0.10 0.53 0.14 0.13 0.05 1.00 0.96 0.17 0.90 ]
[1.00 0.16 0.83 0.72 0.07 0.08 0.07 0.32 0.20 0.63 0.86 0.37 0.60 0.99 0.31 0.91 0.91 0.85 0.38 0.96 1.00 0.31 0.19 ]
[0.99 0.40 0.35 0.35 0.93 0.69 0.63 0.89 0.60 0.19 0.76 0.16 0.23 0.52 0.61 0.90 0.61 0.60 0.12 0.17 0.31 1.00 0.43 ]
[0.33 0.12 0.78 0.09 0.31 0.61 0.18 0.09 0.39 0.17 0.83 0.41 0.88 0.20 0.16 0.90 0.45 0.33 0.64 0.90 0.19 0.43 1.00 ]
];
