D = 2;
n = [ 1 1 ];
N = 25;
d = [1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.25 0.67 0.76 0.70 0.37 0.16 0.15 0.65 0.65 0.85 0.34 0.79 0.79 0.75 0.27 0.20 0.60 0.96 0.93 0.58 0.51 0.26 0.03 0.55 ]
[0.25 1.00 0.44 0.05 0.65 0.07 0.91 0.73 0.98 0.14 0.26 0.77 0.07 0.98 0.48 0.95 0.15 0.90 0.63 0.66 0.60 0.23 0.85 0.41 0.81 ]
[0.67 0.44 1.00 0.45 0.22 0.10 0.31 0.15 0.23 0.69 0.68 0.72 0.27 0.60 0.38 0.15 0.85 0.91 0.37 0.82 0.70 0.60 0.93 0.53 0.51 ]
[0.76 0.05 0.45 1.00 0.44 0.97 0.80 0.11 0.38 0.45 0.21 0.99 0.75 0.22 0.92 0.30 0.94 0.99 0.91 0.56 0.47 0.34 0.23 0.29 0.92 ]
[0.70 0.65 0.22 0.44 1.00 0.15 0.30 0.93 0.84 0.55 0.46 0.94 0.80 0.78 0.22 0.02 0.27 0.61 0.15 0.05 0.58 0.30 0.26 0.82 0.70 ]
[0.37 0.07 0.10 0.97 0.15 1.00 0.42 0.27 0.10 0.81 0.55 0.09 0.74 0.20 0.44 0.64 0.62 0.69 0.77 0.89 0.89 0.55 0.87 0.87 0.22 ]
[0.16 0.91 0.31 0.80 0.30 0.42 1.00 0.56 0.22 0.62 0.43 0.94 0.35 0.12 0.55 0.57 0.46 0.14 0.91 0.21 0.23 0.67 0.78 0.89 0.45 ]
[0.15 0.73 0.15 0.11 0.93 0.27 0.56 1.00 0.46 0.40 0.03 0.90 0.74 0.73 0.84 0.15 0.34 0.92 0.38 0.62 0.27 0.86 0.06 0.76 0.14 ]
[0.65 0.98 0.23 0.38 0.84 0.10 0.22 0.46 1.00 0.85 0.87 1.00 0.66 0.16 0.60 0.39 0.65 0.10 0.66 0.18 0.21 0.23 0.87 0.01 0.16 ]
[0.65 0.14 0.69 0.45 0.55 0.81 0.62 0.40 0.85 1.00 0.42 0.10 0.88 0.20 0.49 0.92 0.34 0.10 0.62 0.25 0.92 0.49 0.49 0.91 0.85 ]
[0.85 0.26 0.68 0.21 0.46 0.55 0.43 0.03 0.87 0.42 1.00 0.34 0.22 0.91 0.26 0.76 0.37 0.87 0.76 0.64 0.27 0.37 0.54 0.16 0.20 ]
[0.34 0.77 0.72 0.99 0.94 0.09 0.94 0.90 1.00 0.10 0.34 1.00 0.49 0.03 0.73 0.96 0.46 0.24 0.55 0.89 0.51 0.16 0.22 0.60 0.21 ]
[0.79 0.07 0.27 0.75 0.80 0.74 0.35 0.74 0.66 0.88 0.22 0.49 1.00 0.02 0.37 0.13 0.45 0.39 0.93 0.94 0.33 0.03 0.23 0.06 0.84 ]
[0.79 0.98 0.60 0.22 0.78 0.20 0.12 0.73 0.16 0.20 0.91 0.03 0.02 1.00 0.47 0.89 0.10 0.96 0.50 0.43 0.08 0.20 0.46 0.90 0.05 ]
[0.75 0.48 0.38 0.92 0.22 0.44 0.55 0.84 0.60 0.49 0.26 0.73 0.37 0.47 1.00 0.81 0.90 0.78 0.25 0.38 0.13 0.67 0.02 0.36 0.33 ]
[0.27 0.95 0.15 0.30 0.02 0.64 0.57 0.15 0.39 0.92 0.76 0.96 0.13 0.89 0.81 1.00 0.90 0.91 0.54 0.36 0.83 0.13 0.79 0.81 0.09 ]
[0.20 0.15 0.85 0.94 0.27 0.62 0.46 0.34 0.65 0.34 0.37 0.46 0.45 0.10 0.90 0.90 1.00 0.43 0.74 0.56 0.74 0.86 0.86 0.79 0.75 ]
[0.60 0.90 0.91 0.99 0.61 0.69 0.14 0.92 0.10 0.10 0.87 0.24 0.39 0.96 0.78 0.91 0.43 1.00 0.34 0.81 0.29 0.01 0.47 0.41 0.44 ]
[0.96 0.63 0.37 0.91 0.15 0.77 0.91 0.38 0.66 0.62 0.76 0.55 0.93 0.50 0.25 0.54 0.74 0.34 1.00 0.67 0.14 0.75 0.12 0.25 0.89 ]
[0.93 0.66 0.82 0.56 0.05 0.89 0.21 0.62 0.18 0.25 0.64 0.89 0.94 0.43 0.38 0.36 0.56 0.81 0.67 1.00 0.46 0.43 0.72 0.80 0.61 ]
[0.58 0.60 0.70 0.47 0.58 0.89 0.23 0.27 0.21 0.92 0.27 0.51 0.33 0.08 0.13 0.83 0.74 0.29 0.14 0.46 1.00 0.88 0.68 0.98 0.42 ]
[0.51 0.23 0.60 0.34 0.30 0.55 0.67 0.86 0.23 0.49 0.37 0.16 0.03 0.20 0.67 0.13 0.86 0.01 0.75 0.43 0.88 1.00 0.50 0.83 0.33 ]
[0.26 0.85 0.93 0.23 0.26 0.87 0.78 0.06 0.87 0.49 0.54 0.22 0.23 0.46 0.02 0.79 0.86 0.47 0.12 0.72 0.68 0.50 1.00 0.63 0.26 ]
[0.03 0.41 0.53 0.29 0.82 0.87 0.89 0.76 0.01 0.91 0.16 0.60 0.06 0.90 0.36 0.81 0.79 0.41 0.25 0.80 0.98 0.83 0.63 1.00 1.00 ]
[0.55 0.81 0.51 0.92 0.70 0.22 0.45 0.14 0.16 0.85 0.20 0.21 0.84 0.05 0.33 0.09 0.75 0.44 0.89 0.61 0.42 0.33 0.26 1.00 1.00 ]
];
