D = 4;
n = [ 3 3 3 3 ];
N = 57;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.00 0.95 0.38 0.29 0.87 0.78 0.62 0.51 0.37 0.74 0.25 0.46 0.54 0.13 0.23 0.33 0.42 0.11 0.22 0.09 0.61 0.66 0.78 0.82 0.16 0.52 0.38 0.26 0.21 0.57 0.79 0.47 0.99 0.95 0.59 0.99 0.75 0.96 0.67 0.14 0.55 0.55 0.11 0.51 0.84 0.38 0.25 0.03 0.81 0.46 0.51 0.19 0.32 0.05 0.33 0.52 ]
[0.00 1.00 0.73 0.38 0.19 0.02 0.72 0.12 0.82 0.31 0.40 0.52 0.25 0.59 0.64 0.51 0.06 0.23 0.79 0.66 0.42 0.52 0.96 0.69 0.45 0.79 0.99 0.70 0.32 0.52 0.50 0.35 0.26 0.82 0.71 0.35 0.17 0.90 0.90 0.78 0.78 0.12 0.61 0.10 0.02 0.25 0.71 0.22 0.04 0.82 0.18 0.02 0.58 0.63 0.52 0.53 0.96 ]
[0.95 0.73 1.00 0.90 0.92 0.31 0.41 0.19 0.82 0.58 0.81 0.86 0.07 0.03 0.54 0.93 0.88 0.92 0.02 0.03 0.91 0.05 0.43 0.14 0.70 0.66 0.55 0.85 0.39 0.97 0.36 0.04 0.71 0.17 0.66 0.16 0.99 0.81 0.41 0.88 0.46 0.71 0.18 0.08 0.58 0.58 0.46 0.03 0.45 0.72 0.88 0.43 0.92 0.46 0.40 0.99 0.67 ]
[0.38 0.38 0.90 1.00 0.20 0.98 0.53 0.19 0.27 0.85 0.03 0.65 0.11 0.82 0.65 0.71 0.36 0.45 0.62 0.21 0.55 0.24 0.02 0.76 0.69 0.75 0.45 0.40 0.62 0.10 0.03 0.21 0.32 0.09 0.19 0.08 0.20 0.49 0.47 0.37 0.65 0.54 0.27 0.33 0.64 0.81 0.84 0.37 0.60 0.60 0.84 0.83 0.16 0.81 0.93 0.56 0.36 ]
[0.29 0.19 0.92 0.20 1.00 0.98 0.16 0.22 0.06 0.36 0.89 0.60 0.18 0.71 0.20 0.59 0.13 0.10 0.93 0.74 0.07 0.10 0.93 0.51 0.66 0.08 0.73 0.26 0.60 0.63 0.54 0.34 0.14 0.53 0.36 0.54 0.03 0.70 0.51 0.95 0.53 0.46 0.87 0.79 0.23 0.82 0.90 0.85 0.76 0.14 0.22 0.35 0.93 0.10 0.90 0.31 0.96 ]
[0.87 0.02 0.31 0.98 0.98 1.00 0.26 0.33 0.41 0.10 0.97 0.81 0.80 0.15 0.72 0.75 0.47 0.19 0.57 0.60 0.23 0.01 0.26 0.19 0.40 0.68 0.01 0.07 0.50 0.67 0.10 0.00 0.84 0.72 0.88 0.74 0.61 0.39 0.55 0.31 0.82 0.76 0.19 1.00 0.32 0.55 0.25 0.55 0.90 0.46 0.58 0.60 0.64 0.79 0.54 0.80 0.84 ]
[0.78 0.72 0.41 0.53 0.16 0.26 1.00 0.25 0.79 0.99 0.13 0.68 0.17 0.34 0.97 0.66 0.64 0.38 0.96 0.34 0.89 0.30 0.46 0.02 0.26 0.29 0.91 0.78 0.01 0.54 0.32 0.90 0.12 0.64 0.07 0.52 0.46 0.67 0.90 0.95 0.12 0.11 0.76 0.84 0.39 0.24 0.32 0.54 0.74 0.89 0.59 0.08 0.77 0.77 0.68 0.06 0.79 ]
[0.62 0.12 0.19 0.19 0.22 0.33 0.25 1.00 0.04 0.01 0.16 0.94 0.93 0.07 0.08 0.04 0.49 0.86 0.05 0.57 0.21 0.48 0.92 0.07 0.16 0.09 0.05 0.33 0.58 0.99 0.12 0.18 0.86 0.21 0.73 0.78 0.02 0.01 0.06 0.60 0.86 0.03 0.23 0.08 0.76 0.64 0.44 0.92 0.86 0.52 0.44 0.08 0.94 0.59 0.33 0.46 0.62 ]
[0.51 0.82 0.82 0.27 0.06 0.41 0.79 0.04 1.00 0.85 0.08 0.21 0.15 0.46 0.08 0.24 0.88 0.79 0.53 0.98 0.48 0.11 0.51 0.29 0.38 0.39 0.98 0.56 0.81 0.98 0.51 0.83 0.40 0.10 0.85 0.86 0.22 0.67 0.64 0.35 0.32 0.03 0.40 0.89 0.71 0.58 0.51 0.83 0.09 0.15 0.02 0.77 0.65 0.87 0.16 0.03 0.42 ]
[0.37 0.31 0.58 0.85 0.36 0.10 0.99 0.01 0.85 1.00 0.53 0.35 0.63 0.56 0.43 0.08 0.71 0.65 0.32 0.44 0.20 0.31 0.19 0.68 0.16 0.08 0.10 0.77 0.65 0.42 0.22 0.97 0.29 0.50 0.22 0.02 0.53 0.81 0.61 0.54 0.05 0.22 0.16 0.20 0.76 0.28 0.52 0.42 0.26 0.12 0.72 0.70 0.70 0.79 0.83 0.81 0.71 ]
[0.74 0.40 0.81 0.03 0.89 0.97 0.13 0.16 0.08 0.53 1.00 0.10 0.80 0.44 0.69 0.89 0.48 0.10 0.06 0.67 0.62 0.90 0.86 0.09 0.40 0.55 0.53 0.01 0.09 0.62 0.49 0.80 0.51 0.81 0.11 0.68 0.86 0.83 0.70 0.89 0.96 0.74 0.35 0.92 0.28 0.29 0.84 0.63 0.52 0.75 0.51 0.52 0.64 0.83 0.91 0.38 0.33 ]
[0.25 0.52 0.86 0.65 0.60 0.81 0.68 0.94 0.21 0.35 0.10 1.00 0.31 0.53 0.05 0.55 0.78 0.64 0.54 0.22 0.57 0.39 0.15 0.51 0.14 0.93 0.24 0.60 1.00 0.10 0.73 0.47 0.78 0.95 0.45 0.30 0.47 0.61 0.90 0.94 0.22 0.92 0.38 0.59 0.01 0.61 0.46 0.09 0.37 0.61 0.08 0.69 0.22 0.10 0.56 0.19 0.56 ]
[0.46 0.25 0.07 0.11 0.18 0.80 0.17 0.93 0.15 0.63 0.80 0.31 1.00 0.67 0.29 0.74 0.09 0.17 0.26 0.79 0.01 0.77 0.50 0.99 0.29 0.30 0.89 0.76 0.63 0.79 0.37 0.84 0.61 0.86 0.40 0.23 0.96 0.08 0.76 0.01 0.18 0.14 0.14 0.94 0.36 0.07 0.14 0.81 0.57 0.39 0.76 0.72 0.56 0.39 0.78 0.59 0.74 ]
[0.54 0.59 0.03 0.82 0.71 0.15 0.34 0.07 0.46 0.56 0.44 0.53 0.67 1.00 0.58 0.13 0.52 0.96 0.13 0.36 0.59 0.80 0.83 0.47 0.04 0.30 0.98 0.39 0.34 0.50 0.64 0.39 0.63 0.85 0.93 0.95 0.48 0.24 0.17 0.23 0.97 0.52 0.97 0.89 0.49 0.31 0.58 0.23 0.31 0.41 0.16 0.37 0.79 0.99 0.33 0.11 0.51 ]
[0.13 0.64 0.54 0.65 0.20 0.72 0.97 0.08 0.08 0.43 0.69 0.05 0.29 0.58 1.00 0.37 0.64 0.00 0.14 0.02 0.06 0.82 0.96 0.50 0.94 0.08 0.36 0.83 0.59 0.98 0.06 0.40 0.37 0.20 0.11 0.74 0.83 0.12 0.40 0.58 0.83 0.61 0.19 0.83 0.13 0.47 0.72 0.45 0.96 0.69 0.90 0.08 0.56 0.24 0.86 0.56 0.82 ]
[0.23 0.51 0.93 0.71 0.59 0.75 0.66 0.04 0.24 0.08 0.89 0.55 0.74 0.13 0.37 1.00 0.96 0.38 0.12 0.13 0.11 0.06 0.75 0.19 0.05 0.44 0.84 0.87 0.98 0.53 0.19 0.41 0.32 0.41 0.79 0.96 0.53 0.28 0.70 0.72 0.30 0.49 0.55 0.86 0.48 0.91 0.68 0.95 0.31 0.18 0.82 0.25 0.63 0.76 0.29 0.43 0.04 ]
[0.33 0.06 0.88 0.36 0.13 0.47 0.64 0.49 0.88 0.71 0.48 0.78 0.09 0.52 0.64 0.96 1.00 0.72 0.68 0.17 0.39 0.99 0.09 0.07 0.49 0.54 0.97 0.96 0.22 0.64 0.50 0.37 0.16 0.06 0.76 0.51 0.98 0.72 0.53 0.78 0.43 0.88 0.32 0.23 0.84 0.42 0.55 0.54 0.27 0.17 0.37 0.97 0.35 0.42 0.26 0.38 0.31 ]
[0.42 0.23 0.92 0.45 0.10 0.19 0.38 0.86 0.79 0.65 0.10 0.64 0.17 0.96 0.00 0.38 0.72 1.00 0.54 0.13 0.90 0.79 0.20 0.28 0.72 0.72 0.27 0.77 0.83 0.98 0.14 0.03 0.11 0.22 0.97 0.52 0.43 0.33 0.75 0.71 0.98 0.74 0.50 0.13 0.64 0.39 0.87 0.98 0.50 0.83 0.59 0.55 0.40 0.44 0.53 0.85 0.28 ]
