D = 4;
n = [ 2 2 2 2 ];
N = 38;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.09 0.58 0.81 0.08 0.79 0.30 0.55 0.36 0.41 0.07 0.20 0.92 0.46 0.16 0.07 0.49 0.16 0.50 0.61 0.75 0.47 0.79 0.12 0.17 0.51 0.39 0.02 0.73 0.20 0.27 0.50 0.99 0.10 0.42 0.10 0.34 0.05 ]
[0.09 1.00 0.34 0.96 0.65 0.34 0.19 0.71 0.50 0.46 0.64 0.20 0.18 0.57 0.82 0.55 0.13 0.58 0.57 0.05 0.52 0.92 0.87 0.38 0.99 0.67 0.77 0.79 0.49 0.02 0.39 0.99 0.55 0.97 0.23 0.21 0.70 0.90 ]
[0.58 0.34 1.00 0.69 0.77 0.91 0.34 0.40 0.13 0.83 0.22 0.02 0.32 0.69 0.85 0.99 0.95 0.99 0.92 0.31 0.39 0.51 0.63 0.11 0.61 0.21 0.24 0.08 0.20 0.70 0.25 0.49 0.15 0.73 0.48 0.26 0.88 0.19 ]
[0.81 0.96 0.69 1.00 0.32 0.46 0.33 0.90 0.64 0.81 0.38 0.07 0.72 0.90 0.58 0.43 0.04 0.23 0.45 0.69 0.36 0.92 0.86 0.43 0.41 0.63 0.90 0.38 0.70 0.30 0.78 0.59 0.28 0.83 0.42 0.06 0.68 0.66 ]
[0.08 0.65 0.77 0.32 1.00 0.56 0.94 0.61 0.97 0.86 0.77 0.02 0.44 0.64 0.77 0.18 0.19 0.59 0.85 0.57 0.89 0.69 0.30 0.03 0.22 0.53 0.16 0.91 0.13 0.64 0.24 0.03 0.84 0.47 0.96 0.03 0.72 0.41 ]
[0.79 0.34 0.91 0.46 0.56 1.00 0.61 0.89 0.56 0.06 0.33 0.95 0.91 0.85 0.45 0.33 0.17 0.46 0.12 0.90 0.23 0.98 0.26 0.85 0.04 0.99 0.31 0.29 0.86 0.83 0.98 0.97 0.74 0.85 0.40 0.04 0.03 0.90 ]
[0.30 0.19 0.34 0.33 0.94 0.61 1.00 0.29 0.28 0.34 0.73 0.01 0.75 0.15 0.18 0.91 0.23 0.22 0.63 0.58 0.51 0.93 0.26 0.62 0.08 0.75 0.46 0.96 0.60 0.90 0.24 0.67 0.64 0.37 0.04 0.35 0.43 0.52 ]
[0.55 0.71 0.40 0.90 0.61 0.89 0.29 1.00 0.60 0.43 0.71 0.45 0.80 0.80 0.11 0.78 0.85 0.54 0.69 0.17 0.17 0.85 0.78 0.44 0.90 0.22 0.12 0.50 0.03 0.67 0.49 0.30 0.18 0.18 0.89 0.89 0.89 0.20 ]
[0.36 0.50 0.13 0.64 0.97 0.56 0.28 0.60 1.00 0.75 0.94 0.68 0.56 0.74 0.22 0.01 0.74 0.84 0.07 0.91 0.80 0.49 0.43 0.06 0.80 0.72 0.47 0.34 0.35 0.67 0.76 0.78 0.47 0.53 0.08 0.35 0.96 0.02 ]
[0.41 0.46 0.83 0.81 0.86 0.06 0.34 0.43 0.75 1.00 0.80 0.73 0.23 0.91 0.35 0.96 0.76 0.98 0.35 0.37 0.47 0.08 0.95 0.32 0.09 0.66 0.85 0.47 0.18 0.18 0.56 0.67 0.59 0.47 0.82 0.20 0.10 0.05 ]
[0.07 0.64 0.22 0.38 0.77 0.33 0.73 0.71 0.94 0.80 1.00 0.35 0.00 0.48 0.79 0.13 0.08 0.71 0.35 0.18 0.23 0.53 0.77 0.05 0.62 0.89 0.92 0.56 0.11 1.00 0.54 0.38 0.16 0.68 0.96 0.93 0.99 0.22 ]
[0.20 0.20 0.02 0.07 0.02 0.95 0.01 0.45 0.68 0.73 0.35 1.00 0.54 0.54 0.38 0.22 0.43 0.39 0.73 0.17 0.24 0.81 0.23 0.21 0.75 0.18 0.80 0.57 0.43 0.46 0.91 0.20 0.40 0.81 0.81 0.14 0.65 0.22 ]
[0.92 0.18 0.32 0.72 0.44 0.91 0.75 0.80 0.56 0.23 0.00 0.54 1.00 0.66 0.81 0.09 0.64 0.34 0.08 0.71 0.79 0.13 0.99 0.58 0.43 0.17 0.93 0.72 0.81 0.81 0.15 0.29 0.38 0.90 0.74 0.27 0.94 0.78 ]
[0.46 0.57 0.69 0.90 0.64 0.85 0.15 0.80 0.74 0.91 0.48 0.54 0.66 1.00 0.70 0.40 0.56 0.17 0.67 0.96 0.97 0.71 0.50 0.60 0.42 0.41 0.21 0.05 0.88 0.20 0.32 0.73 0.33 0.43 0.31 0.39 0.47 0.92 ]
[0.16 0.82 0.85 0.58 0.77 0.45 0.18 0.11 0.22 0.35 0.79 0.38 0.81 0.70 1.00 0.35 0.86 0.41 0.86 0.96 0.40 0.68 0.21 0.93 0.23 0.90 0.14 0.23 0.00 0.70 0.63 0.16 0.56 0.17 0.64 0.58 0.32 0.28 ]
[0.07 0.55 0.99 0.43 0.18 0.33 0.91 0.78 0.01 0.96 0.13 0.22 0.09 0.40 0.35 1.00 0.16 0.58 0.83 0.13 0.71 0.28 0.92 0.22 0.87 0.33 0.70 0.59 0.61 0.09 0.28 0.40 0.77 0.66 0.26 0.87 0.16 0.22 ]
[0.49 0.13 0.95 0.04 0.19 0.17 0.23 0.85 0.74 0.76 0.08 0.43 0.64 0.56 0.86 0.16 1.00 0.99 0.16 0.24 0.60 0.53 0.59 0.16 0.58 0.84 0.35 0.06 0.74 0.56 0.70 0.47 0.21 0.66 0.70 0.00 0.55 0.42 ]
[0.16 0.58 0.99 0.23 0.59 0.46 0.22 0.54 0.84 0.98 0.71 0.39 0.34 0.17 0.41 0.58 0.99 1.00 0.50 0.15 0.57 0.58 0.53 0.63 0.13 0.63 0.54 0.82 0.71 0.07 0.78 0.44 0.24 0.52 0.98 0.22 0.09 0.86 ]
[0.50 0.57 0.92 0.45 0.85 0.12 0.63 0.69 0.07 0.35 0.35 0.73 0.08 0.67 0.86 0.83 0.16 0.50 1.00 0.77 0.37 0.95 0.20 0.04 0.97 0.96 0.83 0.10 0.99 0.66 0.12 0.56 0.44 0.72 0.61 0.93 0.46 0.44 ]
[0.61 0.05 0.31 0.69 0.57 0.90 0.58 0.17 0.91 0.37 0.18 0.17 0.71 0.96 0.96 0.13 0.24 0.15 0.77 1.00 0.20 0.59 0.74 0.50 0.52 0.70 0.60 0.79 0.90 0.70 0.46 0.35 0.43 0.64 0.63 0.67 0.78 0.44 ]
[0.75 0.52 0.39 0.36 0.89 0.23 0.51 0.17 0.80 0.47 0.23 0.24 0.79 0.97 0.40 0.71 0.60 0.57 0.37 0.20 1.00 0.82 0.69 0.29 0.57 0.09 0.66 0.63 0.16 0.95 0.61 0.98 0.08 0.24 0.06 0.35 0.87 0.41 ]
[0.47 0.92 0.51 0.92 0.69 0.98 0.93 0.85 0.49 0.08 0.53 0.81 0.13 0.71 0.68 0.28 0.53 0.58 0.95 0.59 0.82 1.00 0.64 0.24 0.93 0.01 1.00 0.10 0.28 0.45 0.82 0.15 0.06 0.43 0.95 0.91 0.08 0.52 ]
[0.79 0.87 0.63 0.86 0.30 0.26 0.26 0.78 0.43 0.95 0.77 0.23 0.99 0.50 0.21 0.92 0.59 0.53 0.20 0.74 0.69 0.64 1.00 0.55 0.03 0.13 0.51 0.29 0.35 0.55 0.25 0.54 0.04 0.05 1.00 0.72 0.10 0.98 ]
[0.12 0.38 0.11 0.43 0.03 0.85 0.62 0.44 0.06 0.32 0.05 0.21 0.58 0.60 0.93 0.22 0.16 0.63 0.04 0.50 0.29 0.24 0.55 1.00 0.15 0.21 0.08 0.45 0.94 0.93 0.27 0.31 0.61 0.99 0.86 0.25 0.71 0.48 ]
[0.17 0.99 0.61 0.41 0.22 0.04 0.08 0.90 0.80 0.09 0.62 0.75 0.43 0.42 0.23 0.87 0.58 0.13 0.97 0.52 0.57 0.93 0.03 0.15 1.00 0.98 0.08 0.35 0.09 0.67 0.76 0.39 0.36 0.77 0.13 0.54 0.54 0.60 ]
[0.51 0.67 0.21 0.63 0.53 0.99 0.75 0.22 0.72 0.66 0.89 0.18 0.17 0.41 0.90 0.33 0.84 0.63 0.96 0.70 0.09 0.01 0.13 0.21 0.98 1.00 0.17 0.69 0.03 0.67 0.23 0.82 0.21 0.23 0.14 0.70 0.00 0.43 ]
[0.39 0.77 0.24 0.90 0.16 0.31 0.46 0.12 0.47 0.85 0.92 0.80 0.93 0.21 0.14 0.70 0.35 0.54 0.83 0.60 0.66 1.00 0.51 0.08 0.08 0.17 1.00 0.31 0.13 0.15 0.73 0.25 0.58 0.02 0.21 0.83 0.81 0.40 ]
[0.02 0.79 0.08 0.38 0.91 0.29 0.96 0.50 0.34 0.47 0.56 0.57 0.72 0.05 0.23 0.59 0.06 0.82 0.10 0.79 0.63 0.10 0.29 0.45 0.35 0.69 0.31 1.00 0.98 0.72 0.76 0.89 0.68 0.75 0.33 0.45 0.74 0.15 ]
[0.73 0.49 0.20 0.70 0.13 0.86 0.60 0.03 0.35 0.18 0.11 0.43 0.81 0.88 0.00 0.61 0.74 0.71 0.99 0.90 0.16 0.28 0.35 0.94 0.09 0.03 0.13 0.98 1.00 0.51 0.10 0.61 0.45 0.16 0.63 0.28 0.53 0.11 ]
[0.20 0.02 0.70 0.30 0.64 0.83 0.90 0.67 0.67 0.18 1.00 0.46 0.81 0.20 0.70 0.09 0.56 0.07 0.66 0.70 0.95 0.45 0.55 0.93 0.67 0.67 0.15 0.72 0.51 1.00 0.84 0.60 0.50 0.92 0.41 0.97 0.39 0.40 ]
[0.27 0.39 0.25 0.78 0.24 0.98 0.24 0.49 0.76 0.56 0.54 0.91 0.15 0.32 0.63 0.28 0.70 0.78 0.12 0.46 0.61 0.82 0.25 0.27 0.76 0.23 0.73 0.76 0.10 0.84 1.00 0.60 0.97 0.99 0.97 0.38 0.32 0.75 ]
[0.50 0.99 0.49 0.59 0.03 0.97 0.67 0.30 0.78 0.67 0.38 0.20 0.29 0.73 0.16 0.40 0.47 0.44 0.56 0.35 0.98 0.15 0.54 0.31 0.39 0.82 0.25 0.89 0.61 0.60 0.60 1.00 0.82 0.10 0.46 0.32 0.42 0.97 ]
[0.99 0.55 0.15 0.28 0.84 0.74 0.64 0.18 0.47 0.59 0.16 0.40 0.38 0.33 0.56 0.77 0.21 0.24 0.44 0.43 0.08 0.06 0.04 0.61 0.36 0.21 0.58 0.68 0.45 0.50 0.97 0.82 1.00 0.88 1.00 0.96 0.15 0.85 ]
[0.10 0.97 0.73 0.83 0.47 0.85 0.37 0.18 0.53 0.47 0.68 0.81 0.90 0.43 0.17 0.66 0.66 0.52 0.72 0.64 0.24 0.43 0.05 0.99 0.77 0.23 0.02 0.75 0.16 0.92 0.99 0.10 0.88 1.00 0.78 0.62 0.35 0.54 ]
[0.42 0.23 0.48 0.42 0.96 0.40 0.04 0.89 0.08 0.82 0.96 0.81 0.74 0.31 0.64 0.26 0.70 0.98 0.61 0.63 0.06 0.95 1.00 0.86 0.13 0.14 0.21 0.33 0.63 0.41 0.97 0.46 1.00 0.78 1.00 0.18 0.44 0.72 ]
[0.10 0.21 0.26 0.06 0.03 0.04 0.35 0.89 0.35 0.20 0.93 0.14 0.27 0.39 0.58 0.87 0.00 0.22 0.93 0.67 0.35 0.91 0.72 0.25 0.54 0.70 0.83 0.45 0.28 0.97 0.38 0.32 0.96 0.62 0.18 1.00 0.77 0.02 ]
[0.34 0.70 0.88 0.68 0.72 0.03 0.43 0.89 0.96 0.10 0.99 0.65 0.94 0.47 0.32 0.16 0.55 0.09 0.46 0.78 0.87 0.08 0.10 0.71 0.54 0.00 0.81 0.74 0.53 0.39 0.32 0.42 0.15 0.35 0.44 0.77 1.00 0.31 ]
[0.05 0.90 0.19 0.66 0.41 0.90 0.52 0.20 0.02 0.05 0.22 0.22 0.78 0.92 0.28 0.22 0.42 0.86 0.44 0.44 0.41 0.52 0.98 0.48 0.60 0.43 0.40 0.15 0.11 0.40 0.75 0.97 0.85 0.54 0.72 0.02 0.31 1.00 ]
];
