D = 4;
n = [ 2 2 2 2 ];
N = 16;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 ];
m = [
[1.00 0.23 0.62 0.70 0.24 0.02 0.39 0.44 0.59 0.65 0.05 0.03 0.41 0.54 0.45 0.10 ]
[0.23 1.00 0.40 0.40 0.08 0.50 0.69 0.65 0.93 0.84 0.01 0.38 0.41 0.49 0.69 0.67 ]
[0.62 0.40 1.00 0.96 0.21 0.02 0.99 0.13 0.26 0.97 0.65 0.10 0.65 0.58 0.03 0.14 ]
[0.70 0.40 0.96 1.00 0.17 0.71 0.73 0.87 0.32 0.87 0.27 0.86 0.18 0.94 0.05 0.99 ]
[0.24 0.08 0.21 0.17 1.00 0.44 0.89 0.33 0.57 0.59 0.24 0.91 0.54 0.93 0.83 0.34 ]
[0.02 0.50 0.02 0.71 0.44 1.00 0.03 0.52 0.01 0.57 0.25 0.91 0.08 0.31 0.93 0.83 ]
[0.39 0.69 0.99 0.73 0.89 0.03 1.00 0.60 0.49 0.66 0.06 0.43 0.91 0.69 0.73 0.66 ]
[0.44 0.65 0.13 0.87 0.33 0.52 0.60 1.00 0.05 0.10 0.00 0.74 0.97 0.29 0.31 0.89 ]
[0.59 0.93 0.26 0.32 0.57 0.01 0.49 0.05 1.00 0.30 0.99 0.82 0.65 0.16 0.25 0.88 ]
[0.65 0.84 0.97 0.87 0.59 0.57 0.66 0.10 0.30 1.00 0.39 0.98 0.77 0.80 0.07 0.44 ]
[0.05 0.01 0.65 0.27 0.24 0.25 0.06 0.00 0.99 0.39 1.00 0.85 0.20 0.03 0.18 0.63 ]
[0.03 0.38 0.10 0.86 0.91 0.91 0.43 0.74 0.82 0.98 0.85 1.00 0.93 0.38 0.49 0.77 ]
[0.41 0.41 0.65 0.18 0.54 0.08 0.91 0.97 0.65 0.77 0.20 0.93 1.00 0.16 0.28 0.70 ]
[0.54 0.49 0.58 0.94 0.93 0.31 0.69 0.29 0.16 0.80 0.03 0.38 0.16 1.00 0.08 0.63 ]
[0.45 0.69 0.03 0.05 0.83 0.93 0.73 0.31 0.25 0.07 0.18 0.49 0.28 0.08 1.00 0.96 ]
[0.10 0.67 0.14 0.99 0.34 0.83 0.66 0.89 0.88 0.44 0.63 0.77 0.70 0.63 0.96 1.00 ]
];
