D = 2;
n = [ 2 2 ];
N = 22;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.94 0.69 0.35 0.27 0.06 0.75 0.90 0.88 0.70 0.83 0.89 0.22 0.66 0.39 0.84 0.36 0.69 0.81 0.71 0.04 0.84 ]
[0.94 1.00 0.35 0.21 1.00 0.94 0.40 0.77 0.62 0.70 0.68 0.98 0.21 0.10 0.67 0.60 0.86 0.09 0.64 0.74 0.18 0.92 ]
[0.69 0.35 1.00 0.66 0.67 0.29 0.56 0.33 0.68 0.13 0.87 0.56 0.25 1.00 0.57 0.73 0.75 0.11 0.10 0.79 0.84 0.69 ]
[0.35 0.21 0.66 1.00 0.89 0.73 0.35 0.88 0.97 0.83 0.07 0.54 0.64 0.47 0.39 0.68 0.85 0.64 0.71 0.88 0.50 0.13 ]
[0.27 1.00 0.67 0.89 1.00 0.83 0.62 0.48 0.13 0.82 0.12 0.63 0.37 0.09 0.53 0.96 0.20 0.30 0.50 0.24 0.04 0.10 ]
[0.06 0.94 0.29 0.73 0.83 1.00 0.49 0.77 0.65 0.99 0.06 0.86 0.11 0.28 0.91 0.16 0.17 1.00 0.93 0.26 0.23 0.20 ]
[0.75 0.40 0.56 0.35 0.62 0.49 1.00 0.27 0.18 0.61 0.18 0.56 0.83 0.12 0.05 0.11 0.24 0.23 0.30 0.95 0.62 0.09 ]
[0.90 0.77 0.33 0.88 0.48 0.77 0.27 1.00 0.76 0.85 0.82 0.98 0.81 0.74 0.51 0.65 0.70 0.68 0.37 0.23 0.80 0.59 ]
[0.88 0.62 0.68 0.97 0.13 0.65 0.18 0.76 1.00 0.76 0.91 0.30 0.82 0.88 0.49 0.50 0.53 0.22 0.53 0.71 0.33 0.35 ]
[0.70 0.70 0.13 0.83 0.82 0.99 0.61 0.85 0.76 1.00 0.70 0.73 0.31 0.17 0.27 0.66 0.06 0.53 0.16 0.11 0.05 0.61 ]
[0.83 0.68 0.87 0.07 0.12 0.06 0.18 0.82 0.91 0.70 1.00 0.00 0.07 0.54 0.80 0.33 0.12 0.06 0.49 0.15 0.99 0.73 ]
[0.89 0.98 0.56 0.54 0.63 0.86 0.56 0.98 0.30 0.73 0.00 1.00 0.87 0.39 0.53 0.42 0.76 0.81 0.84 0.09 0.40 0.91 ]
[0.22 0.21 0.25 0.64 0.37 0.11 0.83 0.81 0.82 0.31 0.07 0.87 1.00 0.87 0.62 0.93 0.83 0.86 0.20 0.07 0.38 0.15 ]
[0.66 0.10 1.00 0.47 0.09 0.28 0.12 0.74 0.88 0.17 0.54 0.39 0.87 1.00 0.40 0.32 0.70 0.40 0.91 0.62 0.57 0.95 ]
[0.39 0.67 0.57 0.39 0.53 0.91 0.05 0.51 0.49 0.27 0.80 0.53 0.62 0.40 1.00 0.94 0.15 0.48 0.05 0.33 0.60 0.92 ]
[0.84 0.60 0.73 0.68 0.96 0.16 0.11 0.65 0.50 0.66 0.33 0.42 0.93 0.32 0.94 1.00 0.61 0.67 0.03 0.28 0.50 0.15 ]
[0.36 0.86 0.75 0.85 0.20 0.17 0.24 0.70 0.53 0.06 0.12 0.76 0.83 0.70 0.15 0.61 1.00 0.19 0.02 0.66 0.99 0.16 ]
[0.69 0.09 0.11 0.64 0.30 1.00 0.23 0.68 0.22 0.53 0.06 0.81 0.86 0.40 0.48 0.67 0.19 1.00 0.79 0.44 0.21 0.36 ]
[0.81 0.64 0.10 0.71 0.50 0.93 0.30 0.37 0.53 0.16 0.49 0.84 0.20 0.91 0.05 0.03 0.02 0.79 1.00 0.77 0.61 0.50 ]
[0.71 0.74 0.79 0.88 0.24 0.26 0.95 0.23 0.71 0.11 0.15 0.09 0.07 0.62 0.33 0.28 0.66 0.44 0.77 1.00 0.41 0.15 ]
[0.04 0.18 0.84 0.50 0.04 0.23 0.62 0.80 0.33 0.05 0.99 0.40 0.38 0.57 0.60 0.50 0.99 0.21 0.61 0.41 1.00 0.30 ]
[0.84 0.92 0.69 0.13 0.10 0.20 0.09 0.59 0.35 0.61 0.73 0.91 0.15 0.95 0.92 0.15 0.16 0.36 0.50 0.15 0.30 1.00 ]
];
