D = 4;
n = [ 4 4 4 4 ];
N = 43;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.42 0.34 0.16 0.50 0.30 0.20 0.88 0.38 0.19 0.88 0.68 0.08 0.03 0.96 0.24 0.66 0.36 0.95 0.74 0.13 0.27 0.78 0.69 0.20 0.45 0.11 0.81 0.17 0.42 0.45 0.36 0.78 0.95 0.48 0.15 0.90 0.21 0.87 0.07 0.54 0.92 0.51 ]
[0.42 1.00 0.40 0.73 0.16 0.95 0.94 0.85 0.96 0.68 0.86 0.02 0.54 0.21 0.37 0.80 0.18 0.51 0.13 0.81 0.29 0.09 0.42 0.77 0.65 0.10 0.29 0.81 0.88 0.41 0.80 0.09 0.05 0.01 0.02 0.26 0.20 0.30 0.50 0.79 0.99 0.64 0.57 ]
[0.34 0.40 1.00 0.95 0.94 0.88 0.49 0.92 0.90 0.78 0.14 0.96 0.63 0.09 0.06 0.53 0.97 0.29 0.41 0.43 0.80 0.21 0.91 0.17 0.14 0.16 0.43 0.61 0.41 0.24 0.19 0.48 0.35 0.38 0.45 0.77 0.16 0.79 0.39 0.19 0.65 0.30 0.10 ]
[0.16 0.73 0.95 1.00 0.60 0.58 0.43 0.26 0.82 0.68 0.53 0.90 0.17 0.31 0.08 0.24 0.98 0.57 0.62 0.04 0.21 0.81 0.55 0.67 0.83 0.62 0.08 0.37 0.76 0.45 0.90 0.95 0.48 0.53 0.41 0.56 0.17 0.15 0.74 0.94 0.61 0.99 0.88 ]
[0.50 0.16 0.94 0.60 1.00 0.55 0.86 0.57 0.31 0.56 0.72 0.92 0.58 0.95 0.42 0.75 0.26 0.83 0.49 0.81 0.72 0.59 0.09 0.50 0.89 0.49 0.85 0.74 0.32 0.38 0.19 0.51 0.31 0.70 0.35 0.85 0.78 0.16 0.29 0.86 0.09 0.41 0.48 ]
[0.30 0.95 0.88 0.58 0.55 1.00 0.64 0.74 0.50 0.25 0.57 0.04 0.69 0.50 0.89 0.88 0.73 0.11 0.71 0.14 0.77 0.02 0.81 0.57 0.50 0.13 0.56 0.93 0.90 0.91 0.99 0.80 0.53 0.96 0.82 0.74 0.18 0.34 0.39 0.68 0.24 0.25 0.71 ]
[0.20 0.94 0.49 0.43 0.86 0.64 1.00 0.13 0.97 0.68 0.16 0.76 0.46 0.73 0.90 0.27 0.31 0.56 0.77 0.86 0.82 0.31 0.94 0.52 0.25 0.72 0.83 0.47 0.16 0.76 0.33 0.30 0.23 0.24 0.94 0.45 0.42 0.09 0.14 0.77 0.21 0.28 0.82 ]
[0.88 0.85 0.92 0.26 0.57 0.74 0.13 1.00 0.48 0.76 0.82 0.33 0.08 0.69 0.82 0.99 0.10 0.27 0.08 0.63 0.45 0.19 0.18 0.16 0.29 0.19 0.41 0.43 0.36 0.07 0.31 0.31 0.04 0.44 0.55 0.60 0.03 0.40 0.89 0.70 0.48 0.69 0.82 ]
[0.38 0.96 0.90 0.82 0.31 0.50 0.97 0.48 1.00 0.96 0.29 0.56 0.05 0.77 0.10 0.17 0.35 0.59 0.69 0.50 0.34 0.53 0.62 0.92 0.35 0.73 0.78 0.86 0.93 0.33 0.37 0.08 0.67 0.64 0.43 0.89 0.04 0.68 0.02 0.18 0.73 0.87 0.41 ]
[0.19 0.68 0.78 0.68 0.56 0.25 0.68 0.76 0.96 1.00 0.88 0.43 0.46 0.84 0.19 0.19 0.28 0.43 0.69 0.71 0.77 0.42 0.87 0.06 0.98 0.41 0.69 0.89 0.98 0.66 0.02 0.14 0.33 0.04 0.70 0.68 0.46 0.32 0.28 0.58 0.72 0.90 0.36 ]
[0.88 0.86 0.14 0.53 0.72 0.57 0.16 0.82 0.29 0.88 1.00 0.33 0.37 0.61 0.43 0.23 0.02 0.26 0.18 0.89 0.22 0.71 0.91 0.32 0.35 0.90 0.58 0.52 0.96 0.89 0.49 0.27 0.54 0.45 0.59 0.88 0.07 0.16 0.22 0.82 0.86 0.97 0.47 ]
[0.68 0.02 0.96 0.90 0.92 0.04 0.76 0.33 0.56 0.43 0.33 1.00 0.49 0.60 0.47 0.81 0.32 0.27 0.01 0.93 0.35 0.78 0.60 0.39 0.24 0.46 0.84 0.14 0.51 0.63 0.90 0.95 0.41 0.62 0.03 0.32 0.20 0.59 0.01 0.35 0.37 0.93 0.65 ]
[0.08 0.54 0.63 0.17 0.58 0.69 0.46 0.08 0.05 0.46 0.37 0.49 1.00 0.51 0.74 0.43 0.02 0.31 0.63 0.66 0.81 0.68 0.55 0.76 0.20 0.46 0.46 0.92 0.02 0.18 0.23 0.21 0.05 0.18 0.92 0.79 0.29 0.03 0.83 0.04 0.10 0.79 0.93 ]
