D = 6;
n = [ 2 2 2 2 2 2 ];
N = 87;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.53 0.27 0.97 0.66 0.68 0.58 0.34 0.61 0.09 0.20 0.81 0.18 0.55 0.58 0.44 0.64 0.16 0.49 0.38 0.03 0.79 0.61 0.55 0.15 0.09 0.17 0.47 0.37 0.67 0.24 0.50 0.67 0.87 0.60 0.56 0.52 0.29 0.52 0.66 0.84 0.67 0.84 0.74 0.53 0.10 0.47 0.71 0.60 0.89 0.61 0.65 0.31 0.82 0.38 0.31 0.49 0.32 0.66 0.97 0.08 0.93 0.08 0.79 0.78 0.21 0.12 0.89 0.78 0.65 0.66 0.98 0.52 0.03 0.17 0.85 0.18 0.51 0.91 0.63 0.18 0.09 0.63 0.31 0.81 1.00 0.24 ]
[0.53 1.00 0.87 0.42 0.08 0.48 0.13 0.96 0.63 0.22 0.86 1.00 0.16 0.96 0.14 0.65 0.52 0.80 0.06 0.88 0.50 0.83 0.03 0.52 0.85 0.02 0.11 0.14 0.16 0.91 0.80 0.01 0.02 0.17 0.76 0.88 0.88 0.19 0.38 0.02 0.14 0.51 0.59 0.31 0.19 0.73 0.19 0.04 0.84 0.14 0.59 0.07 0.19 0.12 0.32 0.23 0.46 0.30 0.63 0.71 0.23 0.88 0.27 0.55 0.54 0.65 0.97 0.55 0.54 0.46 0.28 0.38 0.65 0.27 0.55 0.60 0.40 0.30 0.62 0.14 0.21 0.64 0.21 0.05 0.76 0.48 0.99 ]
[0.27 0.87 1.00 0.35 0.94 0.10 0.08 0.93 0.85 0.28 0.59 0.55 0.79 0.92 0.38 0.66 0.88 0.17 0.73 0.06 0.78 0.17 0.58 0.26 0.44 0.57 0.93 0.96 0.26 0.96 0.56 0.99 0.38 0.26 0.88 0.86 0.81 0.41 0.10 0.26 0.82 0.14 0.61 0.74 0.88 0.80 0.20 0.72 0.98 0.17 0.73 0.09 0.38 0.75 0.54 0.67 0.56 0.27 0.52 0.27 0.86 0.00 0.44 0.59 0.10 0.51 0.90 0.14 0.07 0.10 0.67 0.55 0.35 0.71 0.19 0.97 0.20 0.66 0.44 0.05 0.18 0.13 0.92 0.67 0.44 0.89 0.65 ]
[0.97 0.42 0.35 1.00 0.63 0.98 0.34 0.97 0.43 0.01 0.55 0.16 0.23 0.19 0.08 0.53 0.59 0.28 0.43 0.91 0.18 0.31 0.48 0.34 0.01 0.89 0.78 0.40 0.12 0.08 0.72 0.33 0.89 0.07 0.51 0.95 0.86 0.79 0.81 0.61 0.88 0.18 0.91 0.76 0.67 0.66 0.93 0.35 0.77 0.97 0.03 0.38 0.16 0.13 0.72 0.08 0.15 0.12 0.31 0.52 0.38 0.49 0.36 0.67 0.93 0.48 0.32 0.56 0.06 0.61 0.19 0.98 0.20 0.98 0.49 0.43 0.51 0.79 0.66 0.30 0.18 0.73 0.58 0.34 0.96 0.22 0.58 ]
[0.66 0.08 0.94 0.63 1.00 0.92 0.58 0.03 0.95 0.51 0.02 0.66 0.44 0.08 0.65 0.25 0.22 0.73 0.21 0.75 0.35 0.55 0.19 0.77 0.92 0.90 0.20 0.62 0.26 0.29 0.28 0.12 0.75 0.80 0.91 0.91 0.84 0.76 0.10 0.41 0.57 0.35 0.05 0.19 0.22 0.62 0.36 0.72 0.89 0.78 0.54 0.63 0.29 0.05 0.74 0.51 0.06 0.47 0.86 0.10 0.04 0.25 0.92 0.50 0.96 0.19 0.92 0.61 0.32 0.39 0.44 0.74 0.09 0.28 0.37 0.88 0.39 0.22 0.12 0.72 1.00 0.64 0.99 0.44 0.61 0.06 0.74 ]
[0.68 0.48 0.10 0.98 0.92 1.00 0.31 0.56 0.71 0.46 0.49 0.54 0.86 0.97 0.31 0.10 0.34 0.08 0.53 0.80 0.77 0.09 0.44 0.37 0.29 0.13 0.86 0.57 0.00 0.07 0.58 0.20 0.92 0.52 0.84 0.21 0.92 0.36 0.12 1.00 0.02 0.36 0.14 0.57 0.85 0.68 0.65 0.54 0.23 0.07 0.38 0.16 0.90 0.56 0.41 0.79 0.03 0.14 0.83 0.69 0.80 0.28 0.56 0.97 0.09 0.53 0.19 0.82 0.45 0.64 0.85 0.72 0.19 0.47 0.88 0.97 0.97 0.06 0.65 0.49 0.32 0.08 0.85 0.80 0.70 0.55 0.49 ]
[0.58 0.13 0.08 0.34 0.58 0.31 1.00 0.25 0.54 0.84 0.11 0.90 0.18 0.74 0.04 0.50 0.99 0.26 0.98 0.37 0.40 0.55 0.71 0.83 0.76 0.47 0.54 0.22 0.70 0.72 0.12 0.62 0.59 0.11 0.38 0.30 0.35 0.50 0.07 0.67 0.02 0.86 0.13 0.44 0.20 0.92 0.42 0.08 0.76 0.10 0.95 0.15 0.68 0.15 0.47 0.55 0.72 0.67 0.20 0.89 0.53 0.49 0.32 0.66 0.96 0.20 0.19 0.39 0.04 0.84 0.24 0.32 0.15 0.72 0.67 0.36 0.82 0.66 0.99 0.61 0.80 0.13 0.03 0.24 0.49 0.23 0.10 ]
[0.34 0.96 0.93 0.97 0.03 0.56 0.25 1.00 0.08 0.56 0.69 0.81 0.25 0.97 0.20 0.74 0.42 0.04 0.43 0.49 0.77 0.81 0.04 0.69 0.64 0.76 0.24 0.66 0.99 0.18 0.33 0.44 0.13 0.51 0.06 0.92 0.13 0.76 0.97 0.72 0.13 0.44 0.39 0.42 0.08 0.28 0.82 0.42 0.35 0.26 0.18 0.17 0.54 0.01 0.65 0.80 0.97 0.07 0.23 0.73 0.17 0.40 0.31 0.70 0.30 0.05 0.56 0.61 0.59 0.60 0.90 0.54 0.89 0.02 0.79 0.46 0.83 0.86 0.60 0.62 0.17 0.06 0.56 0.50 0.06 0.12 0.78 ]
[0.61 0.63 0.85 0.43 0.95 0.71 0.54 0.08 1.00 0.51 0.81 0.09 0.03 0.06 0.61 0.55 0.49 0.70 0.98 0.54 0.81 0.04 0.99 0.58 0.09 0.89 0.65 0.77 0.63 0.82 0.12 0.41 0.73 0.93 0.01 0.78 0.58 0.48 0.59 0.34 0.15 0.81 0.11 0.00 0.27 0.45 0.16 0.52 0.63 0.08 0.85 0.03 0.26 0.65 0.89 0.13 0.11 0.41 0.94 0.24 0.28 0.97 0.03 0.00 0.17 0.65 0.36 0.79 0.20 0.80 0.78 0.95 0.32 0.62 0.73 0.02 0.71 0.63 0.21 0.41 0.58 0.23 0.97 0.87 0.12 0.24 1.00 ]
[0.09 0.22 0.28 0.01 0.51 0.46 0.84 0.56 0.51 1.00 0.02 0.83 0.36 0.19 0.29 0.10 0.09 0.28 0.09 0.66 0.12 0.09 0.72 0.43 0.70 0.72 0.95 0.21 0.19 0.39 0.77 0.52 0.55 0.92 0.07 0.82 0.84 0.13 0.27 0.07 0.34 0.15 0.66 0.28 0.27 0.71 0.55 0.18 0.52 0.40 0.99 0.38 0.65 0.39 0.87 0.11 0.49 0.08 0.15 0.69 0.88 0.69 0.96 0.89 0.25 0.75 0.03 0.74 0.59 0.80 0.83 0.41 0.83 0.23 0.48 0.91 0.62 0.75 0.01 0.73 0.23 0.27 0.26 0.81 0.41 0.31 0.37 ]
