D = 2;
n = [ 3 3 ];
N = 71;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.78 0.37 0.99 0.00 0.41 0.98 0.01 0.41 0.02 0.10 0.13 0.56 0.33 0.15 0.41 0.77 0.75 0.72 0.51 0.27 0.99 0.62 0.85 0.73 0.92 0.80 0.09 0.87 0.21 0.98 0.41 0.73 0.63 0.43 0.16 0.01 0.64 0.39 0.12 0.20 0.38 0.36 0.65 0.43 0.59 0.23 0.63 0.08 0.08 0.81 0.42 0.35 0.88 0.23 0.15 0.12 0.48 0.49 0.16 0.46 0.04 0.69 0.07 0.66 0.77 0.94 0.70 0.99 0.48 0.61 ]
[0.78 1.00 0.05 0.74 0.93 0.52 0.11 0.36 0.18 0.72 0.69 0.31 0.71 0.50 0.30 0.44 0.77 0.33 0.27 0.43 0.99 0.30 0.19 0.40 0.96 0.28 0.96 0.67 0.77 0.82 0.61 0.57 0.28 0.89 0.88 0.79 0.70 0.30 0.67 0.27 0.98 0.93 0.04 0.77 0.51 0.38 0.97 0.95 0.25 0.09 0.70 0.03 0.68 0.33 0.55 0.61 0.15 0.76 0.68 0.37 0.09 0.79 0.27 0.09 0.17 0.97 0.70 0.11 0.17 0.09 0.24 ]
[0.37 0.05 1.00 0.02 0.83 0.25 0.14 0.84 0.13 0.77 0.71 0.75 0.02 0.19 0.82 0.86 0.39 0.35 0.79 0.57 0.43 0.82 0.92 0.13 0.63 0.43 0.48 0.83 0.16 0.80 0.66 0.12 0.34 0.30 0.72 0.44 0.06 0.52 0.54 0.45 0.40 0.61 0.06 0.90 0.42 0.12 0.13 0.38 0.56 0.84 0.52 0.74 0.50 0.35 0.36 0.01 0.93 0.17 0.66 0.07 0.23 0.04 0.66 0.78 0.61 0.47 0.03 0.37 0.49 0.21 0.04 ]
[0.99 0.74 0.02 1.00 0.74 0.07 0.01 0.67 0.37 0.13 0.63 0.94 0.87 0.86 0.44 0.31 0.27 0.63 0.42 0.25 0.25 0.51 0.42 0.06 0.89 0.66 0.84 0.57 0.15 0.57 0.31 0.42 0.60 0.00 0.46 0.50 0.15 0.57 0.79 0.85 0.69 0.30 0.60 0.96 0.96 0.40 0.01 0.52 0.07 0.28 0.39 0.33 0.72 0.05 0.98 0.59 0.89 0.73 0.92 0.84 0.84 0.82 0.42 0.12 0.70 0.21 0.22 0.97 0.99 0.71 0.66 ]
[0.00 0.93 0.83 0.74 1.00 0.11 0.95 0.43 0.97 0.24 0.34 0.87 0.67 0.61 0.18 0.19 0.91 0.10 0.46 0.52 0.07 0.77 0.54 0.59 0.71 0.62 0.36 0.98 0.71 0.03 0.41 0.31 0.04 0.72 0.34 0.68 0.85 0.21 0.35 0.64 0.30 0.94 0.49 0.46 0.82 0.17 0.63 0.18 0.90 0.05 0.11 0.72 0.88 0.11 0.41 0.83 0.61 0.33 0.61 0.10 0.32 0.31 0.84 0.60 0.20 0.25 0.21 0.62 0.45 0.89 0.49 ]
[0.41 0.52 0.25 0.07 0.11 1.00 0.18 0.27 0.09 0.67 0.03 0.18 0.34 0.02 0.92 0.79 0.18 0.09 0.80 0.77 0.16 0.78 0.49 0.07 0.12 0.11 0.19 0.42 0.04 0.67 0.42 0.26 0.75 0.03 0.17 0.57 0.80 0.89 0.94 0.86 0.97 0.46 0.08 0.94 0.28 0.02 0.01 0.28 0.11 0.96 0.62 0.35 0.53 0.59 0.09 0.77 0.59 0.90 0.85 0.95 0.45 0.96 0.30 0.18 0.16 0.09 0.32 0.46 0.15 0.57 0.88 ]
[0.98 0.11 0.14 0.01 0.95 0.18 1.00 0.23 0.26 0.44 0.56 0.85 0.08 0.92 0.73 0.75 0.39 0.27 0.69 0.39 0.40 0.83 0.25 0.36 0.27 0.86 0.47 0.99 0.63 0.25 0.36 0.82 0.11 0.60 0.79 0.47 0.24 0.95 0.85 0.78 0.42 0.05 0.17 0.13 0.94 0.26 0.28 0.33 0.36 0.40 0.45 0.36 0.54 0.63 0.63 0.20 0.10 0.13 0.48 0.25 0.52 0.92 0.93 0.26 0.50 0.58 0.76 0.43 0.76 0.33 0.85 ]
[0.01 0.36 0.84 0.67 0.43 0.27 0.23 1.00 0.56 0.47 0.84 0.99 0.26 0.14 0.38 0.15 0.20 0.05 0.42 0.80 0.72 0.42 0.31 0.69 0.42 0.80 0.35 0.96 0.98 0.51 0.78 0.71 0.34 0.88 0.70 0.52 0.99 0.92 0.86 0.50 0.26 0.30 0.50 1.00 0.77 0.76 0.25 0.65 0.03 0.14 0.71 0.73 0.57 0.84 0.05 0.96 0.20 0.25 0.72 0.24 0.96 0.10 0.49 0.62 0.56 0.70 0.98 0.98 0.35 0.90 0.77 ]
[0.41 0.18 0.13 0.37 0.97 0.09 0.26 0.56 1.00 0.49 0.48 0.22 0.91 0.53 0.71 0.03 0.21 0.64 0.37 0.91 0.87 0.05 0.80 0.57 0.28 0.50 0.17 0.50 0.59 0.42 0.07 0.59 0.89 0.07 0.24 0.79 0.76 0.90 0.35 0.31 0.02 0.08 0.87 0.39 0.62 0.10 0.61 0.59 0.49 0.79 0.90 0.90 0.95 0.30 0.70 0.90 0.93 0.70 0.15 0.92 0.89 0.87 0.70 0.12 0.73 0.28 0.79 0.03 0.76 0.23 0.92 ]
[0.02 0.72 0.77 0.13 0.24 0.67 0.44 0.47 0.49 1.00 0.10 0.38 0.19 0.93 0.11 0.95 0.96 0.44 0.11 0.32 0.56 0.27 0.88 0.44 0.61 0.52 0.03 0.99 0.07 0.44 0.49 0.50 0.96 0.58 0.68 0.08 0.45 0.01 0.11 0.98 0.28 0.28 0.22 0.89 0.04 0.42 0.87 0.31 0.88 0.76 0.44 0.90 0.14 0.95 0.99 0.49 0.75 0.38 0.28 0.58 0.90 0.28 0.82 0.09 0.80 0.85 0.29 0.13 0.13 0.57 0.57 ]
