D = 6;
n = [ 3 3 3 3 3 3 ];
N = 35;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.10 0.22 0.79 0.33 0.88 0.48 0.66 0.65 0.80 0.04 0.32 0.86 0.51 0.09 0.49 0.32 0.09 0.02 0.91 0.01 0.42 0.45 0.54 0.90 0.05 0.75 0.43 0.66 0.35 0.92 0.51 0.53 0.37 0.68 ]
[0.10 1.00 0.13 0.57 0.55 0.39 0.38 0.15 0.05 0.09 0.53 0.11 0.23 0.61 0.89 0.83 0.18 0.72 0.48 0.57 0.72 0.27 1.00 0.33 0.41 0.52 0.31 0.07 0.30 0.94 0.84 0.56 0.84 0.75 0.30 ]
[0.22 0.13 1.00 0.82 0.76 0.32 0.55 0.01 0.75 0.77 0.74 0.46 0.90 0.53 0.11 0.14 0.04 0.56 0.27 0.04 0.61 0.14 0.02 0.93 0.92 0.90 0.57 0.40 0.67 0.05 0.19 0.90 0.65 0.83 0.48 ]
[0.79 0.57 0.82 1.00 0.17 0.89 0.19 0.46 0.55 0.37 0.02 0.44 0.27 0.01 0.62 0.79 0.76 0.40 0.91 0.40 0.27 0.35 0.07 0.72 0.67 0.34 0.28 0.36 0.68 0.92 0.48 0.96 0.48 0.29 0.72 ]
[0.33 0.55 0.76 0.17 1.00 0.64 0.72 0.96 0.87 0.67 0.09 0.94 0.88 0.29 0.51 0.14 0.29 0.43 0.74 0.78 0.07 0.35 0.34 0.62 0.56 0.68 0.10 0.32 0.68 0.46 0.92 0.59 0.83 0.04 0.04 ]
[0.88 0.39 0.32 0.89 0.64 1.00 0.55 0.27 0.26 0.30 0.17 0.41 0.64 0.49 0.24 0.93 0.77 0.34 0.70 0.44 0.64 0.40 0.78 0.80 0.29 0.03 0.42 0.54 0.65 0.93 0.39 0.24 0.45 0.76 0.89 ]
[0.48 0.38 0.55 0.19 0.72 0.55 1.00 0.53 0.41 0.19 0.09 0.24 0.74 0.93 0.97 0.20 0.06 0.08 0.21 0.11 0.94 0.92 0.20 0.60 0.24 0.07 0.56 0.68 0.40 0.57 0.31 0.83 0.67 0.99 0.01 ]
[0.66 0.15 0.01 0.46 0.96 0.27 0.53 1.00 0.08 0.86 0.83 0.80 0.26 0.76 0.53 0.09 0.51 0.95 0.41 0.67 0.31 0.25 0.35 0.55 0.21 0.61 0.89 0.03 0.75 0.16 0.12 0.61 0.95 0.84 0.43 ]
[0.65 0.05 0.75 0.55 0.87 0.26 0.41 0.08 1.00 0.92 0.49 0.52 0.40 0.24 0.10 0.68 0.80 0.44 0.33 0.41 0.51 0.04 0.94 0.04 0.37 0.23 0.74 0.84 0.65 0.87 0.05 0.36 0.12 0.16 0.12 ]
[0.80 0.09 0.77 0.37 0.67 0.30 0.19 0.86 0.92 1.00 0.83 0.74 0.21 0.66 0.21 0.26 0.68 0.28 0.97 0.95 0.17 0.81 0.48 0.63 0.62 0.90 0.67 0.43 0.41 0.56 0.98 0.40 0.46 0.17 0.00 ]
