D = 2;
n = [ 1 1 ];
N = 69;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.68 0.96 0.15 0.94 0.97 0.20 0.75 0.15 0.44 0.99 0.80 0.69 0.89 0.18 0.12 0.56 0.32 0.87 0.78 0.48 0.94 0.44 0.56 0.01 0.53 0.42 0.92 0.99 0.99 0.46 0.97 0.97 0.75 0.55 0.16 0.43 0.37 0.06 0.25 0.36 0.99 0.61 0.92 0.47 0.89 0.96 0.84 0.91 0.72 0.35 0.27 0.26 0.01 0.22 0.92 0.42 0.50 0.11 0.10 0.09 0.43 0.65 0.29 0.81 0.97 0.38 0.90 0.86 ]
[0.68 1.00 0.18 0.67 0.75 0.51 0.60 0.07 0.81 0.86 0.80 0.28 0.61 0.57 0.10 0.09 0.62 0.57 0.18 0.49 0.78 0.86 0.05 0.48 0.76 0.27 0.06 0.87 0.45 0.20 0.25 0.05 0.45 0.29 0.96 0.10 0.56 0.92 0.47 0.94 0.16 0.83 0.31 0.78 0.72 0.08 0.25 0.56 0.59 0.24 0.49 0.78 0.77 0.34 0.44 0.06 0.43 0.57 0.65 0.72 0.51 0.63 0.36 0.25 0.23 0.04 0.04 0.48 0.78 ]
[0.96 0.18 1.00 0.39 0.41 0.38 0.37 0.05 0.65 0.73 0.66 0.30 0.22 0.94 0.68 0.47 0.61 0.49 0.70 0.85 0.06 0.92 0.70 0.89 0.18 0.19 0.15 0.94 0.61 0.37 0.06 0.91 0.29 0.99 0.47 0.69 0.44 0.05 0.99 0.21 0.47 0.91 0.46 0.51 0.32 0.10 0.38 0.51 0.27 0.01 0.52 0.21 0.83 0.08 0.08 0.68 0.23 0.14 0.45 0.80 0.19 0.81 0.12 0.78 0.29 0.13 0.96 0.90 0.72 ]
[0.15 0.67 0.39 1.00 0.78 0.29 0.46 0.26 0.72 0.20 0.27 0.71 0.01 0.76 0.05 0.10 0.91 0.07 0.29 0.19 0.61 0.72 0.07 0.48 0.16 0.25 0.50 0.87 0.58 0.05 0.51 0.68 0.76 0.69 0.20 0.83 0.21 0.28 0.41 0.04 0.98 0.39 0.78 0.10 0.24 0.51 0.04 0.18 0.98 0.73 0.76 0.73 0.01 0.36 0.16 0.47 0.32 1.00 0.86 0.50 0.69 0.85 0.82 0.13 0.25 0.28 0.10 0.88 0.59 ]
[0.94 0.75 0.41 0.78 1.00 0.04 0.80 0.29 0.71 0.46 0.12 0.64 0.48 0.41 0.12 0.10 0.16 0.90 0.18 0.48 0.79 0.21 0.02 0.17 0.22 0.01 0.18 0.66 0.72 0.78 0.22 0.43 0.14 0.66 0.21 0.58 0.72 0.67 0.08 0.48 0.01 0.58 0.68 0.60 0.98 0.23 0.86 0.16 0.13 0.88 0.35 0.70 0.70 0.17 0.29 0.80 0.37 0.93 0.92 0.67 0.02 0.23 0.76 0.37 0.74 0.28 0.32 0.84 0.99 ]
[0.97 0.51 0.38 0.29 0.04 1.00 0.65 0.22 0.61 0.75 0.66 0.65 0.88 0.67 0.30 0.03 0.85 0.80 0.12 0.78 0.82 0.46 0.15 0.31 0.16 0.74 0.27 0.13 0.46 0.52 0.77 0.01 0.30 0.09 0.32 0.79 0.22 0.45 0.94 0.52 0.64 0.02 0.94 0.58 0.85 0.11 0.97 0.80 0.47 0.48 0.81 0.95 0.07 0.40 0.51 0.20 0.04 0.72 0.78 0.74 0.64 0.75 0.20 0.96 0.54 0.77 0.21 0.70 0.07 ]
[0.20 0.60 0.37 0.46 0.80 0.65 1.00 0.15 0.85 0.85 0.34 0.02 0.83 0.27 0.69 0.64 0.08 0.70 0.51 0.83 0.79 0.84 0.12 0.40 0.45 0.44 0.72 0.37 0.83 0.06 0.19 0.29 0.00 0.77 0.21 0.36 0.42 0.58 0.09 0.38 0.08 0.08 0.98 0.19 0.61 0.10 0.36 0.48 0.66 0.99 0.40 0.24 0.66 0.39 0.59 0.44 0.39 0.09 0.77 0.52 0.84 0.75 0.04 0.78 0.03 0.72 0.66 0.29 0.55 ]
[0.75 0.07 0.05 0.26 0.29 0.22 0.15 1.00 0.34 0.57 0.85 0.47 0.97 0.12 0.52 0.41 0.16 0.45 0.23 0.01 0.64 0.93 0.62 0.22 0.54 0.70 0.51 0.88 0.57 0.02 0.52 0.02 0.65 0.94 0.89 0.91 0.05 0.24 0.70 0.83 0.06 0.14 0.14 0.15 0.78 0.28 0.24 0.15 0.43 0.61 0.46 0.91 0.49 0.16 0.29 0.01 0.82 0.31 0.58 0.82 0.39 0.50 0.83 0.94 0.55 0.78 0.04 0.23 0.63 ]
[0.15 0.81 0.65 0.72 0.71 0.61 0.85 0.34 1.00 0.53 0.62 0.23 0.21 0.21 0.60 0.44 0.98 0.54 0.08 0.62 0.13 0.83 0.34 0.48 0.74 0.03 0.42 0.28 0.01 0.87 0.66 0.83 0.54 0.87 0.98 0.49 0.99 0.10 0.28 0.52 0.94 0.99 0.78 0.73 0.48 0.89 0.99 0.16 0.88 0.26 0.67 0.67 0.25 0.42 0.26 0.77 0.56 0.48 0.93 0.42 0.77 0.00 0.54 0.28 0.15 0.89 0.14 0.91 0.15 ]
[0.44 0.86 0.73 0.20 0.46 0.75 0.85 0.57 0.53 1.00 0.80 0.72 0.27 0.70 0.55 0.35 0.47 0.18 0.27 0.14 0.48 0.13 0.54 0.01 0.24 0.20 0.89 0.25 0.19 0.26 0.53 0.20 0.41 0.02 0.70 0.75 0.83 0.08 0.23 0.83 0.88 0.27 0.29 0.27 0.91 0.17 0.19 0.11 0.57 0.79 0.43 0.11 0.35 0.54 0.85 0.22 0.36 0.94 0.68 0.84 0.91 0.28 0.87 0.20 0.58 0.04 0.50 0.38 0.80 ]
