D = 8;
n = [ 3 3 3 3 3 3 3 3 ];
N = 81;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.20 0.15 0.09 0.38 0.27 0.52 0.68 0.19 0.26 0.72 0.38 0.04 0.88 0.59 0.31 0.33 0.26 0.53 0.91 0.92 0.43 0.78 0.51 0.71 0.71 0.35 0.22 0.67 0.99 0.37 0.10 0.60 0.60 0.85 0.06 0.82 0.38 0.21 0.41 0.91 0.64 0.21 0.25 0.77 0.73 0.70 0.92 0.70 0.35 0.27 0.57 0.54 0.74 0.32 0.40 0.74 0.14 0.39 0.78 0.92 0.30 0.80 0.53 0.41 0.78 0.21 0.91 0.66 0.67 0.97 0.28 0.95 0.89 0.37 0.35 1.00 0.16 0.14 0.18 0.19 ]
[0.20 1.00 0.12 0.76 0.91 0.58 0.76 0.13 0.51 0.28 0.04 0.19 0.83 0.45 0.64 0.51 0.74 0.59 0.13 0.75 0.76 0.10 0.57 0.01 0.18 0.21 0.78 0.78 0.54 0.94 0.14 0.95 0.12 0.88 0.52 0.79 0.63 0.18 0.01 1.00 0.23 0.49 0.08 0.79 0.09 0.30 0.47 0.17 0.19 0.36 0.46 0.27 0.70 0.31 0.38 0.78 0.26 0.26 0.97 0.02 0.54 0.43 0.19 0.31 0.39 0.49 0.45 0.60 0.70 0.64 0.17 0.98 0.86 0.74 0.86 0.64 0.27 0.83 0.38 0.65 0.53 ]
[0.15 0.12 1.00 0.53 0.96 0.41 0.23 0.97 0.58 0.02 0.86 0.90 0.26 0.51 0.39 0.89 0.17 0.40 0.62 0.72 0.40 0.71 0.73 0.78 0.13 0.56 0.19 0.12 0.07 0.37 0.28 0.76 0.16 0.20 0.57 0.71 0.24 0.23 0.78 0.42 0.20 0.63 0.13 0.45 0.23 0.13 0.44 0.83 0.49 0.33 0.35 0.77 0.79 0.89 0.19 0.44 0.67 0.17 0.83 0.59 0.07 0.71 0.08 0.23 0.09 0.86 0.02 0.34 0.83 1.00 0.01 0.54 0.26 0.06 0.34 0.05 0.15 0.46 0.82 0.65 0.23 ]
[0.09 0.76 0.53 1.00 0.30 0.63 0.79 0.51 0.78 0.32 0.85 0.45 0.49 0.45 0.35 0.72 0.08 0.10 0.83 0.83 0.19 0.30 0.08 0.98 0.47 0.47 0.27 0.20 0.27 0.33 0.20 0.11 0.55 0.24 0.11 0.84 0.40 0.60 0.08 0.48 0.01 0.24 0.10 0.52 0.07 0.08 0.76 0.96 0.54 0.77 0.36 0.66 0.50 0.65 0.97 0.12 0.61 0.78 0.45 0.96 0.38 0.68 0.32 0.01 0.61 0.25 0.41 0.56 0.35 0.12 0.82 0.42 0.96 0.18 0.35 0.87 0.90 0.51 0.88 0.88 0.55 ]
[0.38 0.91 0.96 0.30 1.00 0.99 0.88 0.49 0.81 0.87 0.50 0.66 0.75 0.72 0.90 0.82 0.68 0.15 0.07 0.65 0.82 0.08 0.62 0.66 0.42 0.98 0.46 0.69 0.82 0.01 0.37 0.24 0.23 0.33 0.82 0.01 0.51 0.11 0.11 0.87 0.62 0.10 0.35 0.54 0.13 0.57 0.67 0.91 0.88 0.61 0.81 0.74 0.77 0.98 0.69 0.42 0.34 0.84 0.22 0.71 0.32 0.66 0.59 0.77 0.08 0.73 1.00 0.37 0.28 0.35 0.73 0.08 0.77 0.22 0.37 0.46 0.27 0.85 0.36 0.84 0.50 ]
[0.27 0.58 0.41 0.63 0.99 1.00 0.80 0.77 0.31 0.65 0.90 0.67 0.75 0.61 0.71 0.70 0.56 0.13 0.63 0.49 0.50 0.95 0.53 0.31 0.31 0.19 0.22 0.35 0.60 0.92 0.19 0.28 0.17 0.20 0.53 0.02 0.75 0.74 0.35 0.93 0.47 0.42 0.79 0.51 0.86 0.75 0.50 0.01 0.58 0.08 0.68 0.09 0.96 0.94 0.62 0.57 0.32 0.64 0.42 0.85 0.07 0.39 0.22 0.69 0.01 0.14 0.23 0.86 0.65 0.49 0.53 0.66 0.73 0.46 0.62 0.86 0.83 0.89 0.51 0.90 0.28 ]
[0.52 0.76 0.23 0.79 0.88 0.80 1.00 0.13 0.52 0.42 0.57 0.07 0.29 0.09 0.42 0.40 0.18 0.75 0.76 0.75 0.52 0.01 0.50 0.99 0.27 0.68 0.07 0.10 0.17 0.57 0.22 0.01 0.78 0.25 0.48 0.63 0.09 0.87 0.60 0.18 0.99 0.56 0.21 0.87 0.52 0.15 0.15 0.40 0.31 0.39 0.32 0.11 0.16 0.42 0.76 0.16 0.08 0.45 0.79 0.39 0.13 0.43 0.52 0.12 0.38 0.55 0.42 0.70 0.03 0.07 0.92 0.17 0.05 0.54 0.71 0.91 0.20 0.26 0.79 0.96 0.79 ]
[0.68 0.13 0.97 0.51 0.49 0.77 0.13 1.00 0.47 0.86 0.50 0.10 0.17 0.08 0.31 0.61 0.69 0.78 0.87 0.51 0.39 0.78 0.82 0.65 0.93 0.48 0.14 0.03 0.39 0.10 0.96 0.24 0.38 0.73 0.13 0.99 0.63 0.57 0.87 0.07 0.56 0.14 0.78 0.93 0.19 0.54 0.61 0.99 0.71 0.34 0.98 0.58 0.23 0.56 0.80 0.25 0.62 0.28 0.10 0.38 0.61 0.09 0.07 0.91 0.21 0.24 0.29 0.42 0.27 0.97 0.44 0.67 0.09 0.32 0.55 0.63 0.49 0.24 0.29 0.58 0.05 ]
[0.19 0.51 0.58 0.78 0.81 0.31 0.52 0.47 1.00 0.56 0.61 0.73 0.06 0.08 0.93 0.13 0.99 0.37 0.88 0.57 0.73 0.46 0.22 0.11 0.04 0.39 0.49 0.43 0.06 0.49 0.32 0.11 0.39 0.14 0.84 0.74 0.45 0.25 0.85 0.30 0.34 0.47 0.13 0.42 0.64 0.24 0.06 0.96 0.09 0.38 0.25 0.46 0.11 0.19 0.34 0.89 0.82 0.26 0.25 0.76 0.81 0.09 0.99 0.86 0.06 0.94 0.18 0.02 0.90 0.84 0.63 0.74 0.45 0.33 0.60 0.81 0.17 0.66 0.55 0.36 0.61 ]
[0.26 0.28 0.02 0.32 0.87 0.65 0.42 0.86 0.56 1.00 0.26 0.89 0.11 0.07 0.34 0.83 0.73 0.48 0.01 0.80 0.98 0.39 0.26 0.52 0.36 0.07 0.11 0.61 0.39 0.24 0.92 0.01 0.85 0.60 0.36 0.54 0.74 0.82 0.57 0.52 0.72 0.12 0.83 0.64 0.88 0.57 0.05 0.07 0.45 0.93 0.62 0.93 0.20 0.15 0.66 0.29 0.84 0.93 0.04 0.70 0.15 0.87 0.70 0.76 0.37 0.42 0.26 0.66 0.02 0.87 0.98 0.11 0.98 0.26 0.39 0.84 0.93 0.62 0.43 0.83 0.96 ]
