D = 8;
n = [ 3 3 3 3 3 3 3 3 ];
N = 34;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 7 7 7 7 8 8 8 8 8 8 ];
m = [
[1.00 0.03 0.69 0.52 0.48 0.36 0.22 0.54 0.03 0.95 0.24 0.15 0.24 0.22 0.88 0.76 0.95 0.09 0.49 0.93 0.21 0.74 0.87 0.28 0.14 0.35 0.51 0.36 0.44 0.98 0.36 0.21 0.87 0.37 ]
[0.03 1.00 0.73 0.87 0.56 0.16 0.39 0.11 0.98 0.53 0.32 0.89 0.97 0.49 0.85 0.60 0.77 0.52 0.05 0.40 0.85 0.09 0.38 0.89 0.21 0.55 0.40 0.76 0.77 0.25 0.14 0.20 0.82 0.17 ]
[0.69 0.73 1.00 0.52 0.60 0.76 0.79 0.08 0.83 0.68 0.29 0.22 0.51 0.19 0.48 0.78 0.43 0.93 0.90 0.56 0.76 0.43 0.05 0.56 0.88 0.44 0.02 0.94 0.43 0.44 0.13 0.32 0.97 0.97 ]
[0.52 0.87 0.52 1.00 0.33 0.81 0.27 0.82 0.72 0.65 0.00 0.73 0.77 0.26 0.35 0.33 0.03 0.41 0.55 0.48 0.74 0.97 0.77 0.44 0.52 0.77 0.68 0.92 0.12 0.79 0.05 0.86 0.25 0.99 ]
[0.48 0.56 0.60 0.33 1.00 0.08 0.36 0.27 0.26 0.51 0.61 0.45 0.19 0.18 0.09 0.42 0.27 0.27 0.87 0.70 0.65 0.08 0.82 0.10 0.47 0.48 0.66 0.86 0.63 0.44 0.11 0.33 0.16 0.08 ]
[0.36 0.16 0.76 0.81 0.08 1.00 0.84 0.19 0.38 0.39 0.05 0.09 0.25 0.65 0.95 0.57 0.13 0.31 0.80 0.49 0.18 0.05 0.68 0.15 0.24 0.66 0.37 0.45 1.00 0.00 0.92 0.72 0.24 0.05 ]
[0.22 0.39 0.79 0.27 0.36 0.84 1.00 0.54 0.61 0.06 1.00 0.59 0.65 0.10 0.84 0.14 0.59 0.66 0.55 0.83 0.23 0.80 0.87 0.60 0.66 0.73 0.12 0.77 0.48 0.16 0.26 0.29 0.84 0.02 ]
[0.54 0.11 0.08 0.82 0.27 0.19 0.54 1.00 0.03 0.35 0.28 0.92 0.62 0.60 0.32 0.82 0.00 0.13 0.92 0.54 0.55 0.47 0.36 0.38 0.15 0.47 0.13 0.22 0.74 0.44 0.64 0.56 0.06 0.76 ]
[0.03 0.98 0.83 0.72 0.26 0.38 0.61 0.03 1.00 0.81 0.90 0.37 0.89 0.42 0.17 0.42 0.68 0.53 0.72 0.80 0.78 0.80 0.50 0.12 0.25 0.35 0.62 0.40 0.50 0.67 0.94 0.61 0.78 0.42 ]
[0.95 0.53 0.68 0.65 0.51 0.39 0.06 0.35 0.81 1.00 0.56 0.64 0.97 0.64 0.22 0.31 0.85 0.74 0.75 0.91 0.52 0.43 0.50 0.04 0.32 0.50 0.95 0.13 0.61 0.03 0.69 0.13 0.73 0.23 ]
[0.24 0.32 0.29 0.00 0.61 0.05 1.00 0.28 0.90 0.56 1.00 0.93 0.46 0.09 0.36 0.42 0.10 0.18 0.85 0.69 0.68 0.58 0.44 0.02 0.16 0.90 0.54 0.60 0.10 0.67 0.80 0.80 0.75 0.33 ]
