D = 6;
n = [ 2 2 2 2 2 2 ];
N = 15;
d = [1 1 2 2 3 3 4 4 5 5 6 6 6 6 6 ];
m = [
[1.00 0.33 0.13 0.44 0.94 0.88 0.88 0.00 0.90 0.61 0.86 0.67 0.82 0.50 0.90 ]
[0.33 1.00 0.08 0.64 0.18 0.98 0.22 0.54 0.23 0.10 0.64 0.91 0.57 0.76 0.21 ]
[0.13 0.08 1.00 0.93 0.20 0.87 0.22 0.08 0.76 0.05 0.11 0.31 0.57 0.09 0.42 ]
[0.44 0.64 0.93 1.00 0.50 0.96 0.55 0.85 0.62 0.77 0.41 0.68 0.02 0.13 0.36 ]
[0.94 0.18 0.20 0.50 1.00 0.22 0.20 0.24 0.35 0.70 0.58 0.50 0.23 0.16 0.06 ]
[0.88 0.98 0.87 0.96 0.22 1.00 0.13 0.70 0.19 0.24 0.10 0.26 0.64 0.39 0.46 ]
[0.88 0.22 0.22 0.55 0.20 0.13 1.00 0.67 0.94 0.82 0.69 0.60 0.55 0.60 0.35 ]
[0.00 0.54 0.08 0.85 0.24 0.70 0.67 1.00 0.23 0.14 0.27 0.80 0.58 0.42 0.60 ]
[0.90 0.23 0.76 0.62 0.35 0.19 0.94 0.23 1.00 0.71 0.79 0.38 0.09 0.88 0.40 ]
[0.61 0.10 0.05 0.77 0.70 0.24 0.82 0.14 0.71 1.00 0.68 0.38 0.32 0.88 0.30 ]
[0.86 0.64 0.11 0.41 0.58 0.10 0.69 0.27 0.79 0.68 1.00 0.12 0.21 0.73 0.36 ]
[0.67 0.91 0.31 0.68 0.50 0.26 0.60 0.80 0.38 0.38 0.12 1.00 0.80 0.08 0.15 ]
[0.82 0.57 0.57 0.02 0.23 0.64 0.55 0.58 0.09 0.32 0.21 0.80 1.00 0.33 0.18 ]
[0.50 0.76 0.09 0.13 0.16 0.39 0.60 0.42 0.88 0.88 0.73 0.08 0.33 1.00 0.96 ]
[0.90 0.21 0.42 0.36 0.06 0.46 0.35 0.60 0.40 0.30 0.36 0.15 0.18 0.96 1.00 ]
];
