D = 2;
n = [ 1 1 ];
N = 12;
d = [1 1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.18 0.86 0.36 0.46 0.19 0.03 0.23 0.21 0.97 0.99 0.48 ]
[0.18 1.00 0.47 0.36 0.41 0.56 0.21 0.02 0.46 0.56 0.79 0.44 ]
[0.86 0.47 1.00 0.64 0.80 0.28 0.63 0.15 0.85 0.80 0.92 0.72 ]
[0.36 0.36 0.64 1.00 0.14 0.53 0.37 0.08 0.12 0.86 0.17 0.42 ]
[0.46 0.41 0.80 0.14 1.00 0.88 0.51 0.95 0.11 0.88 0.12 0.56 ]
[0.19 0.56 0.28 0.53 0.88 1.00 0.45 0.57 0.62 0.77 0.02 0.52 ]
[0.03 0.21 0.63 0.37 0.51 0.45 1.00 0.53 0.75 0.14 0.60 0.54 ]
[0.23 0.02 0.15 0.08 0.95 0.57 0.53 1.00 0.33 0.33 0.68 0.78 ]
[0.21 0.46 0.85 0.12 0.11 0.62 0.75 0.33 1.00 0.55 0.22 0.75 ]
[0.97 0.56 0.80 0.86 0.88 0.77 0.14 0.33 0.55 1.00 0.58 0.04 ]
[0.99 0.79 0.92 0.17 0.12 0.02 0.60 0.68 0.22 0.58 1.00 0.87 ]
[0.48 0.44 0.72 0.42 0.56 0.52 0.54 0.78 0.75 0.04 0.87 1.00 ]
];
