D = 8;
n = [ 3 3 3 3 3 3 3 3 ];
N = 32;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 7 7 7 7 8 8 8 8 ];
m = [
[1.00 0.17 0.68 0.81 0.11 0.35 0.93 0.39 0.77 0.59 0.34 0.24 0.26 0.47 0.09 0.58 0.57 0.30 0.00 0.84 0.76 0.30 0.38 0.35 0.47 0.74 0.17 0.91 0.80 0.78 0.07 0.76 ]
[0.17 1.00 0.43 0.20 0.19 0.86 0.82 0.66 0.08 0.90 0.76 0.81 0.02 0.93 0.88 0.68 0.13 0.60 0.99 0.12 0.61 0.72 0.01 0.68 0.69 0.37 0.28 0.45 0.27 0.30 0.95 0.10 ]
[0.68 0.43 1.00 0.43 0.43 0.36 0.46 0.27 0.70 0.53 0.32 0.54 0.76 0.57 0.98 0.55 0.81 0.42 0.73 0.09 0.21 0.48 0.52 0.07 0.88 0.17 0.75 0.02 0.92 0.08 0.73 0.49 ]
[0.81 0.20 0.43 1.00 0.31 0.48 0.82 0.14 0.77 0.44 0.91 0.10 0.73 0.07 0.14 0.83 0.05 0.64 0.11 0.97 0.84 0.89 0.72 0.94 0.67 0.69 0.66 1.00 0.14 0.44 0.58 0.37 ]
[0.11 0.19 0.43 0.31 1.00 0.05 0.49 0.39 0.33 0.38 0.20 0.83 0.97 0.61 0.84 0.56 0.76 0.96 0.02 0.42 0.70 0.29 0.41 0.49 0.36 0.68 0.85 0.70 0.24 0.76 0.41 0.75 ]
[0.35 0.86 0.36 0.48 0.05 1.00 0.01 0.78 0.41 0.81 0.43 0.54 0.84 0.26 0.94 0.74 0.09 0.84 0.49 0.53 0.99 0.77 0.86 0.78 0.33 0.14 0.58 0.28 0.71 0.25 0.20 0.38 ]
[0.93 0.82 0.46 0.82 0.49 0.01 1.00 0.27 0.19 0.92 0.93 0.18 0.18 0.02 0.56 0.85 0.12 0.51 0.62 0.17 0.47 0.71 0.02 0.47 0.96 0.36 0.56 0.17 0.68 0.88 0.81 0.45 ]
[0.39 0.66 0.27 0.14 0.39 0.78 0.27 1.00 0.33 0.24 0.11 0.10 0.72 0.69 0.17 0.23 0.67 0.51 0.88 0.92 0.14 0.76 0.69 0.89 0.53 0.96 0.54 0.37 0.81 0.25 0.88 0.89 ]
[0.77 0.08 0.70 0.77 0.33 0.41 0.19 0.33 1.00 0.94 0.68 0.62 0.38 0.41 0.43 0.73 0.71 0.26 0.81 0.78 0.01 0.86 0.89 0.61 0.91 0.89 0.65 0.96 0.65 0.77 0.44 0.06 ]
[0.59 0.90 0.53 0.44 0.38 0.81 0.92 0.24 0.94 1.00 0.73 0.04 0.91 0.65 0.56 0.55 0.11 0.70 0.33 0.71 0.89 0.27 0.10 0.28 0.31 0.89 0.26 0.32 0.39 0.72 0.70 0.51 ]
[0.34 0.76 0.32 0.91 0.20 0.43 0.93 0.11 0.68 0.73 1.00 0.32 0.87 0.08 0.18 0.79 0.14 0.26 0.87 0.41 0.73 0.45 0.39 0.10 0.46 0.89 0.68 0.02 0.24 0.77 0.40 0.59 ]
[0.24 0.81 0.54 0.10 0.83 0.54 0.18 0.10 0.62 0.04 0.32 1.00 0.19 0.11 0.79 0.78 0.11 0.35 0.45 0.69 0.39 0.43 0.26 0.59 0.56 0.10 0.94 0.48 0.02 0.81 0.55 0.20 ]
[0.26 0.02 0.76 0.73 0.97 0.84 0.18 0.72 0.38 0.91 0.87 0.19 1.00 0.53 0.46 0.69 0.42 0.80 0.84 0.58 0.83 0.18 0.77 0.17 0.06 0.99 0.59 0.64 0.51 0.01 0.19 0.92 ]
[0.47 0.93 0.57 0.07 0.61 0.26 0.02 0.69 0.41 0.65 0.08 0.11 0.53 1.00 0.68 0.02 0.34 0.86 0.97 0.19 0.32 0.65 0.85 0.84 0.45 0.25 0.70 0.80 0.47 0.54 0.72 0.71 ]
