D = 4;
n = [ 3 3 3 3 ];
N = 12;
d = [1 1 1 2 2 2 3 3 3 4 4 4 ];
m = [
[1.00 0.08 0.05 0.87 1.00 0.95 0.62 0.38 0.05 0.72 0.05 0.49 ]
[0.08 1.00 0.42 0.32 0.55 0.43 0.42 0.34 0.53 0.15 0.37 0.28 ]
[0.05 0.42 1.00 0.58 0.17 0.38 0.18 0.50 0.84 0.10 0.63 0.85 ]
[0.87 0.32 0.58 1.00 0.20 0.28 0.61 0.66 0.14 0.10 0.58 0.26 ]
[1.00 0.55 0.17 0.20 1.00 0.22 0.73 0.66 0.01 0.33 0.69 0.95 ]
[0.95 0.43 0.38 0.28 0.22 1.00 0.80 0.14 0.64 0.96 0.54 0.91 ]
[0.62 0.42 0.18 0.61 0.73 0.80 1.00 0.37 0.80 0.09 0.51 0.64 ]
[0.38 0.34 0.50 0.66 0.66 0.14 0.37 1.00 0.64 0.43 0.40 0.59 ]
[0.05 0.53 0.84 0.14 0.01 0.64 0.80 0.64 1.00 0.40 0.39 0.60 ]
[0.72 0.15 0.10 0.10 0.33 0.96 0.09 0.43 0.40 1.00 0.74 0.82 ]
[0.05 0.37 0.63 0.58 0.69 0.54 0.51 0.40 0.39 0.74 1.00 0.94 ]
[0.49 0.28 0.85 0.26 0.95 0.91 0.64 0.59 0.60 0.82 0.94 1.00 ]
];
