D = 4;
n = [ 3 3 3 3 ];
N = 21;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 ];
m = [
[1.00 0.41 0.47 0.17 0.68 0.59 0.33 0.69 0.34 0.33 0.83 0.88 0.87 0.77 0.55 0.64 0.09 0.13 0.98 0.32 0.57 ]
[0.41 1.00 0.37 0.62 0.30 0.75 0.19 0.47 0.37 0.36 0.77 0.44 0.39 0.69 0.80 0.05 0.91 0.58 0.30 0.85 0.26 ]
[0.47 0.37 1.00 0.28 0.20 0.76 1.00 0.66 0.08 0.01 0.21 0.11 0.90 0.73 0.96 0.23 0.42 0.37 0.02 0.33 0.71 ]
[0.17 0.62 0.28 1.00 0.21 0.26 0.96 0.49 0.83 0.45 0.28 0.68 0.55 0.84 0.59 0.44 0.19 0.72 0.87 0.01 0.57 ]
[0.68 0.30 0.20 0.21 1.00 0.41 0.41 0.09 0.04 0.20 0.36 0.11 0.28 0.94 0.57 0.14 0.92 0.31 0.42 0.13 0.66 ]
[0.59 0.75 0.76 0.26 0.41 1.00 0.16 0.44 0.53 0.79 0.53 0.05 0.84 0.24 0.59 0.96 0.55 0.64 0.05 0.56 0.93 ]
[0.33 0.19 1.00 0.96 0.41 0.16 1.00 0.98 0.28 0.81 0.29 0.80 0.03 0.70 0.07 0.57 0.12 0.51 0.72 0.08 0.21 ]
[0.69 0.47 0.66 0.49 0.09 0.44 0.98 1.00 0.99 0.17 0.30 0.88 0.23 0.25 0.89 0.91 0.70 0.07 0.60 0.92 0.53 ]
[0.34 0.37 0.08 0.83 0.04 0.53 0.28 0.99 1.00 0.16 0.47 0.19 0.44 0.94 0.25 0.51 0.54 0.80 0.07 0.83 0.42 ]
[0.33 0.36 0.01 0.45 0.20 0.79 0.81 0.17 0.16 1.00 0.45 0.18 0.27 0.16 0.03 0.96 0.94 0.87 0.71 0.16 0.72 ]
[0.83 0.77 0.21 0.28 0.36 0.53 0.29 0.30 0.47 0.45 1.00 0.81 0.24 0.59 0.56 0.14 0.98 0.51 0.76 0.87 0.22 ]
[0.88 0.44 0.11 0.68 0.11 0.05 0.80 0.88 0.19 0.18 0.81 1.00 0.98 0.97 0.79 0.47 0.65 0.67 0.48 0.81 0.69 ]
[0.87 0.39 0.90 0.55 0.28 0.84 0.03 0.23 0.44 0.27 0.24 0.98 1.00 0.72 0.15 0.20 0.42 0.40 0.72 0.98 0.54 ]
[0.77 0.69 0.73 0.84 0.94 0.24 0.70 0.25 0.94 0.16 0.59 0.97 0.72 1.00 0.32 0.79 0.53 0.53 0.13 0.30 0.38 ]
[0.55 0.80 0.96 0.59 0.57 0.59 0.07 0.89 0.25 0.03 0.56 0.79 0.15 0.32 1.00 0.60 0.94 0.68 1.00 0.73 0.07 ]
[0.64 0.05 0.23 0.44 0.14 0.96 0.57 0.91 0.51 0.96 0.14 0.47 0.20 0.79 0.60 1.00 0.38 0.71 0.69 0.62 0.01 ]
[0.09 0.91 0.42 0.19 0.92 0.55 0.12 0.70 0.54 0.94 0.98 0.65 0.42 0.53 0.94 0.38 1.00 0.63 0.39 0.43 0.43 ]
[0.13 0.58 0.37 0.72 0.31 0.64 0.51 0.07 0.80 0.87 0.51 0.67 0.40 0.53 0.68 0.71 0.63 1.00 0.62 0.84 0.58 ]
[0.98 0.30 0.02 0.87 0.42 0.05 0.72 0.60 0.07 0.71 0.76 0.48 0.72 0.13 1.00 0.69 0.39 0.62 1.00 0.14 0.45 ]
[0.32 0.85 0.33 0.01 0.13 0.56 0.08 0.92 0.83 0.16 0.87 0.81 0.98 0.30 0.73 0.62 0.43 0.84 0.14 1.00 0.77 ]
[0.57 0.26 0.71 0.57 0.66 0.93 0.21 0.53 0.42 0.72 0.22 0.69 0.54 0.38 0.07 0.01 0.43 0.58 0.45 0.77 1.00 ]
];
