D = 8;
n = [ 4 4 4 4 4 4 4 4 ];
N = 33;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 7 7 7 7 8 8 8 8 8 ];
m = [
[1.00 0.11 0.23 0.96 0.30 0.79 0.53 0.23 0.42 0.76 0.67 0.11 0.42 0.82 0.29 0.09 0.11 0.96 0.39 0.52 0.94 0.89 0.65 0.42 0.34 0.72 0.26 0.19 0.09 0.60 0.13 0.69 0.23 ]
[0.11 1.00 0.67 0.32 0.94 0.19 0.55 0.36 0.66 0.94 0.54 0.10 0.25 0.11 0.38 0.44 0.71 0.82 0.57 0.48 0.64 0.91 0.86 0.00 0.64 0.15 0.61 0.62 0.55 0.29 0.07 0.21 0.45 ]
[0.23 0.67 1.00 0.41 0.02 0.93 0.04 0.30 0.20 0.57 0.46 0.62 0.19 0.52 0.91 0.86 0.15 0.85 0.13 0.75 0.74 0.40 0.35 0.98 0.31 0.37 0.55 0.56 0.70 0.52 0.18 0.07 0.95 ]
[0.96 0.32 0.41 1.00 0.42 0.40 0.70 0.41 0.29 0.84 0.50 0.86 0.73 0.86 0.72 0.58 0.27 0.68 0.53 0.28 0.66 0.89 0.61 0.85 0.80 0.01 0.16 0.38 0.01 0.41 0.63 0.44 0.33 ]
[0.30 0.94 0.02 0.42 1.00 0.55 0.95 0.12 0.43 0.57 0.62 0.10 0.39 0.54 0.27 0.42 0.49 0.02 0.46 0.51 0.53 0.12 0.51 0.74 0.42 0.15 0.26 0.39 0.68 0.08 0.36 0.31 0.21 ]
[0.79 0.19 0.93 0.40 0.55 1.00 0.53 0.55 0.49 0.90 0.94 0.87 0.93 0.16 0.21 0.88 0.63 0.62 0.12 0.90 0.38 0.50 0.06 0.03 0.12 0.16 0.31 0.06 0.38 0.15 0.07 0.36 0.41 ]
[0.53 0.55 0.04 0.70 0.95 0.53 1.00 0.04 0.34 0.95 0.91 0.35 0.19 0.84 0.31 0.28 0.54 0.15 0.35 0.79 0.13 0.09 0.17 0.47 0.20 0.68 0.88 0.54 0.02 0.63 0.56 0.58 0.79 ]
[0.23 0.36 0.30 0.41 0.12 0.55 0.04 1.00 1.00 0.34 0.80 0.50 0.26 0.32 0.02 0.26 0.26 0.69 0.76 0.06 0.79 0.40 0.65 0.81 0.89 0.97 0.78 0.66 0.57 0.62 0.44 0.18 0.63 ]
[0.42 0.66 0.20 0.29 0.43 0.49 0.34 1.00 1.00 0.84 0.09 0.89 0.94 0.60 0.80 0.41 0.41 0.40 0.07 0.76 0.08 0.54 0.75 0.84 0.21 0.63 0.09 0.96 0.26 0.08 0.83 0.71 0.27 ]
[0.76 0.94 0.57 0.84 0.57 0.90 0.95 0.34 0.84 1.00 0.49 0.95 0.79 0.01 0.85 0.67 0.21 0.76 0.62 0.22 0.33 0.10 0.81 1.00 0.43 0.54 0.81 0.84 0.95 0.74 0.81 0.71 0.35 ]
[0.67 0.54 0.46 0.50 0.62 0.94 0.91 0.80 0.09 0.49 1.00 0.65 0.75 0.17 0.86 0.53 0.39 0.57 0.20 0.52 0.90 0.86 0.20 0.20 0.43 0.11 0.14 0.50 0.73 0.65 0.81 0.16 0.64 ]
[0.11 0.10 0.62 0.86 0.10 0.87 0.35 0.50 0.89 0.95 0.65 1.00 0.08 0.64 0.18 0.16 0.82 0.15 0.58 0.77 0.89 0.50 0.62 0.52 0.45 0.75 0.94 0.40 0.36 0.31 0.06 0.60 0.67 ]
[0.42 0.25 0.19 0.73 0.39 0.93 0.19 0.26 0.94 0.79 0.75 0.08 1.00 0.94 0.87 0.44 0.93 0.79 0.99 0.19 0.47 0.61 0.19 0.53 0.77 0.77 0.64 0.42 0.43 0.59 0.79 0.64 0.85 ]
[0.82 0.11 0.52 0.86 0.54 0.16 0.84 0.32 0.60 0.01 0.17 0.64 0.94 1.00 0.40 0.81 0.05 0.41 0.93 0.51 0.10 0.48 0.45 0.25 0.38 0.67 0.60 0.02 0.21 0.56 0.18 0.06 0.75 ]
[0.29 0.38 0.91 0.72 0.27 0.21 0.31 0.02 0.80 0.85 0.86 0.18 0.87 0.40 1.00 0.23 0.75 0.01 0.19 0.47 0.44 0.44 0.00 0.79 0.89 0.00 0.25 0.13 0.86 0.63 0.38 0.54 0.71 ]
[0.09 0.44 0.86 0.58 0.42 0.88 0.28 0.26 0.41 0.67 0.53 0.16 0.44 0.81 0.23 1.00 0.55 0.06 0.07 0.39 0.12 0.76 0.44 0.20 0.49 0.26 0.23 0.32 0.33 0.30 0.64 0.09 0.94 ]
[0.11 0.71 0.15 0.27 0.49 0.63 0.54 0.26 0.41 0.21 0.39 0.82 0.93 0.05 0.75 0.55 1.00 0.44 0.29 0.91 0.94 0.46 0.14 0.98 1.00 0.90 0.64 0.88 0.02 0.98 0.04 0.03 0.51 ]
[0.96 0.82 0.85 0.68 0.02 0.62 0.15 0.69 0.40 0.76 0.57 0.15 0.79 0.41 0.01 0.06 0.44 1.00 0.65 0.99 0.21 0.46 0.81 0.85 0.81 0.09 0.22 0.49 0.87 0.98 0.15 0.70 0.57 ]
[0.39 0.57 0.13 0.53 0.46 0.12 0.35 0.76 0.07 0.62 0.20 0.58 0.99 0.93 0.19 0.07 0.29 0.65 1.00 0.72 0.82 0.02 0.95 0.09 0.32 0.59 0.15 0.25 0.30 0.74 0.64 0.32 0.36 ]
