D = 4;
n = [ 3 3 3 3 ];
N = 14;
d = [1 1 1 2 2 2 3 3 3 4 4 4 4 4 ];
m = [
[1.00 0.65 0.77 1.00 0.48 0.56 0.32 0.21 0.94 0.61 0.37 0.50 0.36 0.30 ]
[0.65 1.00 0.71 0.04 0.83 0.33 0.56 0.02 0.84 0.54 0.47 0.14 0.35 0.89 ]
[0.77 0.71 1.00 0.04 0.74 0.48 0.05 0.40 0.50 0.17 0.96 0.96 0.84 0.27 ]
[1.00 0.04 0.04 1.00 0.56 0.14 0.62 0.15 0.82 0.83 0.49 0.10 0.44 0.71 ]
[0.48 0.83 0.74 0.56 1.00 0.17 0.59 0.39 0.00 0.06 0.66 0.47 0.35 0.41 ]
[0.56 0.33 0.48 0.14 0.17 1.00 0.06 0.27 0.23 0.32 0.00 0.68 0.98 0.54 ]
[0.32 0.56 0.05 0.62 0.59 0.06 1.00 0.46 0.13 0.04 0.02 0.48 0.27 0.72 ]
[0.21 0.02 0.40 0.15 0.39 0.27 0.46 1.00 0.46 0.34 0.43 0.55 0.79 0.32 ]
[0.94 0.84 0.50 0.82 0.00 0.23 0.13 0.46 1.00 0.48 0.91 0.61 0.97 0.51 ]
[0.61 0.54 0.17 0.83 0.06 0.32 0.04 0.34 0.48 1.00 0.60 0.15 0.56 0.98 ]
[0.37 0.47 0.96 0.49 0.66 0.00 0.02 0.43 0.91 0.60 1.00 0.28 0.00 0.81 ]
[0.50 0.14 0.96 0.10 0.47 0.68 0.48 0.55 0.61 0.15 0.28 1.00 0.71 0.62 ]
[0.36 0.35 0.84 0.44 0.35 0.98 0.27 0.79 0.97 0.56 0.00 0.71 1.00 0.70 ]
[0.30 0.89 0.27 0.71 0.41 0.54 0.72 0.32 0.51 0.98 0.81 0.62 0.70 1.00 ]
];
