D = 4;
n = [ 2 2 2 2 ];
N = 53;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.20 0.08 0.35 0.34 0.56 0.95 0.02 0.65 0.73 0.37 0.17 0.16 0.06 0.79 0.89 0.06 0.60 0.09 0.22 0.29 0.79 0.69 0.73 0.80 0.45 0.33 0.01 0.41 0.73 0.16 0.00 0.11 0.77 0.18 0.87 0.88 0.37 0.50 0.08 0.27 0.06 0.12 0.39 0.93 0.88 0.35 0.19 0.02 0.31 0.29 0.95 0.83 ]
[0.20 1.00 0.61 0.05 0.88 0.96 0.54 0.29 0.77 0.76 0.46 0.21 0.98 0.90 0.91 0.86 0.82 0.54 0.29 0.74 0.26 0.61 0.98 0.81 0.35 0.76 0.21 0.17 0.92 0.32 0.56 0.60 0.32 0.61 0.20 0.94 0.72 0.17 0.96 0.31 0.33 0.95 0.56 0.52 0.13 0.77 0.06 0.45 0.77 0.98 0.44 0.36 0.67 ]
[0.08 0.61 1.00 0.73 0.79 0.25 0.58 0.29 0.43 0.65 0.58 0.82 0.58 0.84 0.77 0.59 0.02 0.96 0.60 0.98 0.48 0.68 0.53 0.03 0.56 0.45 0.71 0.33 0.19 0.40 0.63 0.36 0.31 0.94 0.58 0.27 0.27 0.25 0.91 0.54 0.25 0.49 0.54 0.39 0.33 0.68 0.12 0.87 0.87 0.34 0.67 0.41 0.57 ]
[0.35 0.05 0.73 1.00 0.29 0.92 0.98 0.98 0.59 0.65 0.55 0.51 0.59 0.46 0.37 0.35 0.55 0.48 0.66 0.12 0.66 0.37 0.47 0.39 0.23 0.33 0.21 0.72 0.42 0.64 0.66 0.82 0.02 0.41 0.43 0.35 0.43 0.98 0.42 0.10 0.27 0.82 0.55 0.40 0.75 0.90 0.12 0.37 0.14 0.28 0.79 0.87 0.01 ]
[0.34 0.88 0.79 0.29 1.00 0.47 0.47 0.35 0.31 0.12 0.48 0.84 0.01 0.17 0.35 0.33 0.43 0.02 0.06 0.90 0.98 0.24 0.34 0.69 0.69 0.89 0.61 0.50 0.80 0.40 0.40 0.28 0.16 0.65 0.90 0.29 0.17 0.42 0.92 0.89 0.61 0.80 0.41 0.46 0.71 0.34 0.98 0.30 0.64 0.60 0.45 0.37 0.67 ]
[0.56 0.96 0.25 0.92 0.47 1.00 0.15 0.64 0.55 0.49 0.57 0.11 0.63 0.08 0.27 0.26 0.51 0.99 0.43 0.02 0.84 0.98 0.21 0.77 0.04 0.86 0.34 0.56 0.21 0.38 0.12 0.40 0.16 0.61 0.70 0.39 0.67 0.58 0.88 0.49 0.45 0.64 0.17 0.45 0.32 0.74 0.58 0.48 0.12 0.25 0.47 0.76 0.72 ]
[0.95 0.54 0.58 0.98 0.47 0.15 1.00 0.19 0.95 0.99 0.63 0.03 0.62 0.99 0.88 0.06 0.65 0.21 0.44 0.75 0.65 0.15 0.73 0.46 0.81 0.84 0.51 0.26 0.71 0.45 0.46 0.74 0.56 0.35 0.23 0.19 0.50 0.25 0.59 0.51 0.11 0.92 0.40 0.28 0.50 0.38 0.31 0.92 0.44 0.53 0.82 0.91 0.16 ]
[0.02 0.29 0.29 0.98 0.35 0.64 0.19 1.00 0.33 0.86 0.28 0.88 0.35 0.95 0.28 0.05 0.69 0.19 0.57 0.66 0.50 0.82 0.22 0.38 0.91 0.83 0.52 0.27 0.97 0.83 0.60 0.57 0.89 0.75 0.46 0.90 0.25 0.33 0.48 0.51 0.82 0.24 0.34 0.14 0.78 0.39 0.34 0.97 0.35 0.49 0.40 0.22 0.04 ]
[0.65 0.77 0.43 0.59 0.31 0.55 0.95 0.33 1.00 0.61 0.81 0.13 0.30 0.20 0.70 0.84 0.05 0.86 0.16 0.67 0.93 0.73 0.81 0.58 0.06 0.34 0.32 0.86 0.79 0.63 0.69 0.55 0.06 0.31 0.09 0.92 0.99 0.87 0.81 0.56 0.42 0.15 0.45 0.14 0.69 0.28 0.79 0.29 0.81 0.65 0.61 0.59 0.83 ]
[0.73 0.76 0.65 0.65 0.12 0.49 0.99 0.86 0.61 1.00 0.54 0.27 0.11 0.20 0.77 0.68 0.01 0.11 0.43 0.01 0.85 0.93 0.77 0.03 0.27 0.83 0.27 0.46 0.64 0.36 0.23 0.02 0.70 0.68 0.17 0.61 0.67 0.51 0.44 0.55 0.98 0.73 0.35 0.64 0.69 0.70 0.69 0.47 0.39 0.10 0.91 0.94 0.35 ]
