D = 2;
n = [ 1 1 ];
N = 41;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.07 0.27 0.37 0.28 0.74 0.15 0.45 0.43 0.26 0.41 0.78 0.70 0.93 0.99 0.99 0.55 0.84 0.55 0.67 0.20 0.59 0.48 0.20 0.84 0.87 0.81 0.94 0.91 0.57 0.79 0.58 0.54 0.73 0.27 0.35 0.78 1.00 0.01 0.57 0.08 ]
[0.07 1.00 0.91 0.00 0.90 0.88 0.36 0.43 0.74 0.82 0.32 0.70 0.30 0.42 0.36 0.53 0.05 0.84 0.03 0.01 0.53 0.95 0.33 0.91 0.06 0.43 0.87 0.28 0.00 0.67 0.81 0.01 0.94 0.40 0.74 0.96 0.54 0.99 0.33 0.39 0.37 ]
[0.27 0.91 1.00 0.77 0.59 0.00 0.75 0.76 0.62 0.63 0.03 0.54 0.44 0.01 0.42 0.80 0.66 0.72 0.65 0.10 0.00 0.01 0.83 0.80 0.67 0.88 0.34 0.96 0.20 0.42 0.59 0.89 0.67 0.62 0.52 0.08 0.16 0.65 0.45 0.06 0.30 ]
[0.37 0.00 0.77 1.00 0.25 0.36 0.62 0.01 0.19 0.71 0.07 0.70 0.51 0.38 0.99 0.23 0.01 0.18 0.15 0.04 0.94 0.03 0.74 0.67 0.34 0.31 0.08 0.26 0.57 0.00 0.88 0.22 0.53 0.26 0.46 0.92 0.41 0.23 0.25 0.87 0.98 ]
[0.28 0.90 0.59 0.25 1.00 0.64 0.84 0.74 0.36 0.32 0.23 0.58 0.39 0.37 0.88 0.22 0.78 0.91 0.80 0.84 0.06 0.06 0.94 0.15 0.09 0.31 0.26 0.86 0.68 0.09 0.49 0.52 0.71 0.19 0.87 0.62 0.86 0.61 0.43 0.77 0.67 ]
[0.74 0.88 0.00 0.36 0.64 1.00 0.72 0.34 0.81 0.55 0.04 0.62 0.28 0.24 0.98 0.26 0.97 0.56 0.13 0.27 0.41 0.48 0.78 0.75 0.71 0.68 0.36 0.41 0.30 0.54 0.16 0.08 0.96 0.52 0.83 0.79 0.07 0.33 0.11 0.51 0.72 ]
[0.15 0.36 0.75 0.62 0.84 0.72 1.00 0.52 0.72 0.89 0.19 0.23 0.16 0.36 0.51 0.92 0.01 0.51 0.67 0.59 0.65 0.31 0.43 0.35 0.29 0.77 0.54 0.97 0.13 0.56 0.46 0.78 0.89 0.86 0.69 0.98 0.57 0.86 0.02 0.84 0.20 ]
[0.45 0.43 0.76 0.01 0.74 0.34 0.52 1.00 0.57 0.70 0.52 0.62 0.24 0.64 0.63 0.23 0.60 0.53 0.01 0.63 0.79 0.91 0.83 0.56 0.38 0.10 0.42 0.54 0.76 0.47 0.71 0.92 0.17 0.83 0.36 0.83 0.95 0.12 0.98 0.85 0.35 ]
[0.43 0.74 0.62 0.19 0.36 0.81 0.72 0.57 1.00 0.73 0.42 0.47 0.90 0.77 0.55 0.83 0.53 0.48 0.13 0.31 0.94 0.14 0.03 0.10 0.42 0.06 0.85 0.01 0.13 0.94 0.28 0.81 0.75 0.27 0.01 0.89 0.62 0.20 0.77 0.68 0.22 ]
[0.26 0.82 0.63 0.71 0.32 0.55 0.89 0.70 0.73 1.00 0.61 0.18 0.24 0.81 0.83 0.61 0.54 0.37 0.85 0.66 0.70 0.27 0.14 0.13 0.76 0.40 0.59 0.60 0.39 0.22 0.95 0.12 0.49 0.47 0.52 0.04 0.50 0.48 0.65 0.46 0.01 ]
[0.41 0.32 0.03 0.07 0.23 0.04 0.19 0.52 0.42 0.61 1.00 0.20 0.02 0.87 0.39 0.50 0.73 0.37 0.61 0.55 0.05 0.51 0.37 0.12 0.34 0.24 0.13 0.97 0.53 0.88 0.96 0.55 0.21 0.41 0.67 0.78 0.84 0.40 0.27 0.65 0.58 ]
[0.78 0.70 0.54 0.70 0.58 0.62 0.23 0.62 0.47 0.18 0.20 1.00 0.60 0.81 0.97 0.53 0.03 0.16 0.59 0.91 0.80 0.13 0.43 0.20 0.48 0.25 0.28 0.78 0.22 0.77 0.51 0.40 0.24 0.62 0.07 0.54 0.68 0.28 0.44 0.52 0.94 ]
[0.70 0.30 0.44 0.51 0.39 0.28 0.16 0.24 0.90 0.24 0.02 0.60 1.00 0.60 0.35 0.39 0.12 0.84 0.65 0.57 0.86 0.81 0.86 0.60 0.04 0.55 0.68 0.88 0.17 0.82 0.46 0.05 0.25 0.23 0.94 0.91 0.41 0.64 0.77 0.51 0.50 ]
