D = 4;
n = [ 2 2 2 2 ];
N = 10;
d = [1 1 2 2 3 3 4 4 4 4 ];
m = [
[1.00 0.86 0.63 0.78 0.52 0.53 0.06 0.80 0.70 0.80 ]
[0.86 1.00 0.96 0.56 0.77 0.75 0.19 0.62 0.26 0.93 ]
[0.63 0.96 1.00 0.01 0.16 0.18 0.32 0.01 0.12 0.38 ]
[0.78 0.56 0.01 1.00 0.86 0.13 0.07 0.76 0.37 0.20 ]
[0.52 0.77 0.16 0.86 1.00 0.09 0.56 1.00 0.59 0.98 ]
[0.53 0.75 0.18 0.13 0.09 1.00 0.02 0.75 0.22 0.42 ]
[0.06 0.19 0.32 0.07 0.56 0.02 1.00 0.32 0.77 0.47 ]
[0.80 0.62 0.01 0.76 1.00 0.75 0.32 1.00 0.23 0.94 ]
[0.70 0.26 0.12 0.37 0.59 0.22 0.77 0.23 1.00 0.73 ]
[0.80 0.93 0.38 0.20 0.98 0.42 0.47 0.94 0.73 1.00 ]
];
