D = 6;
n = [ 5 5 5 5 5 5 ];
N = 72;
d = [1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.59 0.45 0.96 0.92 0.46 0.18 0.66 0.91 0.11 0.31 0.48 0.04 0.38 0.82 0.40 0.17 0.05 0.61 0.07 0.18 0.13 0.36 0.66 0.92 0.77 0.49 0.40 0.17 0.87 0.47 0.03 0.78 0.52 0.50 0.37 0.63 0.22 0.48 0.55 0.28 0.12 0.88 0.92 0.34 0.09 0.85 0.83 0.57 0.88 0.60 0.92 0.71 0.87 0.63 0.11 0.82 0.64 0.26 0.12 0.58 0.17 0.82 0.14 0.68 0.98 0.22 0.64 0.69 0.16 0.34 0.25 ]
[0.59 1.00 0.17 0.19 0.95 0.77 0.90 0.55 0.99 0.80 0.82 0.89 0.13 0.18 0.04 0.12 0.71 0.42 0.14 0.87 0.42 0.15 0.37 0.36 0.05 0.21 0.00 0.49 0.60 0.19 0.08 0.87 0.93 0.66 0.29 0.94 0.63 0.52 0.79 0.70 0.27 0.28 0.43 0.78 0.64 0.71 0.17 0.16 0.98 0.85 0.83 0.68 0.71 0.59 0.07 0.41 0.11 0.11 0.64 0.32 0.58 0.51 0.88 0.29 0.34 0.24 0.72 0.73 0.04 0.33 0.09 0.59 ]
[0.45 0.17 1.00 0.20 0.11 0.01 0.86 0.52 1.00 0.11 0.14 0.72 0.45 0.72 0.53 0.30 0.95 0.34 0.53 0.09 0.54 0.78 0.09 0.82 0.04 0.12 0.42 0.88 0.31 0.07 0.80 0.02 0.39 0.13 0.72 0.92 0.87 0.29 0.19 0.73 0.86 0.67 0.98 0.38 0.66 0.51 0.17 0.31 0.97 0.88 0.38 0.94 0.69 0.73 0.60 0.06 0.02 0.99 0.88 0.10 0.96 0.63 0.94 0.07 0.88 0.65 0.39 0.99 0.49 0.31 0.41 0.86 ]
[0.96 0.19 0.20 1.00 0.13 0.25 0.41 0.35 0.23 0.70 0.29 0.87 0.66 0.03 0.43 0.26 0.20 0.46 0.86 0.13 0.17 0.28 0.44 0.84 0.11 0.60 0.45 0.59 0.01 0.97 0.15 0.69 0.78 0.06 0.82 0.19 0.82 0.11 0.40 0.65 0.29 0.95 0.48 0.87 0.16 0.65 0.82 0.18 0.27 0.00 0.30 0.97 0.13 0.10 0.70 0.01 0.23 0.95 0.95 0.19 0.09 0.58 0.14 0.96 0.63 0.00 0.31 0.60 0.58 0.67 0.44 0.27 ]
[0.92 0.95 0.11 0.13 1.00 0.72 0.28 0.77 0.71 0.60 0.17 0.10 0.50 0.83 0.42 0.96 0.53 0.20 0.63 0.03 0.70 0.01 0.27 0.14 0.45 0.62 0.42 0.33 0.67 0.66 0.88 0.97 0.91 0.46 0.22 0.64 0.98 0.04 0.97 0.15 0.75 0.52 0.66 0.62 0.58 0.83 0.79 0.89 0.02 0.17 0.95 0.18 0.26 0.57 0.78 0.56 0.45 0.16 0.30 0.70 0.42 0.18 0.83 0.36 0.40 0.37 0.56 0.44 0.67 0.24 0.81 0.77 ]
[0.46 0.77 0.01 0.25 0.72 1.00 0.24 0.09 0.34 0.47 0.55 0.52 0.79 0.68 0.03 0.69 0.62 0.23 0.84 0.36 0.26 0.59 0.74 1.00 0.09 0.65 0.92 0.60 0.24 0.47 0.95 0.50 0.09 0.64 0.43 0.58 0.52 0.13 0.46 0.36 0.80 0.00 0.69 0.65 0.63 0.03 0.17 0.25 0.16 0.44 0.79 0.12 0.03 0.81 0.55 0.79 0.62 0.72 0.26 0.79 0.52 0.31 0.40 0.10 0.29 0.19 0.92 0.08 0.60 0.06 0.22 0.40 ]
[0.18 0.90 0.86 0.41 0.28 0.24 1.00 0.32 0.42 0.29 0.08 0.97 0.73 0.14 0.50 0.07 0.01 0.61 0.50 0.00 0.29 0.63 0.14 0.36 0.98 0.01 0.54 0.97 0.30 0.24 0.35 0.82 0.08 0.17 0.32 0.65 0.13 0.72 0.53 0.47 0.93 0.32 0.87 0.51 0.44 0.65 0.54 0.43 0.44 0.22 0.17 0.38 0.94 0.50 0.01 0.62 0.22 0.24 0.26 0.33 0.69 0.40 0.69 0.22 0.59 0.03 0.98 0.44 0.33 0.62 0.66 0.56 ]
[0.66 0.55 0.52 0.35 0.77 0.09 0.32 1.00 0.66 0.11 0.72 0.24 0.66 0.96 0.29 0.14 0.59 0.43 0.76 0.06 0.32 0.06 0.56 0.57 0.77 0.02 0.83 0.19 0.05 0.06 0.79 0.95 0.86 0.46 0.46 0.01 0.80 0.11 0.28 0.92 0.53 0.64 0.74 0.03 0.15 0.04 0.93 0.93 0.30 0.41 0.71 0.48 0.40 0.32 0.17 0.10 1.00 0.19 0.82 0.67 0.43 0.61 0.04 0.33 0.67 0.93 0.38 0.05 0.91 0.13 0.90 0.24 ]
[0.91 0.99 1.00 0.23 0.71 0.34 0.42 0.66 1.00 0.31 0.64 0.95 0.15 0.84 0.66 0.46 0.55 0.89 0.99 0.41 0.80 0.26 0.32 0.57 0.46 0.03 0.84 0.36 0.28 0.68 0.77 0.07 0.82 0.15 0.53 0.97 0.78 0.20 0.82 0.36 0.79 0.62 0.56 0.12 0.42 0.58 0.43 0.22 0.87 0.30 1.00 0.97 0.33 0.26 0.83 0.55 0.08 0.14 0.71 0.71 0.60 0.63 0.02 0.85 0.02 0.53 0.38 0.20 0.91 0.94 0.07 0.70 ]
[0.11 0.80 0.11 0.70 0.60 0.47 0.29 0.11 0.31 1.00 0.95 0.41 0.86 0.54 0.91 0.41 0.50 0.21 0.71 0.62 0.74 0.39 0.05 0.46 0.28 0.63 0.78 0.26 0.05 0.23 0.07 0.50 0.45 0.77 0.86 0.44 0.25 0.28 0.26 0.07 0.48 0.38 0.45 0.53 0.04 0.19 0.08 0.27 0.27 0.08 0.89 0.28 0.68 0.70 0.13 0.08 0.60 0.75 0.45 0.77 0.05 0.89 0.62 0.69 0.71 0.26 0.12 0.56 0.43 0.68 0.27 0.12 ]
