D = 4;
n = [ 5 5 5 5 ];
N = 27;
d = [1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.62 0.57 0.59 0.36 0.95 0.44 0.29 0.05 0.12 0.41 0.45 0.82 0.27 0.39 0.88 0.10 0.51 0.09 0.17 0.69 0.84 0.54 0.21 0.83 0.51 0.66 ]
[0.62 1.00 0.78 0.81 0.53 0.14 0.26 0.29 0.11 0.67 0.36 0.40 0.17 0.56 0.50 0.79 0.94 0.36 0.28 0.89 0.42 0.46 0.41 0.81 0.96 0.21 0.83 ]
[0.57 0.78 1.00 0.86 0.82 0.10 0.40 0.07 0.21 0.85 0.41 0.93 0.31 0.78 0.27 0.47 0.08 0.75 0.51 0.85 0.61 0.33 0.57 0.55 0.67 0.74 0.67 ]
[0.59 0.81 0.86 1.00 0.37 0.50 0.57 0.97 0.78 0.27 0.09 1.00 0.67 0.38 0.70 0.13 0.32 0.54 0.93 0.63 0.51 0.93 0.87 0.41 0.08 0.77 0.75 ]
[0.36 0.53 0.82 0.37 1.00 0.90 0.72 0.70 0.39 0.62 0.88 0.67 0.40 0.68 0.29 0.69 0.68 0.49 0.79 0.46 0.37 0.78 0.64 0.56 0.61 0.70 0.80 ]
[0.95 0.14 0.10 0.50 0.90 1.00 0.40 0.48 0.89 0.91 0.59 0.39 0.92 0.43 0.02 0.75 0.35 0.47 0.21 0.55 0.70 0.02 0.93 0.14 0.83 0.20 0.19 ]
[0.44 0.26 0.40 0.57 0.72 0.40 1.00 0.01 0.73 0.40 0.60 0.78 0.43 0.28 0.58 0.64 0.88 0.44 0.27 0.47 0.67 0.46 0.43 0.00 0.21 0.68 0.60 ]
[0.29 0.29 0.07 0.97 0.70 0.48 0.01 1.00 0.65 0.91 0.24 0.20 0.81 0.51 0.47 0.76 0.87 0.00 0.68 0.73 0.50 0.77 0.81 0.61 0.39 1.00 0.48 ]
[0.05 0.11 0.21 0.78 0.39 0.89 0.73 0.65 1.00 0.58 0.72 0.81 0.56 0.48 0.74 0.66 0.31 0.96 0.29 0.94 0.19 0.23 0.42 0.74 0.15 0.25 0.79 ]
[0.12 0.67 0.85 0.27 0.62 0.91 0.40 0.91 0.58 1.00 0.73 0.91 0.88 0.03 0.12 0.90 0.94 0.18 0.19 0.95 0.10 0.91 0.61 0.78 0.03 0.68 0.12 ]
[0.41 0.36 0.41 0.09 0.88 0.59 0.60 0.24 0.72 0.73 1.00 0.98 0.08 0.03 0.44 0.82 0.32 0.84 0.74 0.80 0.90 0.37 0.46 0.60 0.31 0.94 0.92 ]
[0.45 0.40 0.93 1.00 0.67 0.39 0.78 0.20 0.81 0.91 0.98 1.00 0.90 0.51 0.74 0.86 0.46 0.70 0.08 0.41 0.75 0.39 0.15 0.17 0.79 0.96 0.15 ]
